id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,32,1024,False,1,16,32,128,2048,1,0.15559804294577137,512,256,512,DLMT,1,True,False,False,2048,1,True,13,1,1,1024,8,35,1,19,13,0.15603614285714285,8,False,0.00132238859952862,True,0.15647424276851432
2,1,8,1,False,8,32,16,16,1024,1,0.1775511316773206,16,32,1,DLMT,1,True,True,False,1,2048,False,17,1,27,2048,1,35,1024,7,1,0.17958757142857143,8,True,0.00614691909489491,True,0.18162401117982227
3,32,1,64,False,1,256,16,256,256,1,inf,32,32,256,DLMT,1,True,True,False,256,512,False,30,30,1,2048,8,1,2048,28,17,inf,8,True,inf,False,inf
4,1,1,128,False,32,1,64,1,2048,13,0.30021824349534326,32,128,512,DLMT,32,False,True,False,1,1,False,29,1,13,2048,1,35,1024,1,25,0.30036619999999997,1,False,0.00044660131149446144,True,0.3005141565046567
5,1,1,2048,False,32,512,64,16,256,3,0.35010689849118415,128,512,32,DLMT,1,True,False,False,256,1,False,30,1,19,2048,8,35,64,6,1,0.35524859999999997,1,True,0.015520038422632854,True,0.3603903015088158
6,1,1,128,False,8,16,64,64,1024,1,0.125419138340873,128,32,128,DLMT,1,False,True,False,2048,1024,True,1,5,25,256,8,35,1024,23,29,0.1265918,1,False,0.003539636436536546,True,0.127764461659127
7,1,1,128,False,8,64,1,512,64,30,0.1396984834840362,512,64,512,DLMT,8,False,False,False,1024,512,True,1,6,15,128,1,35,1,10,1,0.14077505714285715,8,False,0.0032495983131357485,True,0.1418516308016781
8,1,32,128,False,1,32,512,64,2048,1,0.1638066408424856,16,1,512,DLMT,1,True,True,True,1024,512,True,5,1,24,1024,8,35,128,13,19,0.16810602857142853,1,True,0.012977545007733748,True,0.17240541630037146
9,8,1,1024,False,8,32,512,16,1024,7,0.07754782383618955,16,16,256,DLMT,1,True,True,True,2048,2048,False,28,1,10,128,1,35,1024,29,1,0.07755522,32,False,2.2325050631840748e-05,True,0.07756261616381044
10,1,8,2048,False,8,256,512,128,1024,4,0.21656706665495046,256,128,1,DLMT,8,False,True,True,1024,512,True,4,1,5,2048,8,35,1024,4,1,0.2173306857142857,1,True,0.0023049562719301628,True,0.21809430477362096
11,1,32,256,False,1,32,1,128,64,29,0.30091923473216176,256,1,32,DLMT,32,True,False,True,256,1,True,1,23,22,2048,1,35,2048,28,1,0.3064050285714286,1,True,0.016558668568777267,True,0.31189082241069543
12,8,8,512,False,1,32,512,16,2048,11,0.1577603183826712,512,1,128,DLMT,1,True,False,False,1,256,True,4,25,1,512,1,35,64,18,1,0.1584026857142857,1,True,0.0019389623553618077,True,0.1590450530459002
13,8,1,2048,False,1,64,16,128,1,12,0.10653081672181246,16,512,512,DLMT,1,False,False,False,128,1,True,28,1,16,64,8,35,1024,9,1,0.10982779999999999,8,False,0.009951823743271524,True,0.11312478327818752
