id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,2048,1,1,16,4,inf,10,1,DLMT,inf,False,True,True,inf,True,inf,False
2,1,10,1,2,4,0.20853960000000002,1,23,DLMT,0.2083627492880856,True,False,False,0.0002853374143010347,True,0.20871645071191444,False
3,32,10,1,32,1,1.056073,1,30,DLMT,1.0559066441961031,True,False,True,0.0002684045454160754,False,1.056239355803897,False
4,4,1,1,4,1,inf,1,7,DLMT,inf,False,True,False,inf,False,inf,False
5,1,10,16,8,1,0.2075303,27,1,DLMT,0.20750989744331538,True,False,True,3.291823203028915e-05,True,0.20755070255668462,False
6,1024,10,4,1,2,0.22551989999999997,30,1,DLMT,0.225484274507185,True,False,True,5.7479474597456695e-05,False,0.22555552549281493,False
7,512,1,2048,1,16,inf,1,10,DLMT,inf,False,True,True,inf,True,inf,False
8,4,1,16,1,1,inf,7,1,DLMT,inf,False,True,False,inf,False,inf,False
9,1,10,256,1,32,0.7187437,1,9,DLMT,0.7186931458073463,True,False,True,8.15659855576981e-05,False,0.7187942541926536,False
10,256,10,512,8,8,0.9650808999999999,11,1,DLMT,0.964391684944943,True,False,False,0.0011120048066442713,False,0.9657701150550568,False
11,2048,10,1024,8,2,0.20216850000000003,1,30,DLMT,0.2021516505782253,True,False,True,2.7185474062449416e-05,True,0.20218534942177477,False
12,32,1,32,32,2,inf,19,1,DLMT,inf,False,True,True,inf,False,inf,False
13,16,1,1,16,32,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
14,1,10,2048,32,32,1.034287,11,1,DLMT,1.0340945828379282,True,False,False,0.0003104528949776867,True,1.0344794171620717,False
15,1,1,16,16,16,inf,1,30,DLMT,inf,False,True,False,inf,True,inf,False
16,32,10,2048,16,1,0.9530734000000001,1,22,DLMT,0.9529155219629516,True,False,False,0.00025472620595456307,True,0.9532312780370485,False
17,1,1,1024,32,8,inf,1,1,DLMT,inf,False,True,True,inf,False,inf,False
18,2048,10,2048,4,32,0.8235023000000001,1,1,DLMT,0.8233913480158888,True,False,False,0.00017901399386638207,False,0.8236132519841115,False
19,2048,1,128,32,16,inf,1,19,DLMT,inf,False,True,False,inf,False,inf,False
20,128,10,8,8,2,0.2291636,1,9,DLMT,0.22884267551871737,True,False,False,0.0005177913093129316,True,0.22948452448128262,False
21,64,1,256,4,1,inf,30,1,DLMT,inf,False,True,False,inf,True,inf,False
22,8,1,2048,1,8,inf,27,1,DLMT,inf,False,True,False,inf,False,inf,False
23,256,1,16,4,32,inf,1,24,DLMT,inf,False,True,True,inf,False,inf,False
24,256,10,1,1,1,0.238322,22,1,DLMT,0.23829856223962578,True,False,False,3.781534080237949e-05,True,0.23834543776037423,False
25,16,10,4,4,16,0.21991490000000002,11,1,DLMT,0.21989736856312836,True,False,True,2.8285862192978763e-05,True,0.2199324314368717,False
26,4,10,256,1,32,0.8076523,1,1,DLMT,0.8075910536813294,True,False,True,9.881705318416114e-05,True,0.8077135463186705,False
27,1,10,1,1,1,0.20404689999999998,1,1,DLMT,0.20403109474056993,True,False,False,2.550078430166371e-05,False,0.20406270525943002,True
28,16,10,1,1,4,0.48387119999999995,30,1,DLMT,0.4838182520889788,True,False,False,8.542809842200032e-05,False,0.4839241479110211,False
29,1,1,2,1,16,inf,1,20,DLMT,inf,False,True,True,inf,False,inf,False
30,1024,1,2048,1,8,inf,23,1,DLMT,inf,False,True,True,inf,True,inf,False
31,64,10,8,16,16,0.2891745,21,1,DLMT,0.2891454339918265,True,False,False,4.689616188986424e-05,False,0.2892035660081735,False
32,128,10,2,16,32,0.2152922,1,30,DLMT,0.2152681270460505,True,False,True,3.884018537546281e-05,True,0.21531627295394948,False
33,1,1,32,1,1,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
34,512,10,8,1,8,0.6625722000000001,8,1,DLMT,0.6625325740067417,True,False,True,6.393402849813793e-05,True,0.6626118259932584,False
35,2048,1,256,16,2,inf,1,24,DLMT,inf,False,True,True,inf,False,inf,False
36,2048,1,4,32,1,inf,29,1,DLMT,inf,False,True,True,inf,False,inf,False
37,1024,1,1,4,16,inf,1,1,DLMT,inf,False,True,True,inf,False,inf,False
38,512,1,256,2,32,inf,1,9,DLMT,inf,False,True,True,inf,False,inf,False
39,2048,1,32,4,32,inf,1,21,DLMT,inf,False,True,False,inf,True,inf,False
40,256,1,16,4,4,inf,30,1,DLMT,inf,False,True,False,inf,True,inf,False
41,4,1,2048,2,8,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
42,1,10,2048,2,2,0.1921385,1,1,DLMT,0.19209697257651767,True,False,False,6.700186564566766e-05,False,0.1921800274234823,False
