id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,8,1,1,1,1,512,64,22,0.1739567348712791,1,128,32,DLMT,1,False,True,True,512,256,False,6,27,1,2048,32,35,1,16,1,0.17405051428571428,1,False,0.00028306974117228966,True,0.17414429370014944
2,1,1,1,32,128,16,1,64,2,0.189860006782005,32,512,128,DLMT,1,True,True,True,64,512,False,13,15,1,256,8,35,2048,2,1,0.18990331428571428,8,False,0.00013072211998380875,True,0.18994662178942356
3,8,8,1,1,16,512,16,1024,29,0.2959228932745321,32,16,1,DLMT,32,True,False,False,64,1024,False,28,24,1,1024,1,35,1,1,25,0.2972350857142857,1,True,0.003960805007437093,True,0.2985472781540393
4,1,32,512,1,128,16,128,1,27,0.1304407419627273,1,1,256,DLMT,1,True,False,True,128,1,False,12,1,7,128,1,35,128,1,29,0.13254711428571425,8,True,0.006358008011370628,True,0.1346534866087012
5,1,32,512,1,512,64,64,256,10,0.1305077655652653,16,16,512,DLMT,1,False,True,False,256,1,True,15,23,1,2048,1,35,1024,27,1,0.13332208571428572,1,True,0.008494922696600864,True,0.13613640586330614
6,32,1,512,1,512,64,1,256,23,0.19897629502890612,32,64,32,DLMT,1,False,False,False,512,512,True,1,16,29,1,32,35,128,1,26,0.20068837142857143,1,True,0.005167840151694844,True,0.20240044782823674
7,1,8,1,8,1,1,128,2048,11,0.1851635346579052,256,256,16,DLMT,1,True,True,True,256,1,True,30,1,18,1024,1,35,2048,1,30,0.18822262857142857,8,True,0.009233763374813155,True,0.19128172248495195
8,8,1,2048,1,256,1,16,512,27,0.14321661041718206,1,32,1,DLMT,8,False,True,True,128,512,True,22,1,1,2048,8,35,2048,18,1,0.1435761714285714,1,False,0.0010853217952218927,True,0.14393573243996075
9,32,1,1,1,64,256,512,512,1,0.10274869767153988,512,256,16,DLMT,32,False,False,True,512,1024,False,5,1,2,1,1,35,1024,1,5,0.10356445714285713,1,True,0.002462340203289279,True,0.10438021661417438
10,1,1,64,1,32,64,1,1,1,0.11074002050974627,128,1,1,DLMT,1,True,True,True,1,2048,False,1,6,15,2048,8,35,1024,19,24,0.11178645714285715,8,True,0.0031586308005016276,True,0.11283289377596803
11,8,1,128,8,16,1,1,2048,30,0.11857479112774678,1,32,32,DLMT,1,False,False,True,1,2048,False,1,26,1,128,1,35,1,30,1,0.11992657142857142,8,True,0.004080299521818846,True,0.12127835172939606
12,32,1,512,1,256,512,64,1024,14,0.1285631420928974,512,128,1,DLMT,1,True,False,False,1024,1,False,22,2,1,2048,1,35,512,29,1,0.12858065714285713,32,False,5.286853931195451e-05,True,0.12859817219281686
13,1,8,1,8,64,128,1,2048,1,0.21648147821612573,512,1,64,DLMT,1,False,False,True,1024,2048,True,19,1,27,1024,1,35,1,21,8,0.21830957142857144,1,False,0.005518032668498097,True,0.22013766464101714
14,32,1,256,1,32,512,1,512,13,inf,64,32,128,DLMT,1,True,False,True,256,1,False,27,29,1,512,32,1,1,5,1,inf,1,False,inf,False,inf
15,32,1,1024,1,1,1,256,2048,29,0.09566330158461847,16,1,64,DLMT,1,True,True,False,128,128,False,1,2,27,256,1,35,512,11,1,0.09567038857142858,1,False,2.1391811135886197e-05,True,0.09567747555823869
16,32,1,64,1,128,1,128,256,1,0.08599772308990572,16,32,1,DLMT,1,True,False,True,1,1024,True,1,29,23,128,8,35,1024,26,25,0.08708408857142858,1,False,0.0032791545727320296,True,0.08817045405295143
17,1,8,2048,8,512,512,1,2048,30,0.18335692926313385,128,64,128,DLMT,1,True,False,False,1024,2048,True,1,30,9,1024,1,35,256,1,29,0.18511831428571426,8,False,0.005316676431066033,True,0.18687969930829468
18,1,1,512,32,128,64,512,64,24,0.21624433452391023,256,32,1,DLMT,8,True,True,True,1024,1,True,1,2,8,256,8,35,2048,25,1,0.21731868571428575,1,True,0.0032428898732143113,True,0.21839303690466128
19,1,1,512,1,512,512,128,1,16,0.2383393324889641,512,256,512,DLMT,32,False,False,False,1024,512,True,25,9,1,2048,1,35,128,23,1,0.2396291714285714,1,False,0.0038933317827552555,True,0.2409190103681787
20,8,1,2048,1,32,16,16,64,16,0.1560731549467303,512,1,16,DLMT,1,True,True,True,2048,2048,True,1,29,7,1,1,35,512,2,1,0.16261154285714285,1,False,0.01973588537134882,True,0.1691499307675554
21,32,1,64,1,64,32,256,128,2,0.19741690389721644,1,16,64,DLMT,1,False,False,False,2048,2048,True,14,25,1,256,1,35,512,1,5,0.20121782857142856,32,True,0.011472952462168734,True,0.20501875324564067
22,8,1,1,8,32,64,1,1024,28,0.11538434664104598,128,64,512,DLMT,32,True,True,False,1,1,True,1,23,15,512,1,35,1,27,1,0.11782945714285713,1,True,0.0073804768461620904,True,0.12027456764466828
23,1,1,64,1,256,256,1,2048,1,0.10050641240747837,16,16,16,DLMT,8,False,True,True,128,1,False,1,27,30,256,1,35,2048,8,8,0.10065677428571429,8,False,0.00045386184388949887,True,0.1008071361639502
24,1,32,2048,1,1,512,1,2048,14,0.09727106914758725,1,512,128,DLMT,32,True,False,True,1,256,True,10,1,19,128,1,35,2048,1,1,0.09789211714285714,1,True,0.0018746107163866938,True,0.09851316513812704
25,1,1,512,32,16,64,32,1,22,0.25931662048391624,512,512,1,DLMT,1,False,True,False,1,64,True,3,1,24,2048,1,35,64,1,4,0.2602466857142857,32,True,0.002807367966837356,True,0.2611767509446552
