id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
1,True,True,32,RS,2.448631914004145,256,16,256,17,3,1,64,1024,10,2.448901,False,True,True,0.00043415319876744234,2.4491700859958554,False
2,True,True,64,RS,0.13064313336188244,1,32,16,22,4,1,4,1,10,0.14071090000000003,True,False,True,0.01624370334283411,0.15077866663811762,False
3,True,True,1024,RS,0.21235392999537847,8,2,8,5,1,20,2,1024,10,0.21984999999999996,True,True,True,0.012094433827178522,0.22734607000462145,False
4,False,True,2048,RS,1.7716989523786097,64,64,1024,3,1,18,16,1024,10,1.7725279999999999,False,True,True,0.0013376157893804622,1.77335704762139,False
5,False,True,128,RS,0.6733607128153537,128,64,1024,6,1,18,2,32,10,0.6753666,True,False,True,0.003236371832778169,0.6773724871846464,False
6,False,True,128,RS,2.5804793860443462,512,2,1,22,5,1,1,1024,10,2.5807119999999997,False,True,True,0.00037530787361849066,2.580944613955653,False
7,False,True,512,RS,0.358310453480388,256,16,512,1,5,20,8,64,10,0.3602813,True,False,True,0.00317983594073656,0.3622521465196121,False
8,False,True,64,RS,0.15783674086469074,4,32,1,10,7,1,256,512,10,0.1623726,True,False,True,0.007318321217328467,0.16690845913530927,False
9,False,True,256,RS,0.1832020451531708,64,256,256,7,1,2,1,1024,10,0.2007971,True,True,True,0.028388505763600868,0.21839215484682922,False
10,False,True,32,RS,3.056503465965011,4,2,2048,14,1,2,32,128,10,3.0584800000000003,True,True,True,0.0031890123863039218,3.0604565340349894,False
11,True,True,2048,RS,0.3399659473668715,1,2,256,5,15,1,128,2048,10,0.3541479,True,True,True,0.022881681675305257,0.3683298526331285,False
12,False,True,2048,RS,1.838105204490058,1,16,2048,1,7,16,1,32,10,1.8418040000000002,True,True,False,0.005967772113611572,1.8455027955099423,False
13,False,True,1,RS,1.560662328925727,1,8,512,1,16,3,1,8,10,1.560935,False,False,True,0.0004399374955604506,1.5612076710742728,False
14,True,True,32,RS,1.532247572359406,8,4,128,19,1,6,2048,1,10,1.5325900000000001,False,False,True,0.0005524852939219568,1.5329324276405942,False
15,False,True,128,RS,0.14311314463881278,8,2,1,1,9,8,2,1,10,0.1517835,True,False,False,0.013989068819975112,0.1604538553611872,False
16,True,True,1024,RS,1.468688529546543,1,8,32,1,6,19,2,1,10,1.470538,False,False,True,0.002984003351204539,1.4723874704534567,False
17,False,True,2048,RS,1.363678666005347,256,8,1,4,1,12,2,16,10,1.364595,False,False,False,0.0014784468201460494,1.365511333994653,False
18,True,True,8,RS,0.15781602054619134,16,8,1,1,29,3,4,256,10,0.16545540000000003,True,True,True,0.012325654540023417,0.17309477945380872,False
19,False,True,8,RS,1.4508251615180663,16,8,1024,5,20,1,64,2048,10,1.4525169999999998,True,False,True,0.0027296741563783695,1.4542088384819334,False
20,True,True,512,RS,4.656554922019557,2,256,2,14,1,6,8,8,10,4.656845,False,True,False,0.00046802243535972766,4.657135077980443,False
21,True,True,2048,RS,1.81998776276938,2048,256,1,19,5,1,16,256,10,1.820211,False,False,False,0.00036017912210454953,1.8204342372306201,False
22,True,True,256,RS,2.0620976471954897,1024,1,1,17,6,1,8,128,10,2.062473,False,True,True,0.0006056079589965679,2.06284835280451,False
23,True,True,1024,RS,2.0899735531315105,256,64,1,3,22,1,32,32,10,2.090379,False,False,True,0.000654162823767874,2.0907844468684895,False
24,False,True,1024,RS,1.3099134098918381,2048,4,1,3,1,27,16,32,10,1.310851,False,True,False,0.0015127422120110236,1.3117885901081618,False
25,True,True,256,RS,0.456285694548972,16,32,512,4,11,1,1024,1,10,0.463905,True,True,False,0.012293266408892315,0.471524305451028,False
26,True,True,512,RS,5.349824375296523,8,256,16,3,1,9,4,64,10,5.352632,False,False,False,0.004529924502681962,5.355439624703477,False
27,True,True,512,RS,4.9498979237312275,1,256,4,9,1,10,8,2048,10,4.950202,False,False,False,0.0004906077863223165,4.9505060762687725,False
28,False,True,256,RS,1.1600303944132864,1,16,64,1,1,15,1,2048,10,1.1610330000000002,False,True,False,0.0016176405657623736,1.162035605586714,False
29,True,True,1024,RS,0.20256873180242999,4,16,128,1,12,10,8,16,10,0.2253392,True,True,True,0.03673870717050343,0.24810966819757,False
30,False,True,1024,RS,0.709862274580859,1,2,1024,1,3,16,8,256,10,0.7131639,True,False,True,0.00532696334603497,0.7164655254191409,False
31,False,True,1,RS,2.9675719576245276,2,16,1,10,1,10,128,512,10,2.967999,False,True,False,0.0006890058054908398,2.968426042375472,False
32,False,True,512,RS,0.4065892130770724,4,256,4,13,1,9,1,4,10,0.40956220000000004,True,True,False,0.0047967259625707175,0.4125351869229277,False
33,False,True,2048,RS,2.008768041657418,512,512,2048,20,1,4,8,64,10,2.009088,False,False,False,0.000516232505756891,2.0094079583425826,False
34,False,True,512,RS,4.551357088695667,1,1,512,9,2,1,4,64,10,4.551645,False,False,False,0.0004645266407860293,4.551932911304332,False
35,True,True,4,RS,2.195522498962299,64,2,2048,5,1,14,4,32,10,2.1965569999999994,False,False,True,0.0016691018542917561,2.1975915010377,False
36,False,True,128,RS,2.993486993662746,64,2,1,15,4,1,32,2048,10,2.9937259999999997,False,False,False,0.000385621576159809,2.993965006337253,False
37,False,True,64,RS,1.6443005090528668,1,8,2048,6,1,15,4,2048,10,1.6460410000000003,True,False,True,0.002808171825227193,1.6477814909471338,False
38,True,True,32,RS,2.0545419319888634,32,2,128,4,1,26,2,4,10,2.05634,False,True,True,0.002901068768574757,2.0581380680111367,False
