id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,64,64,RS,1,2,False,1,2,0.00012056533498480062,True,4,4,8,True,2.7877672742043083,16,2,64,64,True,True,False,8,True,8,False,1024,True,8,4,2048,True,16,1,4,1,8,8,1,False,10,2.7879167257956916,16,2.787842,1,8,2,True,2048,256,4,1024,True,1,16,4,16
2,1,1024,RS,16,4,True,16,32,0.0001344618905117769,False,16,4,4,True,1.6242066611882262,1,1,64,512,False,False,True,4,False,2048,False,2048,True,1,1,1,True,1,12,1,8,8,1,16,False,10,1.6243733388117734,12,1.6242899999999998,16,16,8,True,2048,512,1,32,True,4,2,1,1
3,2,64,RS,8,1,True,32,8,0.0008105609168964538,True,32,4,8,False,2.899226618370327,1,4,2048,1024,True,True,True,64,False,512,True,2048,True,8,16,1024,True,1,16,16,1,8,16,1,False,10,2.9002313816296725,8,2.899729,12,2,2,True,256,32,4,2048,False,4,4,2,1
4,1,512,RS,1,32,False,1,4,0.00117201706472224,False,32,2048,32,False,2.650627589645509,32,4,32,1,False,False,False,2,False,32,False,32,True,1,8,256,False,1,1,16,1,4,16,1,False,10,2.652080410354491,8,2.651354,1,1,16,True,16,1,12,2048,True,4,1,4,1
5,256,128,RS,1,16,False,1,1024,0.002568402032392745,False,16,4,8,False,4.532807117179362,1,1,2048,16,True,True,False,1024,True,32,True,64,False,8,4,2048,False,4,1,16,1,8,16,1,False,10,4.535990882820639,12,4.5343990000000005,8,1,4,True,2048,1024,16,256,False,4,8,1,1
6,64,1024,RS,16,2,True,8,32,0.0026759932735341708,False,2048,256,8,True,2.614581432662583,32,256,512,2048,False,True,False,1024,True,32,True,128,False,16,1,128,False,1,4,1,1,1,8,1,False,10,2.617898567337417,16,2.61624,16,16,8,True,2048,1024,12,2048,False,1,1,1,4
7,16,64,RS,32,8,True,1,32,0.00015604166110358585,True,32,4,1,True,2.514682286153615,64,32,512,128,True,False,False,8,False,1,True,4,True,16,8,1024,False,1,8,1,16,16,1,12,False,10,2.5148757138463846,12,2.514779,16,16,2,True,1,64,16,256,True,1,4,1,1
8,256,16,RS,2,2,False,32,1024,0.0002133916586935953,True,8,16,2,True,1.9270497409100062,16,4,256,1,True,False,False,128,False,1,False,128,True,8,16,2048,False,8,1,1,8,4,1,16,False,10,1.9273142590899932,1,1.9271819999999997,1,4,1,True,2048,2048,4,1,True,1,8,1,16
9,2,2048,RS,4,1,False,8,32,0.0010897357477847598,False,1,16,32,False,2.9900285871969983,64,4,32,8,True,False,True,16,False,2,False,128,False,1,16,512,True,12,1,16,1,1,12,1,False,10,2.991379412803002,12,2.990704,16,1,16,True,64,512,1,512,False,1,8,2,1
10,128,1024,RS,2,4,True,4,2048,0.0005756248778501968,True,8,128,16,True,3.1365992305602375,128,64,256,256,True,False,False,8,False,1,True,1024,False,12,12,512,False,8,1,4,1,1,1,12,False,10,3.1373127694397627,8,3.136956,12,8,4,True,64,1,1,2048,False,16,8,2,1
11,32,512,RS,2,1,False,4,2,0.00013423859355636835,False,128,4,8,True,3.5786067995865705,64,8,1024,2048,False,True,False,512,False,2048,True,1,True,1,8,128,True,1,4,4,1,8,4,1,False,10,3.5787732004134303,16,3.5786900000000004,12,4,2,True,1024,512,1,1,False,4,8,16,1
12,4,1,RS,2,8,False,2,32,0.001044957415400301,False,128,64,4,False,2.667754340584965,512,2048,64,1024,False,True,True,256,False,2,False,4,True,4,12,2048,False,16,1,1,16,16,1,8,False,10,2.669049659415035,4,2.668402,4,8,16,True,1024,1024,16,1024,False,4,2,32,1
13,1,256,RS,16,4,True,1,2,0.00011255665240221348,False,64,2,4,True,3.926859237945988,4,128,8,2048,True,False,True,16,True,128,True,1,False,8,1,512,False,1,1,16,1,8,16,1,False,10,3.9269987620540117,1,3.926929,1,4,16,True,1,1024,12,128,False,1,8,4,1
14,4,2048,RS,1,4,True,32,512,0.00011827510304378255,False,16,8,8,True,3.609325693678689,16,16,2048,32,True,False,False,4,True,2,False,2,False,8,12,256,True,12,1,4,1,12,1,12,False,10,3.6094723063213126,12,3.6093990000000007,12,2,2,True,32,1,12,16,True,16,4,16,1
15,32,1024,RS,32,32,False,4,64,0.00014549570440390967,False,1,2048,1,True,3.440880822485189,16,16,1,4,True,True,False,8,True,2,False,512,True,12,8,64,False,1,12,4,1,8,4,1,False,10,3.4410611775148108,1,3.440971,4,16,1,True,64,1024,16,2048,False,1,32,4,4
16,16,1,RS,32,4,False,8,1,0.002149701374609992,False,8,1,2,False,2.5214296257670785,16,32,64,512,True,False,True,256,True,8,True,32,False,8,16,512,False,1,12,1,4,16,12,1,False,10,2.524094374232922,1,2.522762,4,4,8,True,256,512,4,128,False,1,4,4,1
17,512,32,RS,32,16,False,1,1,0.000232387607242715,True,4,2,2,True,2.6339299673154617,32,8,2048,2048,True,True,False,256,True,16,False,512,False,16,1,2048,True,1,12,1,12,8,1,1,False,10,2.6342180326845384,8,2.634074,12,2,32,True,1,16,12,1024,True,1,2,32,12
18,256,1,RS,4,8,True,8,8,0.00011747765745027733,False,8,2,32,True,3.401784187931506,8,1,1,64,False,True,True,16,True,4,True,4,True,8,8,1,False,1,16,1,12,8,1,4,False,10,3.401929812068495,1,3.4018570000000006,12,1,32,True,32,64,12,16,False,8,2,1,1
19,2,512,RS,1,2,True,4,16,0.0002555875583826245,True,1,2,32,True,1.7294165881009955,8,32,32,512,False,True,False,1,True,4,False,64,False,4,4,64,True,1,16,1,8,1,12,1,False,10,1.7297334118990042,1,1.7295749999999999,8,4,4,True,16,512,8,256,True,1,2,2,16
20,64,64,RS,2,1,False,2,4,0.0013466714521367586,True,32,32,2,True,3.1845593397238194,256,1,128,1,False,True,False,256,True,256,False,512,True,12,4,1,False,1,16,1,16,16,1,16,False,10,3.1862286602761807,8,3.185394,4,2,8,True,256,16,8,128,False,4,1,16,1
21,256,2,RS,1,8,True,16,4,0.00022456402205160396,False,64,32,4,True,5.356731816334698,16,1,1024,1,False,False,True,1,False,2,False,64,False,1,8,1024,True,4,1,16,1,4,1,16,False,10,5.3570101836653015,4,5.356871,1,16,4,True,2,4,8,64,True,1,8,4,8
22,4,2048,RS,32,4,True,1,16,0.0006003965356329254,True,1024,8,4,False,1.599519877209802,128,16,1,2048,False,True,False,2,False,128,False,256,True,8,4,1,False,8,1,4,1,12,1,1,False,10,1.6002641227901981,4,1.599892,16,8,8,True,16,256,12,16,True,16,1,2,1
23,1,2048,RS,1,8,True,2,128,0.00047105095265803274,True,2,2,2,False,2.71113704495958,1,1024,1,16,True,False,False,2,True,16,True,128,True,8,4,128,True,12,1,4,1,16,1,1,False,10,2.7117209550404198,8,2.711429,4,16,8,True,1024,1,16,32,True,1,4,16,1
24,256,2048,RS,8,4,False,32,256,0.0001185790875323622,False,256,2,2,True,1.7381635052706126,1,32,256,1024,False,False,True,4,True,32,True,64,False,4,12,8,True,1,16,1,8,16,4,1,False,10,1.738310494729388,12,1.7382370000000003,4,4,1,True,16,256,1,16,True,1,1,8,8
25,1,16,RS,16,1,False,1,32,0.00013358143583601902,False,2,4,2,True,2.2538332068896607,256,8,16,2,False,False,True,2,True,16,True,256,False,1,1,1024,False,1,12,1,8,1,12,1,False,10,2.253998793110339,12,2.253916,16,2,2,True,128,1024,8,1024,True,1,4,2,16
26,2,2048,RS,4,16,False,1,2,0.000987056229401283,True,64,1,2,False,4.167278227452412,256,16,16,1024,False,False,False,2,False,1,True,2,False,16,12,1024,False,4,1,8,1,12,16,1,False,10,4.168501772547588,1,4.16789,1,2,32,True,256,4,4,128,False,12,32,1,1
27,16,8,RS,4,16,True,4,8,0.0007183842982694615,True,1,2048,4,False,2.0506267489806467,8,2,128,128,False,True,True,128,False,128,True,128,True,4,12,2048,False,1,1,1,16,16,16,1,False,10,2.0515172510193525,12,2.0510719999999996,12,1,2,True,512,2048,4,2048,True,1,8,2,8
28,16,256,RS,4,16,True,8,256,0.0002614593658679091,False,8,1,32,True,4.617554948783886,512,16,256,16,True,True,True,4,False,512,False,512,True,1,4,1,True,1,8,16,1,1,12,1,False,10,4.617879051216115,8,4.617717000000001,8,1,16,True,2048,1,16,128,False,8,1,4,1
29,1024,1024,RS,1,4,True,16,32,0.0002581491816760941,False,4,8,1,False,3.049543000419604,8,256,2048,1,True,True,False,2048,True,8,True,64,False,8,1,2048,False,8,1,1,8,8,1,16,False,10,3.0498629995803963,1,3.049703,4,16,2,True,1,128,16,1,False,1,32,1,8
30,8,32,RS,2,1,True,4,32,0.0009477531324136293,False,2,32,2,False,5.154524587316679,1,4,16,16,True,True,True,1,False,1,False,1024,False,12,12,128,True,1,8,1,12,8,8,1,False,10,5.155699412683321,16,5.155112,12,4,1,True,2,256,4,2048,False,1,4,32,12
31,2048,8,RS,2,1,False,2,256,0.00011092790451463915,True,2,32,8,False,4.249496247435839,8,8,1,1024,True,False,False,1,True,1,True,128,True,16,16,256,True,12,1,12,1,16,4,1,False,10,4.249633752564162,4,4.2495650000000005,16,2,16,True,8,1,4,512,False,1,4,8,8
32,4,512,RS,4,16,True,1,256,0.00027042374156132417,True,64,4,8,False,4.410131392708363,128,512,128,256,True,True,True,64,True,64,False,1024,False,12,8,1,True,8,1,1,4,4,16,1,False,10,4.410466607291637,12,4.410299,4,8,4,True,1,2048,4,4,False,12,4,32,1
