id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,32,4,2048,4,8.805998288537216,False,2048,DLMT,4,True,True,False,29,29,0.7975067331935196,10,9,1,9.300289,True,True,9.794579711462783
2,1,4,16,2048,8.609930649155812,False,2048,DLMT,16,True,True,False,21,4,0.033077630144857595,10,1,2,8.630432000000003,True,True,8.650933350844193
3,2,8,64,1024,6.004050905399891,False,512,DLMT,32,False,False,False,14,22,0.028283696522908814,10,24,1,6.021581,True,True,6.039111094600109
4,32,2048,1,1,6.555654583512501,False,1,DLMT,4,False,False,False,15,14,0.0017899731841566598,10,29,1,6.556763999999999,True,False,6.557873416487498
5,4,8,16,1,4.146558378703949,False,1,DLMT,1,True,True,False,29,6,0.0007044607867014603,10,26,1,4.1469949999999995,True,False,4.14743162129605
6,2,2048,128,1,4.2524825231493075,False,2048,DLMT,1,True,True,False,8,18,0.030278520918301115,10,1,5,4.271249,True,True,4.290015476850693
7,32,32,1,2048,inf,False,128,DLMT,1,True,True,False,14,14,inf,1,1,30,inf,False,False,inf
8,4,32,2,1,7.008385502980667,False,2048,DLMT,32,False,True,False,26,1,0.07694236728877002,10,1,17,7.056074,True,True,7.103762497019332
9,1,1,1,8,inf,False,2048,DLMT,32,False,False,True,3,9,inf,1,1,6,inf,False,False,inf
10,16,16,512,32,inf,False,1,DLMT,8,True,True,True,19,1,inf,1,1,6,inf,False,True,inf
11,1,32,4,32,inf,False,8,DLMT,1,False,False,True,22,4,inf,1,1,28,inf,False,True,inf
12,1,16,256,256,6.015463818388206,False,1,DLMT,32,True,True,False,1,25,0.00023424132854815472,10,1,26,6.015609,True,False,6.015754181611795
13,16,2,128,512,5.016780329037992,False,256,DLMT,8,True,True,False,23,7,0.00021082931484961163,10,1,21,5.016911,True,False,5.0170416709620085
14,2,1,1024,512,2.0448114269442734,False,1,DLMT,2,False,True,False,10,18,0.025586802457517013,10,3,1,2.0606700000000004,True,True,2.0765285730557275
15,32,1,64,2,inf,False,64,DLMT,4,True,True,True,29,20,inf,1,30,1,inf,False,True,inf
16,8,2,4,128,inf,False,1,DLMT,16,True,False,True,7,7,inf,1,11,1,inf,False,True,inf
17,32,4,128,8,inf,False,1024,DLMT,4,False,True,False,30,22,inf,1,1,30,inf,False,False,inf
18,32,2048,256,1,inf,False,256,DLMT,1,False,True,True,23,24,inf,1,25,1,inf,False,False,inf
19,1,512,16,1,inf,False,512,DLMT,2,True,False,True,24,25,inf,1,1,30,inf,False,True,inf
20,32,256,1,256,inf,False,256,DLMT,2,False,True,False,30,12,inf,1,1,13,inf,False,True,inf
21,4,2,512,1,inf,False,2048,DLMT,8,False,True,True,3,30,inf,1,8,1,inf,False,False,inf
22,8,16,64,1,0.49962317795841654,False,1,DLMT,2,False,False,True,16,21,0.041386620906278405,10,7,1,0.5252744,True,True,0.5509256220415835
23,1,1,64,512,0.6778208421039976,False,128,DLMT,1,True,False,True,28,22,0.03935520071096067,10,11,1,0.702213,True,True,0.7266051578960023
24,32,64,2048,1,9.390071436684206,False,2048,DLMT,1,True,True,False,1,9,0.0025469118555618946,10,10,1,9.39165,True,False,9.393228563315795
25,8,1,4,2,inf,False,4,DLMT,4,True,True,True,5,1,inf,1,23,1,inf,False,False,inf
26,1,32,1,1,0.2927361347422435,False,8,DLMT,16,True,True,False,15,23,0.057543160881984905,10,17,1,0.32840109999999995,True,True,0.36406606525775637
27,32,1,8,512,0.2439381430027921,False,8,DLMT,2,False,False,False,4,29,0.033585711262976096,10,1,10,0.26475440000000006,True,True,0.285570656997208
28,2,16,2,16,0.7262240103928811,False,128,DLMT,8,True,False,False,2,26,0.09845156289851367,10,2,1,0.7872437999999999,True,True,0.8482635896071188
29,4,4,1,1,1.715231403205298,False,512,DLMT,2,True,False,True,25,21,0.03416709668672479,10,30,1,1.7364079999999997,True,True,1.7575845967947015
30,16,1,4,8,inf,False,128,DLMT,1,True,True,False,10,30,inf,1,1,25,inf,False,False,inf
31,8,32,128,128,0.7556128752622214,False,128,DLMT,16,False,True,False,10,18,0.02306266425632564,10,30,1,0.769907,True,True,0.7842011247377786
32,8,64,4,1024,3.0750090266300614,False,2048,DLMT,1,False,True,True,23,19,0.0011503373418263233,10,28,1,3.075722,True,False,3.0764349733699383
33,2,4,32,16,6.760440119434383,False,32,DLMT,2,True,False,False,14,6,0.0002498899757893225,10,1,12,6.760595,True,False,6.760749880565617
