id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,2048,10,1,16,16,1.0322429999999998,30,1,DLMT,1.0310968850210538,True,False,True,0.001849183874037427,False,1.0333891149789458,False
2,1,10,32,16,32,0.9294895999999999,1,30,DLMT,0.9293781122591704,True,False,True,0.00017987840337294132,False,0.9296010877408294,False
3,1,1,1,1,1,inf,1,3,DLMT,inf,False,True,False,inf,False,inf,False
4,1024,1,8,1,8,inf,24,1,DLMT,inf,False,True,True,inf,True,inf,False
5,1,10,128,8,2,0.1951948,24,1,DLMT,0.1951148801763307,True,False,False,0.0001289455699122715,False,0.1952747198236693,False
6,1,1,1,32,2,inf,1,16,DLMT,inf,False,True,False,inf,True,inf,False
7,32,1,2,32,16,inf,1,30,DLMT,inf,False,True,False,inf,True,inf,False
8,4,1,1,8,2,inf,20,1,DLMT,inf,False,True,True,inf,True,inf,False
9,2048,1,64,32,32,inf,1,11,DLMT,inf,False,True,True,inf,False,inf,False
10,1,1,2048,2,8,inf,1,22,DLMT,inf,False,True,True,inf,False,inf,False
11,256,10,8,32,8,1.0212160000000001,14,1,DLMT,1.0206616024379318,True,False,False,0.0008944853268779865,False,1.0217703975620684,False
12,2048,10,2048,8,32,0.9531661000000001,22,1,DLMT,0.9529212363332198,True,False,False,0.00039507200609509226,True,0.9534109636667805,False
13,16,10,4,2,32,0.21322990000000003,1,1,DLMT,0.21321000187649075,True,False,True,3.2104361074464236e-05,False,0.2132497981235093,False
14,8,10,16,2,8,0.7667113,1,13,DLMT,0.7665491715114574,True,False,False,0.00026158404003301893,True,0.7668734284885426,False
15,2048,10,256,32,4,0.4250511,1,1,DLMT,0.42497680704874147,True,False,False,0.00011986696792694352,True,0.42512539295125856,False
16,64,10,512,1,2,0.20144130000000002,1,28,DLMT,0.20141616190505504,True,False,True,4.055872285957716e-05,True,0.201466438094945,False
17,256,1,2048,8,2,inf,1,5,DLMT,inf,False,True,True,inf,False,inf,False
18,1024,1,8,8,1,inf,8,1,DLMT,inf,False,True,False,inf,True,inf,False
19,128,1,2,2,32,inf,30,1,DLMT,inf,False,True,False,inf,True,inf,False
20,2048,1,4,2,2,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
21,1,10,256,2,16,0.8261236000000001,7,1,DLMT,0.8260957875654793,True,False,True,4.487360025669901e-05,True,0.8261514124345208,False
22,128,10,1,2,1,0.2081401,18,1,DLMT,0.2081073065165712,True,False,True,5.2910206954801976e-05,False,0.2081728934834288,False
23,32,1,512,2,16,inf,26,1,DLMT,inf,False,True,False,inf,False,inf,False
24,16,1,128,16,1,inf,1,24,DLMT,inf,False,True,False,inf,False,inf,False
25,2,10,2048,32,1,0.3145011999999999,29,1,DLMT,0.3142009488957475,True,False,True,0.00048443612582052374,True,0.31480145110425234,False
26,4,10,2048,1,4,0.4975300000000001,11,1,DLMT,0.4974467931228603,True,False,False,0.000134249022342803,False,0.4976132068771399,False
27,1,10,1,1,1,0.2041371,1,1,DLMT,0.20398617705885813,True,False,False,0.0002435045995458797,False,0.20428802294114184,True
28,2048,1,512,16,1,inf,7,1,DLMT,inf,False,True,True,inf,False,inf,False
29,256,1,256,1,32,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
30,1,10,32,8,2,0.19606929999999997,23,1,DLMT,0.19604662185306568,True,False,True,3.658975266382238e-05,True,0.19609197814693427,False
31,1024,10,16,2,1,0.20417610000000003,1,30,DLMT,0.2041494596982813,True,False,True,4.298243827425818e-05,True,0.20420274030171875,False
32,4,10,1,2,32,0.8748536000000001,1,6,DLMT,0.8745464786842861,True,False,True,0.0004955207765573648,False,0.8751607213157141,False
33,32,1,16,1,1,inf,1,20,DLMT,inf,False,True,False,inf,True,inf,False
34,4,1,1,1,8,inf,1,30,DLMT,inf,False,True,False,inf,True,inf,False
35,128,10,2,32,8,0.2313776,12,1,DLMT,0.23088188181119415,True,False,True,0.0007998098774083739,False,0.23187331818880583,False
36,1,1,8,32,32,inf,4,1,DLMT,inf,False,True,False,inf,True,inf,False
37,256,10,2048,16,8,1.04332,30,1,DLMT,1.0423102779903124,True,False,True,0.0016291224631684645,True,1.0443297220096877,False
38,64,1,2048,32,32,inf,20,1,DLMT,inf,False,True,True,inf,True,inf,False
39,16,10,4,16,32,0.23241689999999998,1,1,DLMT,0.23239205333009003,True,False,False,4.0088527037047894e-05,False,0.23244174666990994,False
40,2048,10,8,2,32,0.21056729999999999,30,1,DLMT,0.21054575278313728,True,False,True,3.476506867532306e-05,False,0.2105888472168627,False
41,4,1,256,32,16,inf,1,27,DLMT,inf,False,True,True,inf,False,inf,False
42,2048,1,8,8,16,inf,1,13,DLMT,inf,False,True,False,inf,False,inf,False
43,4,10,2048,32,1,0.5599156000000001,1,7,DLMT,0.5597160036343348,True,False,False,0.00032203608493459575,True,0.5601151963656653,False
44,1,1,2048,1,1,inf,1,17,DLMT,inf,False,True,True,inf,False,inf,False
45,8,10,4,1,4,0.2679808,8,1,DLMT,0.2678639368947223,True,False,True,0.00018855121320214725,True,0.2680976631052777,False
46,2048,10,1,32,32,0.9627931000000001,1,21,DLMT,0.9625921690940289,True,False,False,0.0003241892811306355,True,0.9629940309059712,False
47,1024,1,512,2,8,inf,1,1,DLMT,inf,False,True,True,inf,True,inf,False
48,256,1,1,2,1,inf,30,1,DLMT,inf,False,True,False,inf,False,inf,False
49,2,1,512,4,32,inf,10,1,DLMT,inf,False,True,False,inf,True,inf,False
50,2048,1,8,32,2,inf,21,1,DLMT,inf,False,True,True,inf,False,inf,False
51,1,10,256,1,16,0.6948311,20,1,DLMT,0.6947929431203298,True,False,False,6.156370684094998e-05,False,0.6948692568796703,False
52,256,1,256,32,2,inf,1,9,DLMT,inf,False,True,False,inf,False,inf,False
53,32,1,2048,4,4,inf,1,26,DLMT,inf,False,True,False,inf,False,inf,False
54,1,1,2,16,2,inf,27,1,DLMT,inf,False,True,True,inf,True,inf,False
55,1,1,32,2,32,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
56,8,10,32,1,32,0.8195146,1,22,DLMT,0.8194497697951448,True,False,False,0.00010459942638466688,True,0.8195794302048551,False
57,2048,1,4,4,1,inf,1,7,DLMT,inf,False,True,True,inf,True,inf,False
58,2048,10,256,2,8,0.7419008999999999,30,1,DLMT,0.7416721225039183,True,False,False,0.00036911798926631765,True,0.7421296774960814,False
59,32,1,16,32,1,inf,8,1,DLMT,inf,False,True,False,inf,True,inf,False
60,256,1,1,1,2,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
61,2048,1,64,32,4,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
62,1,10,1024,32,1,1.020849,1,21,DLMT,1.020771963192355,True,False,False,0.00012429400629154427,True,1.0209260368076447,False
63,64,1,1,2,16,inf,22,1,DLMT,inf,False,True,False,inf,True,inf,False
64,1,1,2048,1,16,inf,1,3,DLMT,inf,False,True,False,inf,True,inf,False
65,64,10,2048,2,2,0.49044109999999996,19,1,DLMT,0.49040235467962345,True,False,False,6.251311862320809e-05,True,0.4904798453203765,False
66,2048,1,1,2,32,inf,1,1,DLMT,inf,False,True,True,inf,False,inf,False
67,2048,1,2048,16,32,inf,19,1,DLMT,inf,False,True,False,inf,False,inf,False
