id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
34,1,2048,1,0.2488286742270868,1,64,256,128,RS,False,True,False,False,True,25,1,35,0.24925744005862752,0.0006471070100446882,0.24904305714285715,1,7,True,5,32
35,128,2048,128,inf,32,16,1,128,RS,True,False,True,False,True,20,1,1,inf,inf,inf,12,6,False,1,1
36,1024,256,512,inf,1,256,256,64,RS,True,True,True,True,False,9,32,1,inf,inf,inf,18,1,False,3,1
37,2048,1,1024,0.1462826700468217,8,1,256,32,RS,False,True,False,True,True,4,8,35,0.1464908728103211,0.0003142262229408511,0.1463867714285714,1,9,True,3,1
38,512,1,64,0.17879398159107843,32,32,32,32,RS,True,True,True,False,False,18,1,35,0.1788745326946359,0.0001215702836944589,0.17883425714285717,6,1,True,11,1
39,2048,512,64,0.1823265937466642,32,64,512,256,RS,True,False,False,True,False,14,1,35,0.1824558062533358,0.00019501161870148046,0.1823912,1,23,True,20,1
40,256,512,64,0.23803043298015944,1,16,128,32,RS,False,True,True,False,True,13,8,35,0.23825750987698344,0.0003427116643739444,0.23814397142857144,1,20,True,27,1
41,1,64,64,0.2853380789060698,32,1,16,16,RS,True,True,False,True,False,10,1,35,0.28539272109393027,8.246772528865941e-05,0.28536540000000005,2,1,True,10,1
42,512,512,64,0.10841970817030318,1,32,128,1,RS,False,False,False,False,True,18,8,35,0.1086497204011254,0.0003471417636667093,0.10853471428571429,1,18,True,30,8
43,256,1024,2048,0.17804862726577322,8,128,128,32,RS,False,False,True,False,False,7,1,35,0.1781458298770839,0.00014670126802729584,0.17809722857142857,19,1,True,22,1
44,512,256,256,inf,1,1,128,1,RS,True,True,False,True,True,24,32,1,inf,inf,inf,1,10,False,8,1
45,1,1024,64,0.27187433814526013,1,1,32,512,RS,False,True,True,False,False,18,1,35,0.2720150904261684,0.00021242781246861837,0.27194471428571426,10,18,True,1,32
46,256,2048,512,0.1956539768647164,8,32,64,128,RS,True,True,True,True,True,4,8,35,0.1956897374209979,5.397096725205525e-05,0.19567185714285715,10,1,True,24,1
47,1,1,2048,0.3217941268538249,1,1,32,64,RS,True,True,False,True,False,20,1,35,0.3218672445747466,0.00011035158654528634,0.32183068571428575,22,1,True,12,32
48,1,2048,512,inf,32,128,1,32,RS,False,False,True,False,True,9,1,1,inf,inf,inf,1,4,False,21,1
49,512,64,512,inf,1,1,64,256,RS,False,False,True,True,True,3,32,1,inf,inf,inf,26,6,False,1,1
50,1024,128,1024,0.1114667389557794,1,1,64,128,RS,False,True,True,True,False,15,1,35,0.11149286104422058,3.942428548134202e-05,0.11147979999999999,29,27,True,1,8
