id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
298,4,1,DLMT,16,1,True,2,64,0.00016809521111561514,False,2048,256,4,True,2.1369478154231962,8,2048,16,2048,True,True,False,2048,False,8,True,32,True,1,16,2048,False,1,8,1,4,1,1,16,False,10,2.1371561845768032,1,2.1370519999999997,4,1,1,True,1,256,12,256,True,1,32,1,1
299,4,1,DLMT,2,1,True,2,64,6.452906321965095e-05,True,2048,4,4,True,2.043484005207177,8,2048,1,2048,False,False,True,2048,True,16,True,16,True,8,8,64,True,8,1,1,4,4,16,1,False,10,2.043563994792823,1,2.043524,4,1,2,True,1,256,4,4,True,1,16,1,1
300,4,1,DLMT,1,1,True,2,64,7.391887445031976e-05,True,2048,1,4,True,2.0047901854488224,8,2048,1024,2048,True,False,True,2048,True,1,True,2048,True,8,8,16,True,1,12,1,4,1,1,1,False,10,2.0048818145511778,8,2.004836,4,1,2,True,1,256,1,8,True,1,4,16,1
301,4,1,DLMT,16,1,True,2,64,0.00018432579851991205,False,2048,128,4,False,1.749873755785752,8,2048,8,2048,False,False,False,2048,False,8,True,1,True,12,1,1,True,1,4,1,4,4,8,1,False,10,1.7501022442142482,12,1.749988,8,1,32,True,1,256,12,1,True,1,1,1,1
302,4,1,DLMT,32,1,False,2,64,0.0001506021248189774,True,2048,4,4,True,1.5375836575511825,8,2048,512,2048,True,True,True,2048,True,128,True,256,False,8,1,64,True,1,4,1,4,12,4,1,False,10,1.5377703424488174,12,1.537677,1,1,16,True,2048,256,8,2048,True,1,4,1,1
303,4,1,DLMT,8,1,False,2,64,9.141115905619143e-05,False,2048,1,4,False,2.0105353438177196,8,2048,1,1,True,True,False,2048,True,4,True,4,True,1,4,16,False,1,12,1,4,1,16,1,False,10,2.0106486561822803,12,2.010592,16,1,8,True,1,256,16,1,True,1,1,2,1
304,4,1,DLMT,4,1,True,2,64,8.40773453434194e-05,False,2048,256,4,False,2.1070568892790265,8,2048,32,1,False,False,True,2048,False,1024,True,1,False,16,8,16,False,4,1,1,4,4,12,1,False,10,2.1071611107209725,1,2.1071089999999995,8,1,1,True,1,256,16,1,True,1,32,1,1
305,4,1,DLMT,4,1,True,2,64,9.705668446844387e-05,False,2048,2,4,True,2.039739844749115,8,2048,256,2048,False,True,False,2048,True,1,True,4,False,1,4,1,False,16,1,1,4,1,1,12,False,10,2.039860155250886,8,2.0398000000000005,12,1,32,True,2048,256,1,1024,True,1,16,1,1
306,4,1,DLMT,2,1,True,2,64,0.00020334453521052108,True,2048,1024,4,False,2.179132968067231,8,2048,4,2048,False,False,False,2048,False,64,True,1,False,4,4,16,False,16,1,1,4,8,16,1,False,10,2.17938503193277,16,2.1792590000000005,12,1,1,True,2048,256,1,1024,True,1,1,32,1
307,4,1,DLMT,4,1,False,2,64,0.0001077450694927242,True,2048,1024,4,True,1.9999822201411732,8,2048,512,2048,True,False,True,2048,False,4,True,32,True,16,8,16,False,1,12,1,4,16,1,12,False,10,2.000115779858827,16,2.000049,1,1,8,True,1,256,1,2048,True,1,2,32,1
308,4,1,DLMT,1,1,False,2,64,0.00017403735231261895,False,2048,512,4,True,1.7907211325136012,8,2048,512,1,False,True,False,2048,True,1,True,16,True,8,16,512,True,12,1,1,4,1,8,1,False,10,1.7909368674863988,16,1.790829,1,1,2,True,2048,256,8,1,True,1,1,32,1
309,4,1,DLMT,4,1,True,2,64,0.00078069520300809,True,2048,16,4,True,2.037091128991432,8,2048,2048,1,False,False,True,2048,True,1,True,4,True,12,12,1,False,4,1,1,4,4,1,12,False,10,2.0380588710085688,8,2.0375750000000004,4,1,1,True,1,256,12,2048,True,1,1,32,1
310,4,1,DLMT,8,1,True,2,64,0.00020144726357038128,False,2048,8,4,True,1.981708143986768,8,2048,2048,1,False,False,False,2048,False,512,True,2048,True,1,1,16,True,1,16,1,4,4,12,1,False,10,1.9819578560132327,16,1.9818330000000004,4,1,32,True,1,256,16,2048,True,1,32,1,1
311,4,1,DLMT,4,1,True,2,64,0.0008729037747655806,True,2048,16,4,True,1.9738019785767205,8,2048,4,2048,False,True,True,2048,False,2048,True,1,False,1,4,16,False,1,4,1,4,1,1,1,False,10,1.9748840214232795,16,1.974343,12,1,16,True,1,256,8,128,True,1,1,1,1
312,4,1,DLMT,8,1,False,2,64,8.055432949255402e-05,True,2048,32,4,False,2.00410907282675,8,2048,1,2048,True,True,False,2048,True,1024,True,1,False,16,8,2048,True,16,1,1,4,4,1,8,False,10,2.00420892717325,4,2.004159,4,1,16,True,1,256,12,64,True,1,4,8,1
313,4,1,DLMT,4,1,False,2,64,0.0014958355524588398,False,2048,16,4,True,2.223018888555442,8,2048,256,1,False,False,False,2048,False,1,True,512,True,4,16,8,True,1,12,1,4,8,16,1,False,10,2.2248731114445586,4,2.223946,4,1,1,True,2048,256,16,1024,True,1,1,8,1
314,4,1,DLMT,32,1,False,2,64,0.00015660140484675665,False,2048,8,4,False,2.011138939227224,8,2048,4,2048,True,True,True,2048,False,32,True,1,True,4,8,256,True,1,12,1,4,12,16,1,False,10,2.0113330607727757,16,2.011236,16,1,2,True,2048,256,8,1,True,1,4,32,1
315,4,1,DLMT,8,1,False,2,64,0.000622125389290634,True,2048,2048,4,False,2.046504409774247,8,2048,16,2048,False,True,False,2048,True,2,True,512,True,12,12,1,False,8,1,1,4,8,1,1,False,10,2.0472755902257527,4,2.04689,16,1,16,True,2048,256,12,1,True,1,16,1,1
316,4,1,DLMT,8,1,False,2,64,0.00010897706180661604,False,2048,8,4,True,1.9091704565584573,8,2048,16,1,False,False,False,2048,False,4,True,2048,True,1,1,1024,False,16,1,1,4,16,1,1,False,10,1.9093055434415431,16,1.9092380000000002,1,1,4,True,1,256,1,64,True,1,16,4,1
317,4,1,DLMT,16,1,False,2,64,0.000549800873044089,False,2048,2,4,True,2.0999622361501302,8,2048,256,2048,False,False,True,2048,False,1024,True,1,False,8,16,32,True,1,4,1,4,8,1,1,False,10,2.1006437638498694,12,2.100303,16,1,1,True,2048,256,1,4,True,1,16,2,1
318,4,1,DLMT,1,1,False,2,64,0.0001369817506093726,False,2048,1,4,False,2.1069110993914557,8,2048,2048,2048,False,False,False,2048,True,2,True,32,True,8,4,8,False,12,1,1,4,4,1,8,False,10,2.1070809006085436,16,2.1069959999999996,1,1,2,True,1,256,16,64,True,1,4,16,1
319,4,1,DLMT,2,1,True,2,64,0.00024409834083831153,False,2048,1,4,False,1.7907527090609547,8,2048,32,2048,False,False,False,2048,False,128,True,1,False,4,1,2048,True,12,1,1,4,12,8,1,False,10,1.7910552909390454,12,1.790904,12,1,32,True,2048,256,16,8,True,1,8,1,1
320,4,1,DLMT,4,1,False,2,64,0.001159053493157287,False,2048,2048,4,False,2.1326866244027656,8,2048,1,2048,True,False,True,2048,False,256,True,1024,False,4,4,256,True,1,16,1,4,16,1,4,False,10,2.134123375597234,16,2.1334049999999998,16,1,1,True,1,256,1,2048,True,1,8,16,1
321,4,1,DLMT,2,1,False,2,64,0.00010257192598362279,True,2048,1,4,True,2.0511134264298216,8,2048,1,1,True,True,False,2048,False,2,True,256,True,1,16,64,True,1,8,1,4,4,1,8,False,10,2.0512405735701784,8,2.051177,12,1,1,True,1,256,16,1024,True,1,4,2,1
