id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
1,False,True,1024,DLMT,2.7519645120496024,4,32,1,4,1,9,1,32,10,2.7522460000000004,False,True,True,0.0004541629663458372,2.7525274879503985,False
2,True,True,256,DLMT,1.3930136954663817,2,1,256,1,11,9,16,16,10,1.393313,False,True,False,0.000482908894099087,1.3936123045336184,False
3,False,True,2048,DLMT,0.9200759028988955,16,32,1024,1,18,2,64,1024,10,0.9210762000000001,True,False,True,0.0016139159705511406,0.9220764971011047,False
4,True,True,16,DLMT,1.0547138776806257,1,16,1024,1,10,12,1,1024,10,1.0557459999999999,False,False,False,0.0016652639430432667,1.056778122319374,False
5,True,True,2048,DLMT,1.1310800286355975,2048,256,1,1,5,7,1,128,10,1.132679,True,False,False,0.0025798389484617073,1.1342779713644024,False
6,True,True,32,DLMT,1.7210272304962275,4,1,8,1,3,17,8,1024,10,1.7212520000000002,False,True,True,0.0003626513477156848,1.721476769503773,False
7,False,True,1,DLMT,0.14435998462165459,128,2048,1,1,2,23,256,1,10,0.1527164,True,False,True,0.013482546556196273,0.16107281537834542,False
8,False,True,1024,DLMT,0.5609014091238046,128,2,1024,9,1,11,1,2048,10,0.5633971999999999,True,False,False,0.00402680038740436,0.5658929908761953,False
9,True,True,2048,DLMT,1.2860838009380897,64,2048,1,7,16,1,256,1,10,1.286432,False,True,False,0.0005617971164041077,1.2867801990619103,False
10,False,True,8,DLMT,0.20331925714575236,32,8,128,17,1,4,1,8,10,0.21681150000000002,True,True,True,0.021768878663128242,0.23030374285424768,False
11,False,True,1,DLMT,4.8805694527766565,512,2048,512,17,1,1,8,256,10,4.880834,False,False,False,0.00042683017700248955,4.881098547223344,False
12,False,True,32,DLMT,0.8122524529683474,128,4,1024,1,30,3,8,1024,10,0.8140441,True,True,True,0.00289070892516006,0.8158357470316527,False
13,True,True,2048,DLMT,0.9950025668249877,1,2048,512,7,1,15,64,128,10,0.9954416,False,False,False,0.0007083522005330394,0.9958806331750124,False
14,True,True,2048,DLMT,0.15316757529207642,8,1,128,1,22,3,2048,1,10,0.16383789999999998,True,False,False,0.017215892596377333,0.17450822470792354,False
15,True,True,64,DLMT,0.14981885517916094,256,64,1,5,1,19,2048,2048,10,0.1601133,True,False,False,0.016609434223055285,0.17040774482083904,False
16,False,True,256,DLMT,1.8112131096481736,2,16,4,1,2,30,1,512,10,1.811431,False,False,True,0.00035155227207345603,1.8116488903518264,False
17,False,True,1,DLMT,1.9893635801094496,64,128,128,1,30,2,1,8,10,1.9900680000000002,False,False,True,0.001136536844981303,1.9907724198905508,False
18,True,True,1,DLMT,1.78401009765726,128,1024,1024,3,1,29,2,2048,10,1.7858610000000001,False,True,True,0.0029863136138055016,1.7877119023427404,False
19,False,True,1,DLMT,0.37449354627867304,8,32,32,3,1,23,2,128,10,0.37750300000000003,True,True,False,0.004855562830403907,0.380512453721327,False
20,True,True,1024,DLMT,0.913737077052476,8,512,1024,13,7,1,256,256,10,0.9151999999999999,True,False,True,0.0023603334510191496,0.9166629229475238,False
21,False,True,2048,DLMT,1.4710479841235196,1,256,16,4,24,1,512,512,10,1.471396,False,True,False,0.000561501558323712,1.4717440158764803,False
22,True,True,1,DLMT,0.1353895950203595,8,1,1,22,1,4,512,1024,10,0.1416954,True,False,False,0.010174016652237204,0.1480012049796405,False
23,False,True,1,DLMT,2.0540463003685003,1,8,1,19,4,1,8,1,10,2.055023,False,True,True,0.0015758429490276284,2.0559996996314993,False
24,True,True,1,DLMT,0.3551570778002572,1,2,256,1,5,1,1,256,10,0.36985100000000004,True,True,True,0.023707712120742484,0.3845449221997429,False
25,False,True,1,DLMT,2.551172245438758,8,8,128,6,10,1,2048,2048,10,2.552556,False,False,False,0.00223260027770309,2.553939754561242,False
26,False,True,8,DLMT,0.17442469245871742,1,1,16,11,6,1,1,8,10,0.1848198,True,False,False,0.016771847142160578,0.1952149075412826,False
