id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,1,2048,512,inf,1,256,256,16,DLMT,False,False,True,False,False,26,1,1,8,30,29,1,inf,False,inf,True,inf
2,2048,2048,1,inf,32,256,64,1,DLMT,True,True,False,False,False,30,1,1,1,30,23,1,inf,False,inf,True,inf
3,2048,1,1,inf,1,256,1,64,DLMT,True,False,False,True,True,13,1,1,32,20,23,1,inf,False,inf,True,inf
4,1,2048,1024,inf,1,64,64,256,DLMT,True,False,False,False,False,10,1,1,32,1,11,25,inf,False,inf,False,inf
5,1,64,64,inf,1,1,1,128,DLMT,True,False,True,False,False,9,32,1,1,28,6,1,inf,False,inf,False,inf
6,2048,512,1,inf,1,256,16,64,DLMT,False,True,False,False,True,5,8,1,1,19,1,30,inf,False,inf,False,inf
7,1,256,1024,inf,1,16,64,128,DLMT,False,True,True,False,True,30,1,1,32,21,1,20,inf,False,inf,False,inf
8,512,1,256,inf,1,64,256,64,DLMT,False,False,False,True,False,20,1,1,32,1,1,23,inf,False,inf,False,inf
9,2048,2048,64,inf,1,1,128,64,DLMT,False,True,True,True,True,1,1,1,1,1,29,28,inf,False,inf,False,inf
10,1,1024,1,inf,32,64,512,64,DLMT,True,True,False,True,True,9,1,1,1,18,1,20,inf,False,inf,True,inf
11,2048,1024,1,inf,1,256,512,128,DLMT,True,False,False,False,True,23,32,1,1,22,6,1,inf,False,inf,False,inf
12,1024,2048,1,inf,1,256,256,512,DLMT,True,False,True,True,True,5,1,1,1,4,8,1,inf,False,inf,False,inf
13,256,128,1,inf,1,256,16,1,DLMT,True,True,False,False,False,9,1,1,32,21,1,29,inf,False,inf,True,inf
14,2048,2048,64,inf,1,1,512,1,DLMT,True,True,True,True,True,25,1,1,32,28,26,1,inf,False,inf,False,inf
15,2048,1024,1024,inf,1,1,32,256,DLMT,True,True,False,True,False,3,32,1,1,11,9,1,inf,False,inf,True,inf
16,2048,2048,1,inf,1,1,1,1,DLMT,False,True,True,False,True,19,1,1,32,6,1,5,inf,False,inf,True,inf
17,1,1,1,inf,8,1,512,1,DLMT,False,False,True,False,False,4,1,1,1,9,1,9,inf,False,inf,False,inf
18,1,1024,512,inf,1,256,1,1,DLMT,True,False,True,True,True,28,32,1,1,1,4,19,inf,False,inf,True,inf
19,128,1,1,inf,1,512,64,128,DLMT,False,True,True,True,False,30,32,1,1,1,20,23,inf,False,inf,False,inf
20,1,128,1024,inf,1,16,1,1,DLMT,True,True,False,False,True,22,1,1,1,7,6,1,inf,False,inf,False,inf
21,1024,64,2048,inf,32,32,32,1,DLMT,True,False,False,False,True,5,1,1,1,27,1,27,inf,False,inf,False,inf
22,128,1,2048,inf,1,64,256,1,DLMT,True,True,False,False,True,5,32,1,1,17,25,1,inf,False,inf,True,inf
23,1024,2048,512,inf,1,128,32,1,DLMT,False,False,False,True,False,27,1,1,1,25,1,24,inf,False,inf,True,inf
24,2048,1,256,inf,32,128,1,512,DLMT,True,True,True,False,False,25,1,1,1,11,1,8,inf,False,inf,True,inf
25,1,512,1,inf,32,1,1,16,DLMT,False,False,False,True,False,14,1,1,1,6,17,1,inf,False,inf,True,inf
26,1,128,128,inf,1,64,16,512,DLMT,False,True,False,True,True,26,1,1,1,26,5,1,inf,False,inf,True,inf
27,1,256,2048,inf,8,256,64,512,DLMT,False,False,False,False,True,4,1,1,8,1,28,11,inf,False,inf,False,inf
28,1,2048,2048,inf,8,512,32,32,DLMT,False,True,True,True,False,1,1,1,8,19,1,6,inf,False,inf,False,inf
