id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,256,8,4,1,2.1114049186729082,32,32,2,RS,500,10,True,128,1024,32,1,8,1,False,3,3,False,10,0.00047125470819928155,2.1116970000000004,True,False,2.1119890813270925
2,256,64,16,16,5.371204621821075,128,256,64,RS,500,10,False,1024,16,1024,1,5,2,True,1,6,False,10,0.00010387011119672382,5.371269,True,False,5.3713333781789245
3,1,256,256,1,4.375152756221601,8,16,64,RS,500,10,False,256,128,128,2,18,1,True,1,2,False,10,9.881295461627618e-05,4.375214,True,False,4.375275243778399
4,128,2048,1,4,3.500652552150346,1,2,64,RS,500,10,True,1024,1024,64,4,6,1,False,3,3,False,10,0.010094382051418582,3.5069089999999994,True,True,3.513165447849653
5,128,2,2,32,8.481151103482269,32,2,4,RS,500,10,False,1024,512,256,1,1,19,True,1,2,False,10,0.12451519049899094,8.558325,True,False,8.635498896517731
6,4,512,256,4,11.78130305730719,1,1,4,RS,500,10,False,1024,16,2048,12,2,1,False,1,1,False,10,0.00018867962264069234,11.781419999999999,True,False,11.781536942692808
7,16,32,2,32,4.35963001316551,1,16,256,RS,500,10,True,2,64,512,1,1,1,True,9,4,False,10,0.00011130588483981723,4.359699,True,False,4.35976798683449
8,64,128,8,8,0.24281022795134688,1,2,8,RS,500,10,True,4,2048,2048,3,9,1,True,1,3,False,10,0.025112127780018964,0.2583746,True,True,0.27393897204865314
9,1,2048,32,32,2.845211874819443,1,256,2048,RS,500,10,True,1024,512,2048,1,13,5,True,3,1,False,10,0.002773699515088138,2.846931,True,True,2.848650125180557
10,2048,256,4,1,14.027028929231316,128,64,64,RS,500,10,False,1,4,512,1,1,4,False,1,7,False,10,0.0008729833904490685,14.02757,True,False,14.028111070768686
11,1024,512,8,1,4.609973208907871,4,16,2048,RS,500,10,False,2048,64,1,2,1,2,True,3,6,False,10,0.0004530386296994182,4.610254,True,False,4.61053479109213
12,64,1,512,16,7.378979478257386,2,8,32,RS,500,10,False,4,2048,2048,1,3,2,False,4,1,False,10,0.00020090793911645496,7.379104000000001,True,False,7.379228521742616
13,64,1,1,4,7.542054904735553,1,2,128,RS,500,10,True,64,16,512,1,11,2,False,1,1,False,10,0.0009843500393661418,7.542665000000001,True,False,7.543275095264449
14,4,2,1,2048,4.614146431841146,1,1,1,RS,500,10,False,2048,1,8,1,7,1,False,4,4,False,10,0.010764152358639317,4.620818,True,True,4.627489568158854
15,1024,512,4,64,9.374545291306122,2048,256,16,RS,500,10,True,1,128,1,1,1,13,False,4,1,False,10,0.16046225527830527,9.473999000000001,True,True,9.57345270869388
16,32,2048,256,4,3.8214198606642644,2,4,128,RS,500,10,True,8,64,1024,2,2,2,True,1,3,False,10,0.000724657850299006,3.8218690000000004,True,False,3.8223181393357364
