id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,2048,512,0.25297215413888935,1,512,128,256,DLMT,False,False,True,True,False,16,1,35,0.25326961728968195,0.00044894083424551706,0.25312088571428565,9,1,True,28,32
2,64,512,64,0.28074787033185367,1,32,32,1,DLMT,True,True,True,True,False,19,1,35,0.2808781296681464,0.00019659152721169707,0.28081300000000003,25,3,True,1,32
3,128,512,2048,inf,1,1,1,64,DLMT,False,True,False,True,False,28,32,1,inf,inf,inf,1,26,False,13,1
4,512,1024,2048,inf,32,512,512,1,DLMT,False,True,True,True,True,17,1,1,inf,inf,inf,10,1,False,4,1
5,2048,1024,1024,0.10883060140668789,1,1,512,128,DLMT,False,True,True,False,False,30,1,35,0.1088737985933121,6.519456594357774e-05,0.1088522,4,15,True,1,1
6,64,1,1,0.12314233755625037,1,16,128,16,DLMT,False,False,False,False,False,6,1,35,0.12316617672946392,3.597883731714947e-05,0.12315425714285715,5,2,True,1,8
7,128,64,1,0.17938118821901797,32,512,16,1,DLMT,False,False,True,True,False,23,1,35,0.1794246403524106,6.557933970327899e-05,0.17940291428571428,1,19,True,2,1
8,128,512,1024,0.2064115451332253,1,512,64,32,DLMT,True,True,False,False,False,30,32,35,0.20645359772391753,6.34671054120766e-05,0.2064325714285714,17,1,True,25,1
9,64,128,1024,0.20141983762937107,1,512,1,32,DLMT,False,True,True,False,True,9,1,35,0.2015627337992004,0.00021566343771568466,0.20149128571428573,1,30,True,20,1
10,1,1,512,0.25422766077106196,1,64,256,512,DLMT,False,True,False,True,True,20,1,35,0.2542738249432238,6.967243474477758e-05,0.2542507428571429,19,1,True,28,1
11,2048,512,1,inf,1,512,1,128,DLMT,False,True,True,True,False,4,32,1,inf,inf,inf,25,1,False,11,1
12,512,512,2048,0.13049332955738685,1,32,256,16,DLMT,True,True,False,True,False,4,1,35,0.13052158472832742,4.2643601333539845e-05,0.13050745714285714,1,8,True,2,1
13,2048,2048,256,0.2269514850537628,1,16,64,1,DLMT,True,True,True,False,True,30,1,35,0.2270999435176658,0.0002240582285833733,0.2270257142857143,26,1,True,25,1
