id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
37,128,2048,32,0.09054863941310877,2,False,128,1,SIMA,True,False,True,False,False,3,2,1,35,16,6,1,19,6.743424649241766e-05,True,0.09057098,0.09059332058689122
38,32,2048,32,0.09666297303630587,4,False,128,1,SIMA,True,False,True,False,False,1,4,1,35,4,6,1,21,0.00010291612888013908,True,0.09669706857142857,0.09673116410655126
39,32,2048,32,0.19483648040126486,2,False,32,2,SIMA,True,True,True,False,False,2,2,1,35,16,5,1,19,3.7013775703605095e-05,True,0.19484874285714285,0.19486100531302084
40,128,2048,32,0.08517737758511623,1,False,32,1,SIMA,True,False,True,False,True,3,4,1,35,16,4,1,19,2.894141809988978e-05,True,0.0851869657142857,0.08519655384345518
41,256,1024,64,0.12661924778739947,2,False,32,2,SIMA,True,True,True,True,True,4,4,1,35,8,3,1,18,0.0001493128205056306,True,0.1266687142857143,0.12671818078402913
42,256,2048,32,0.17111420260108173,1,False,16,1,SIMA,True,False,True,False,False,4,8,2,35,8,3,1,19,0.000276569648754605,True,0.17120582857142858,0.17129745454177542
43,128,1024,32,0.20861194325889923,2,False,32,1,SIMA,True,False,False,True,False,2,2,2,35,16,5,1,18,4.208479292949479e-05,True,0.2086258857142857,0.20863982816967216
44,128,1024,32,0.4793294955945703,1,False,64,2,SIMA,False,False,True,True,False,3,4,2,35,8,3,1,20,0.00018314779133090316,True,0.4793901714285714,0.4794508472625725
45,128,1024,64,0.22778617284983135,1,False,16,1,SIMA,False,True,True,False,True,3,4,2,35,16,5,1,19,4.2685408298770284e-05,True,0.2278003142857143,0.22781445572159723
46,128,1024,64,0.18712111692617764,1,False,16,1,SIMA,True,True,True,True,False,4,2,2,35,16,5,1,18,0.00012349030863404145,True,0.18716202857142858,0.18720294021667952
47,64,2048,32,0.27492228243740124,2,False,64,2,SIMA,True,True,False,True,True,2,4,2,35,8,4,1,20,0.00030271866106189186,True,0.27502257142857145,0.27512286041974165
48,64,1024,64,0.17086709820093035,2,False,16,2,SIMA,True,True,False,False,True,3,4,1,35,8,4,1,19,0.00023359138577910593,True,0.1709444857142857,0.17102187322764104
49,256,2048,64,0.0911567492627457,1,False,16,1,SIMA,True,True,True,False,True,2,2,1,35,8,4,1,19,2.920801595313142e-05,True,0.09116642571428571,0.09117610216582572
50,128,2048,16,0.2187379069639742,2,False,32,1,SIMA,True,False,False,False,True,3,4,2,35,8,4,1,20,0.00010058005644809753,True,0.21877122857142858,0.21880455017888298
51,128,2048,32,0.20452547277596517,1,False,16,1,SIMA,False,False,True,False,True,4,2,2,35,16,4,1,19,0.0001710565725729618,True,0.20458214285714285,0.20463881293832054
52,256,1024,32,0.22249632704466252,1,False,32,2,SIMA,False,False,True,True,False,4,8,1,35,8,5,1,19,8.059758440700945e-05,True,0.22252302857142858,0.22254973009819465
53,64,2048,16,0.1124380140327413,1,False,64,1,SIMA,False,False,False,True,True,3,4,1,35,16,4,1,20,4.428593548331813e-05,True,0.11245268571428571,0.11246735739583012
54,64,2048,32,0.1566792423858494,1,False,16,2,SIMA,True,True,False,False,True,2,2,1,35,8,4,1,18,0.00010577700841962032,True,0.15671428571428575,0.1567493290427221
55,64,1024,16,0.20597762270797387,1,False,64,1,SIMA,True,False,True,False,True,2,8,2,35,8,5,1,18,4.969298394201344e-05,True,0.20599408571428574,0.2060105487205976
