id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
32,64,512,16,4,2.723807431171976,1,False,1,DLMT,32,True,True,True,False,10,30,False,1,19,2,10,1,8,2.7534959999999997,0.047900624046039245,True,True,1,2,4,2.7831845688280232,27
33,32,64,128,4,5.258340144190763,1024,False,1024,DLMT,512,True,True,True,False,21,23,True,1,12,2,10,1,8,5.2649729999999995,0.010701692436245754,True,False,16,8,1024,5.271605855809236,30
34,256,4,16,4,10.099422852457034,1,False,1024,DLMT,64,False,False,True,False,1,20,True,30,11,1,10,1,16,10.09966,0.00038262252939430015,True,False,1,1,8,10.099897147542967,10
35,4,256,2,256,6.272690506733917,2048,False,2048,DLMT,16,False,False,True,False,23,1,False,1,23,4,10,14,1,6.272959999999999,0.0004348103034657053,True,False,8,16,2048,6.273229493266082,10
36,32,1,2,1024,2.8120500814834033,128,False,512,DLMT,1,True,True,True,False,1,3,False,14,17,2,10,1,16,2.862451,0.08131868745251618,True,True,32,4,1,2.912851918516597,20
37,4,256,32,1,2.351717265754998,128,False,1024,DLMT,2048,False,True,True,False,27,14,True,1,29,2,10,1,1,2.4194009999999997,0.10920341518926957,True,True,16,1,4,2.4870847342450015,23
38,16,2,32,4,3.151206507333148,2048,False,32,DLMT,128,False,True,False,False,1,1,False,8,30,8,10,1,16,3.2280439999999997,0.12397242420796648,True,True,16,1,32,3.3048814926668513,25
39,4,32,32,64,5.543475195923201,128,False,2048,DLMT,256,True,False,False,False,1,11,True,28,24,2,10,1,2,5.544209,0.0011839463670284905,True,False,4,32,256,5.5449428040768,29
40,2,4,512,2048,2.4032785479706367,16,False,512,DLMT,2048,True,False,False,True,1,26,True,17,14,32,10,1,4,2.4570540000000003,0.08676328338646486,True,True,1,4,2048,2.510829452029364,4
41,4,8,2,64,6.389315858243278,32,False,1,DLMT,1,True,True,False,True,18,10,False,1,5,4,10,1,8,6.389811,0.0007988798407771386,True,False,16,4,512,6.390306141756722,8
42,2,4,32,1024,2.5343069274334096,1024,False,8,DLMT,1,True,False,True,True,1,15,False,23,1,8,10,1,1,2.6163009999999995,0.13229223903540213,True,True,2,16,2048,2.6982950725665895,3
43,32,1,16,256,2.65708060435227,256,False,2048,DLMT,64,False,False,False,False,1,1,True,1,17,16,10,13,8,2.686663,0.047729320349236076,True,True,8,1,256,2.7162453956477295,6
44,256,1,16,128,4.5740016055669805,2048,False,1024,DLMT,1,True,True,False,False,27,10,True,1,9,4,10,1,2,4.574485,0.0007799262785673835,True,False,4,16,2048,4.57496839443302,27
45,128,2048,64,4,6.691489227778493,256,False,2048,DLMT,1,False,True,True,True,1,11,False,9,18,4,10,1,2,6.703801,0.019864264119267033,True,False,2,1,1024,6.716112772221508,28
46,2,1,1024,512,10.132150122140144,1024,False,2,DLMT,1024,False,True,True,True,30,1,False,1,12,2,10,12,32,10.13242,0.0004354308211415744,True,False,1,16,512,10.132689877859855,8
47,2,1,2,4,6.795056733392921,1,False,2048,DLMT,1024,True,False,True,False,1,16,True,5,28,16,10,1,8,6.795302000000001,0.0003957221247288249,True,False,32,2,2048,6.795547266607081,6
48,1024,1,128,4,18.54812016330669,1024,False,128,DLMT,1,True,False,False,False,10,1,True,1,25,1,10,11,32,18.55402,0.009519012553831746,True,False,8,2,32,18.55991983669331,28
49,2,4,4,1,2.551988444879525,512,False,1024,DLMT,128,True,False,True,True,1,30,False,1,4,2,10,1,1,2.596684,0.07211344523734807,True,True,16,2,8,2.6413795551204755,1
50,2048,128,1,8,10.522837842076862,2048,False,128,DLMT,128,True,True,False,False,22,5,True,1,22,1,10,1,32,10.52642,0.005779584760171066,True,False,2,32,2048,10.530002157923137,12
51,4,1024,64,256,2.6727553012551715,32,False,1,DLMT,128,False,False,True,True,11,1,True,1,16,1,10,30,32,2.699455,0.043078271611103405,True,True,1,16,2048,2.7261546987448284,27
52,2048,4,2048,256,8.445931937522463,2048,False,1,DLMT,1,False,True,True,False,2,1,False,1,22,4,10,15,2,8.446062,0.0002098475637218573,True,False,4,32,512,8.446192062477536,22
53,128,512,2048,16,2.40033898832026,128,False,1024,DLMT,1,False,False,False,False,4,1,False,1,14,1,10,27,1,2.4757550000000004,0.12167895473334739,True,True,1,4,16,2.551171011679741,22
54,2048,4,64,128,1.9631979616074253,1,False,8,DLMT,64,True,False,False,True,13,1,True,1,18,1,10,9,8,2.075152,0.18063074493562828,True,True,32,1,1024,2.187106038392575,1
55,4,32,2,4,1.639439288644171,2048,False,64,DLMT,2048,True,True,False,True,1,1,True,5,8,2,10,23,16,1.906595,0.4310388070754187,True,True,8,16,128,2.173750711355829,21
56,1024,1,4,16,25.03730956169545,1,False,256,DLMT,2048,False,False,True,False,17,1,False,1,2,2,10,11,16,25.038359999999997,0.001694815624190661,True,False,4,8,1024,25.039410438304543,19
57,128,32,512,64,2.511160974386081,128,False,1024,DLMT,512,True,True,False,True,1,12,False,22,25,2,10,1,4,2.540817,0.04784811763277633,True,True,8,8,2048,2.570473025613919,19
58,32,16,32,64,5.096799807756937,1,False,16,DLMT,256,True,False,True,False,1,1,True,14,18,1,10,14,2,5.098235000000001,0.0023155917170348617,True,False,32,2,2048,5.099670192243065,17
59,8,1,2,512,5.158641760110405,8,False,32,DLMT,2,True,False,False,True,1,21,True,24,9,1,10,1,2,5.159622000000001,0.0015815549310726584,True,False,8,4,1,5.160602239889596,26
60,256,32,2048,32,6.305489466740611,256,False,2048,DLMT,1,False,False,True,False,23,1,False,1,19,1,10,1,4,6.30607,0.000936653617939901,True,False,4,2,1,6.306650533259389,12
61,1024,1,1,1,8.473098053456624,2048,False,4,DLMT,256,True,False,False,False,1,1,False,24,21,32,10,13,4,8.477959,0.007842829145148956,True,False,16,1,1,8.482819946543376,6
62,1,2,1,128,5.113584091831576,2048,False,1,DLMT,16,True,True,True,True,5,8,True,1,5,32,10,1,2,5.114473,0.0014341969878645976,True,False,8,4,1024,5.115361908168425,17
63,8,2,2,1,2.729028505902787,1,False,128,DLMT,8,True,True,False,True,12,17,False,1,17,1,10,1,8,2.757967,0.04669042601005048,True,True,4,1,512,2.786905494097213,26
64,8,4,4,4,9.221071652892542,256,False,16,DLMT,512,False,True,False,True,1,1,False,1,12,16,10,10,8,9.221406,0.0005394478658779407,True,False,2,4,4,9.221740347107458,30
65,32,8,2048,2,2.8582901983789886,1,False,1024,DLMT,1,True,True,False,False,1,1,False,30,1,1,10,5,32,2.914244,0.09027791238171168,True,True,1,2,128,2.9701978016210115,24
66,8,32,1,512,2.463260155485266,256,False,1024,DLMT,4,False,False,True,False,1,9,False,25,11,1,10,1,4,2.502761,0.06373210893262508,True,True,1,16,1024,2.542261844514734,20
67,8,256,16,1,7.782094424170207,256,False,1024,DLMT,1,False,False,True,True,30,26,True,1,26,16,10,1,8,7.784494,0.0038715635084550044,True,False,1,32,2,7.786893575829792,11
68,1,2048,4,64,2.595931243170339,512,False,1,DLMT,128,True,False,False,True,26,11,False,1,23,16,10,1,8,2.653157,0.09233013149021291,True,True,4,32,256,2.7103827568296612,19
69,32,256,1024,1024,4.111147875467956,1024,False,256,DLMT,1024,False,False,False,True,1,5,True,30,20,1,10,1,8,4.112207,0.0017088303016976928,True,False,8,2,1,4.113266124532044,1
70,16,2,2,2,2.644677630703754,1,False,4,DLMT,2048,False,True,True,False,1,1,False,20,25,8,10,30,8,2.7232030000000003,0.12669570616638914,True,True,4,2,1,2.8017283692962467,6
71,256,2,1,256,2.6139684476133698,1024,False,512,DLMT,8,True,True,False,True,1,20,True,29,15,16,10,1,1,2.676743,0.10128276142068798,True,True,1,4,1024,2.7395175523866304,7
72,2,64,4,8,7.3104426453360665,2048,False,1,DLMT,2048,True,False,False,True,1,1,True,3,2,1,10,30,4,7.310841000000001,0.0006427200012448456,True,False,32,2,128,7.311239354663935,27
73,8,4,8,16,2.466891901424753,64,False,1,DLMT,64,False,False,True,True,30,1,False,1,12,4,10,25,32,2.531098,0.10359247045997112,True,True,4,2,512,2.595304098575247,24
74,1,1,1,1,6.431035684451298,1,True,1,DLMT,1,False,False,False,False,1,1,False,1,1,1,10,1,1,6.431112999999999,0.00012474373731770325,True,False,1,1,1,6.4311903155487,1
75,32,4,512,1024,2.442940665136716,32,False,1024,DLMT,2048,True,False,False,True,1,1,True,4,28,1,10,16,1,2.4952530000000004,0.08440263657611646,True,True,2,16,2048,2.5475653348632847,30
76,32,4,512,1024,2.3364537292816103,32,False,2048,DLMT,2048,True,False,False,True,1,1,True,4,30,1,10,16,1,2.393891,0.09267139574323892,True,True,1,8,1024,2.4513282707183897,30
77,32,4,512,1024,2.4887233353050613,32,False,256,DLMT,2048,True,False,False,True,1,1,True,4,30,8,10,16,1,2.5579999999999994,0.11177350750513296,True,True,1,32,1,2.6272766646949375,30
78,32,4,512,1024,2.283914742446834,32,False,32,DLMT,2048,False,False,False,True,1,1,False,4,30,32,10,16,1,2.3452930000000003,0.0990299282085976,True,True,2,2,1024,2.4066712575531666,30
79,32,4,512,1024,2.40803035999965,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,19,2,10,16,1,2.4488019999999997,0.06578245690151746,True,True,2,2,2048,2.489573640000349,30
80,32,4,512,1024,2.3881456924634747,32,False,1024,DLMT,2048,False,False,False,True,1,1,True,4,23,2,10,16,1,2.463195,0.12108730084116996,True,True,4,8,1,2.538244307536525,30
81,32,4,512,1024,2.3655918268916465,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,29,8,10,16,1,2.4156250000000004,0.0807253535452153,True,True,32,1,1,2.4656581731083542,30
82,32,4,512,1024,2.5245144406031264,32,False,8,DLMT,2048,True,False,False,True,1,1,True,4,24,16,10,16,1,2.587081,0.10094717791498681,True,True,2,8,1,2.6496475593968736,30
83,32,4,512,1024,2.3929811835315005,32,False,256,DLMT,2048,True,False,False,True,1,1,False,4,30,32,10,16,1,2.469588,0.12360024278293298,True,True,8,1,2048,2.5461948164684993,30
