id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
33,128,2048,1024,0.24837737944187188,1,False,32,32,DLMT,False,False,False,False,True,14,32,1,35,0.24840662055812807,4.413162131623852e-05,0.24839199999999997,30,1,True,23,1
34,2048,64,256,0.34004516882708713,1,False,32,256,DLMT,True,False,False,False,False,13,1,64,35,0.34013357403005573,0.00013342393996244333,0.34008937142857143,30,1,True,28,32
35,128,1,1,0.13356584877359795,1,False,64,1,DLMT,False,True,True,True,False,3,1,16,35,0.1337088369406878,0.00021580228290294444,0.13363734285714288,1,10,True,12,1
36,256,1,1024,0.2535017877017917,1,False,128,32,DLMT,True,False,False,True,True,30,1,512,35,0.2536671265839227,0.0002495346918746566,0.2535844571428572,7,1,True,11,1
37,1024,512,1024,0.17251922543192869,1,False,64,512,DLMT,False,False,True,True,False,14,1,16,35,0.172547860282357,4.32166256745469e-05,0.17253354285714284,17,1,True,28,32
38,1024,1,512,inf,1,False,32,512,DLMT,True,True,True,True,False,12,32,512,1,inf,inf,inf,27,1,False,5,1
39,2048,512,2048,0.18058098709397732,1,False,256,128,DLMT,True,True,True,False,False,15,1,1,35,0.18060215576316554,3.194842783011774e-05,0.18059157142857143,5,1,True,27,1
40,128,512,1024,inf,32,False,512,1,DLMT,False,False,True,False,True,1,1,128,1,inf,inf,inf,9,5,False,1,1
41,2048,64,64,0.25150515471356644,32,False,16,128,DLMT,False,False,False,False,False,5,1,32,35,0.2516001024292907,0.00014329810799553882,0.25155262857142857,1,20,True,2,1
42,2048,1,2048,0.256741028396382,1,False,1,16,DLMT,True,True,False,True,True,10,1,32,35,0.2569234858893322,0.00027537064298942374,0.2568322571428571,1,30,True,9,32
43,2048,1024,2048,0.19259959440267596,1,False,512,1,DLMT,False,True,False,False,False,22,32,256,35,0.1926195484544669,3.0115288679421712e-05,0.19260957142857144,28,1,True,23,1
44,2048,2048,1,0.19487347973651925,1,False,512,256,DLMT,True,False,True,True,True,24,1,128,35,0.1951000631206236,0.00034196683930415284,0.19498677142857143,27,8,True,1,1
45,256,2048,1024,0.12960072473412756,32,False,512,256,DLMT,True,False,True,False,False,30,1,32,35,0.12964367526587248,6.482230656626732e-05,0.12962220000000002,1,10,True,12,1
46,64,2048,1,0.21053298206944332,1,False,64,32,DLMT,True,False,True,False,True,25,32,128,35,0.21064347507341386,0.00016675955071630052,0.2105882285714286,1,23,True,27,1
47,2048,2048,2048,0.294465734562935,1,False,16,16,DLMT,False,True,True,False,False,29,1,512,35,0.29459523686563627,0.00019544898807303724,0.29453048571428564,15,7,True,1,32
48,512,2048,1024,0.25651407681558663,1,False,512,512,DLMT,False,True,False,True,True,1,1,512,35,0.2565331231844133,2.874538472272334e-05,0.25652359999999996,18,1,True,28,1
