id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,512,512,2048,inf,1,512,512,256,DLMT,False,False,False,False,True,4,32,1,1,4,1,7,inf,False,inf,False,inf
2,1024,256,1,inf,32,512,128,128,DLMT,True,False,False,True,True,29,1,1,1,2,1,4,inf,False,inf,False,inf
3,2048,64,128,inf,1,128,16,256,DLMT,False,True,True,False,True,2,32,1,1,1,23,20,inf,False,inf,True,inf
4,2048,1024,2048,inf,1,256,512,1,DLMT,False,False,True,False,False,7,1,1,1,21,1,14,inf,False,inf,True,inf
5,1,1,64,inf,8,1,512,512,DLMT,False,True,False,True,True,1,1,1,1,1,15,29,inf,False,inf,False,inf
6,512,1024,1,inf,1,1,1,32,DLMT,True,False,True,True,True,10,32,1,1,12,1,21,inf,False,inf,False,inf
7,1,1024,64,inf,1,1,256,512,DLMT,False,False,False,True,False,25,32,1,1,1,29,12,inf,False,inf,False,inf
8,2048,64,64,inf,1,32,16,512,DLMT,False,True,False,False,False,28,1,1,1,1,19,3,inf,False,inf,True,inf
9,1024,2048,128,inf,32,64,512,16,DLMT,True,True,True,False,True,25,1,1,1,1,23,28,inf,False,inf,False,inf
10,1024,2048,1024,inf,32,16,512,256,DLMT,True,True,False,True,False,8,1,1,1,25,28,1,inf,False,inf,False,inf
11,1,2048,128,inf,1,1,128,64,DLMT,True,False,False,False,True,21,1,1,32,25,19,1,inf,False,inf,False,inf
12,256,1,2048,inf,1,256,1,64,DLMT,False,False,False,True,True,6,1,1,1,26,26,1,inf,False,inf,True,inf
13,1024,256,1,inf,1,256,32,512,DLMT,True,True,True,True,True,28,1,1,32,29,1,2,inf,False,inf,False,inf
14,1,1,2048,inf,32,128,1,256,DLMT,False,False,True,False,False,5,1,1,1,21,22,1,inf,False,inf,False,inf
15,1,2048,512,inf,1,128,32,256,DLMT,True,True,False,False,False,16,1,1,1,1,23,3,inf,False,inf,False,inf
16,1,512,1024,inf,1,512,128,1,DLMT,False,True,True,True,True,12,1,1,32,5,1,29,inf,False,inf,True,inf
17,1024,1,1,inf,1,512,32,1,DLMT,True,False,False,True,False,7,1,1,32,1,4,25,inf,False,inf,False,inf
18,1024,1,128,inf,32,16,64,1,DLMT,True,False,False,False,True,1,1,1,1,16,10,1,inf,False,inf,True,inf
19,512,1,2048,inf,1,512,64,512,DLMT,True,True,False,False,False,19,32,1,1,21,1,20,inf,False,inf,True,inf
20,256,2048,1,inf,32,256,1,32,DLMT,False,True,False,True,False,21,1,1,1,14,1,28,inf,False,inf,False,inf
21,64,1,512,inf,1,1,256,1,DLMT,True,True,True,True,False,26,32,1,1,1,22,1,inf,False,inf,False,inf
22,64,1,2048,inf,8,16,128,16,DLMT,False,True,False,True,True,28,1,1,8,29,1,8,inf,False,inf,True,inf
23,2048,1,1,inf,1,512,512,256,DLMT,False,True,True,True,False,4,8,1,8,13,29,1,inf,False,inf,True,inf
24,1,1024,64,inf,1,1,1,1,DLMT,False,True,True,False,False,3,1,1,32,30,2,1,inf,False,inf,False,inf
25,1024,256,2048,inf,1,1,1,512,DLMT,True,False,True,True,False,6,1,1,32,9,2,1,inf,False,inf,False,inf
26,1024,1024,2048,inf,8,512,16,128,DLMT,False,False,False,False,False,30,1,1,8,1,30,30,inf,False,inf,True,inf
27,1,1,512,inf,1,512,64,256,DLMT,True,False,True,False,False,26,1,1,1,25,1,28,inf,False,inf,False,inf
28,256,1024,1024,inf,1,512,1,1,DLMT,True,True,False,True,True,10,8,1,1,30,26,1,inf,False,inf,False,inf
