id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,2048,16,DLMT,4,4,True,8,4,0.0034537950141835735,True,32,512,16,False,2.397959355007611,256,1,2048,1,False,True,False,16,False,2,False,256,False,16,16,256,True,4,1,16,1,1,12,1,False,10,2.402240644992389,4,2.4001,8,2,1,True,256,16,12,2048,True,12,1,32,1
2,32,2048,DLMT,32,1,True,4,32,0.00024004999479276787,False,64,2,4,False,2.961805218205723,16,8,1,128,True,True,False,4,True,128,True,128,True,16,8,1024,True,1,8,1,16,4,4,1,False,10,2.962102781794277,4,2.961954,16,2,32,True,16,512,12,128,False,8,4,8,1
3,4,512,DLMT,4,1,True,1,2,0.002950733637589166,False,16,8,1,False,3.212112149949768,8,1,64,16,True,False,True,64,True,1,True,256,True,4,12,64,False,8,1,1,4,4,1,1,False,10,3.2157698500502314,16,3.2139409999999997,16,8,4,True,512,2048,16,1,False,4,2,32,1
4,256,1,DLMT,2,2,False,4,8,0.0002639772717489197,True,2,4,8,False,2.225980388198329,1,16,512,4,False,False,True,8,True,1,False,1,True,4,12,512,False,16,1,1,8,1,1,12,False,10,2.2263076118016714,4,2.226144,1,4,8,True,16,256,12,8,True,16,16,2,1
5,8,1024,DLMT,32,1,False,4,16,0.00017961069010502786,True,1,1,2,True,2.659518678186524,2,128,128,16,True,False,False,1,True,1,False,1024,False,8,1,2048,True,1,12,1,4,1,1,4,False,10,2.659741321813476,16,2.65963,8,1,32,True,2048,16,1,256,False,1,32,1,16
6,64,2,DLMT,1,32,True,1,4,0.00015559241626762356,False,4,4,8,False,2.8287345645933333,1,1,256,512,False,True,False,4,True,16,True,16,True,4,16,1,False,1,1,16,1,4,1,1,False,10,2.828927435406667,16,2.828831,8,1,1,True,1,8,1,1,True,12,4,2,1
7,32,8,DLMT,16,4,True,16,2,0.0001415944914183406,True,1,4,2,False,4.326233240437618,2048,4,64,256,True,True,False,8,True,16,False,16,False,12,4,2048,False,1,16,12,1,12,1,16,False,10,4.326408759562383,1,4.326321,12,1,1,True,2048,128,8,4,False,1,16,4,1
8,1,1024,DLMT,8,2,True,16,16,0.0012626959253913687,False,64,16,16,True,2.730300387338131,8,2,128,128,False,True,False,1,False,4,True,512,False,4,4,128,False,8,1,16,1,12,16,1,False,10,2.731865612661869,1,2.731083,12,1,8,True,4,64,16,128,True,8,4,4,1
9,512,8,DLMT,32,32,True,4,64,0.0004667386849190309,True,32,1,2,False,2.7109557176817027,4,1,1024,2048,True,False,False,64,False,2,True,64,True,1,8,1024,False,16,1,4,1,16,1,4,False,10,2.711534282318297,1,2.711245,1,16,8,True,2048,512,12,4,False,12,1,1,1
10,16,128,DLMT,1,16,True,2,256,0.00011367057666788615,False,2,1,4,True,3.673946547541262,512,16,128,1,True,False,True,256,False,1,False,128,False,8,16,2048,True,12,1,1,4,12,1,12,False,10,3.674087452458738,4,3.674017,12,8,8,True,256,512,1,32,False,16,2,2,1
11,32,2,DLMT,8,16,True,1,32,0.00010910545357592352,True,1,2,4,True,2.4632183769818763,16,2,128,32,True,True,False,512,True,64,False,64,True,12,12,1,True,1,12,1,1,16,8,1,False,10,2.463353623018124,12,2.463286,1,8,4,True,1,512,8,1,True,1,4,32,8
12,512,2048,DLMT,2,2,False,1,8,0.00020114919835779608,True,1,1,32,False,3.9462283287261055,32,32,1024,4,True,True,True,128,True,2,False,128,False,12,16,256,True,1,1,1,1,8,8,1,False,10,3.946477671273894,8,3.9463529999999998,16,1,32,True,256,1,12,4,False,1,4,4,1
13,8,512,DLMT,2,2,False,32,1,0.0006867466781863481,False,32,4,8,True,1.6358313578204084,32,4,512,32,False,False,False,16,False,2048,True,1,False,1,4,1,True,1,8,8,1,16,8,1,False,10,1.6366826421795917,8,1.636257,12,1,32,True,32,4,8,1,True,4,32,1,1
14,8,256,DLMT,8,1,True,8,64,0.0001553576518874992,True,256,32,8,False,2.1255817100991297,16,8,2048,512,False,False,False,256,False,512,True,1,False,16,12,1024,False,4,1,1,16,8,1,4,False,10,2.1257742899008707,8,2.125678,12,4,1,True,512,64,8,128,True,1,2,16,4
15,4,2048,DLMT,32,8,False,4,4,0.00011739250401959841,False,128,1,2,True,1.841300240709179,4,1,128,1024,True,False,False,32,False,32,False,64,False,1,16,16,True,1,16,4,1,1,12,1,False,10,1.8414457592908213,4,1.8413730000000001,8,16,8,True,32,2048,4,2,True,1,32,4,12
16,2,128,DLMT,16,1,True,16,2,0.00031287217837325015,False,32,4,2,False,4.137245083378097,2,32,256,2048,True,False,False,8,True,16,True,128,True,4,1,2,False,1,1,8,1,1,12,1,False,10,4.137632916621902,8,4.137439,12,1,1,True,512,128,1,4,False,1,1,1,16
17,64,512,DLMT,8,1,True,16,1,0.0024132210839456964,False,2,1,16,False,3.3359362975603175,2,512,128,16,False,True,False,256,False,1,False,2,False,12,4,2048,False,1,16,1,16,1,12,1,False,10,3.338927702439682,12,3.3374319999999997,12,32,4,True,1,2048,8,256,False,8,2,2,1
18,8,64,DLMT,1,1,True,8,2048,0.001811711897626116,False,128,1,2,True,2.4201471099658844,16,2,256,1024,False,True,False,16,True,32,True,512,False,16,12,1024,False,12,1,1,1,16,1,12,False,10,2.422392890034116,4,2.4212700000000003,12,8,2,True,2048,1,12,4,True,8,16,4,1
19,1,1,DLMT,4,32,True,1,8,0.0002045507272047832,True,1024,16,16,True,2.4882302204754243,512,2048,2048,1024,False,False,False,512,False,2,False,16,False,1,8,1024,False,16,1,1,16,1,1,1,False,10,2.488483779524576,16,2.488357,1,32,4,True,2048,32,12,512,True,1,16,1,4
20,2048,128,DLMT,2,4,False,32,4,0.0018482924552137335,False,1,2048,2,True,1.8549194375180125,2048,16,1,32,True,True,False,4,True,16,False,16,True,1,16,1,True,16,1,8,1,1,4,1,False,10,1.8572105624819872,4,1.8560649999999999,16,2,1,True,32,16,8,1,True,1,32,4,12
21,2,1,DLMT,32,2,True,1,1,0.00014749915253992404,False,2048,64,2,True,1.8241065807579864,1,64,16,2048,True,False,True,8,True,4,False,1,False,12,12,16,False,8,1,1,16,12,1,1,False,10,1.8242894192420132,4,1.8241979999999998,12,32,2,True,8,64,16,512,True,1,1,32,12
22,2,8,DLMT,1,16,True,1,64,0.00020012246250740654,True,128,128,32,False,5.470266965091885,1,1,2048,1,False,True,True,2,True,16,True,1,False,1,8,8,True,4,1,16,1,16,1,8,False,10,5.470515034908115,4,5.470391,1,32,1,True,1024,256,16,1024,False,8,4,16,1
23,512,64,DLMT,16,1,False,2,128,0.001011662493127042,False,4,1,1,True,3.079275976612391,1,32,1,2048,True,True,False,2,True,1024,False,1024,True,16,4,1,True,1,8,4,1,4,1,16,False,10,3.0805300233876087,8,3.079903,1,16,8,True,1024,1,4,2048,True,1,8,1,16
24,2,32,DLMT,32,8,False,16,1,8.637708029329628e-05,True,2,32,2,True,3.5366494639147295,2,8,8,16,False,True,False,1,True,2048,True,2048,True,4,12,1024,False,1,4,16,1,16,1,12,False,10,3.536756536085271,12,3.536703,12,4,32,True,64,2048,12,2048,False,1,8,1,8
25,8,4,DLMT,1,2,True,4,1024,9.293008124392683e-05,True,256,16,4,False,3.4715904023972928,256,2,32,1,True,True,True,2048,True,64,True,512,False,4,8,2048,True,16,1,8,1,4,8,1,False,10,3.4717055976027065,16,3.4716479999999996,12,16,4,True,2048,1024,4,512,False,1,2,1,16
26,1,32,DLMT,1,4,False,32,4,0.00014309437445265513,False,16,2,16,True,2.5733933108175635,512,16,4,32,False,True,False,2,True,1,True,256,False,8,16,1024,False,8,1,1,4,12,1,1,False,10,2.573570689182436,8,2.573482,16,16,2,True,1024,64,8,2,True,1,2,8,1
27,1,4,DLMT,8,2,True,1,2,0.0008528663435732664,False,16,8,8,True,3.0286743976770336,64,2,2048,16,True,False,False,16,False,256,False,256,True,16,1,2048,False,16,1,4,1,8,12,1,False,10,3.029731602322966,4,3.029203,1,2,2,True,1024,8,1,32,True,1,16,2,4
28,2,128,DLMT,8,8,True,1,4,0.00018764061394051896,False,4,2048,2,True,5.18639270127962,4,8,128,256,True,True,True,4,True,32,False,128,False,1,1,1024,True,16,1,16,1,1,1,1,False,10,5.1866252987203785,1,5.186508999999999,8,16,2,True,512,64,4,2048,False,1,8,8,4
29,32,128,DLMT,1,1,True,8,64,0.0002638654960391813,False,4,256,16,True,1.8778714574763582,2,1,32,128,True,False,False,256,False,128,False,1,True,8,4,2048,True,8,1,8,1,16,12,1,False,10,1.8781985425236416,8,1.878035,1,8,4,True,256,64,16,1024,True,1,2,2,4
