id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,1024,False,8,4,32,1024,128,6,1.1203704306898956,2,64,RS,True,True,1,False,2048,True,14,1,256,32,10,1024,8,2,1.125401,6,False,0.008116504728021763,True,1.1304315693101046
2,4,8,False,1,2,128,256,1,1,1.4361831179129487,1,2,RS,False,False,24,False,4,False,1,21,16,4,10,2048,8,8,1.436518,1,False,0.0005403110215422349,True,1.4368528820870512
3,4,1024,False,16,4,512,1,2048,14,0.9024633272559537,1,8,RS,False,True,6,False,32,True,1,15,1024,4,10,2,32,4,0.9102529,1,False,0.012567981894083084,True,0.9180424727440464
4,32,1,False,4,4,16,1024,16,9,1.0622512454480344,32,1024,RS,False,True,7,False,32,False,5,1,1,16,10,1,8,1,1.062328,1,False,0.00012383860464331193,True,1.0624047545519655
5,4,1024,False,8,1,4,1024,16,13,0.6471522227821923,2,1024,RS,True,True,1,True,64,True,1,15,64,16,10,1,8,4,0.6530148,1,False,0.009458896751735897,True,0.6588773772178077
6,4,16,False,1,16,2,2,16,26,1.0904391662545332,64,1,RS,False,False,1,True,512,True,3,1,256,8,10,32,4,4,1.0924109999999998,2,False,0.003181428767079364,True,1.0943828337454664
7,32,1024,False,16,16,256,2,1024,6,0.8549192254669593,16,1024,RS,False,False,1,False,16,True,23,1,128,1,10,32,8,8,0.863063,14,False,0.013139464030165008,True,0.8712067745330407
8,32,1,False,1,64,8,32,32,1,inf,8,128,RS,False,False,27,True,2048,True,8,1,128,32,1,256,4,1,inf,3,False,inf,False,inf
9,16,256,False,8,16,2,128,1024,22,1.1331525412892092,32,16,RS,False,True,1,False,1,True,1,27,512,16,10,1,32,8,1.136859,3,False,0.005980136202462307,True,1.140565458710791
10,2,32,False,1,64,8,64,2048,14,0.5718633691677201,16,2,RS,False,True,3,False,256,True,1,2,64,4,10,128,2,2,0.5870384,1,True,0.02448395040511233,True,0.6022134308322799
11,2,32,False,16,4,128,2,512,10,1.6991978891541417,1,8,RS,False,True,3,False,1,False,1,30,2048,32,10,1024,32,4,1.699268,1,False,0.00011311940593906388,True,1.6993381108458583
12,2,2048,False,4,1,4,1,4,3,1.3314241108093923,512,1,RS,True,False,1,False,1,True,2,1,256,1,10,1024,4,1,1.333258,9,False,0.002958863971188948,True,1.3350918891906078
13,2,4,False,4,128,1,1,4,1,0.5155407679050955,2048,2,RS,True,False,17,True,2048,True,11,1,512,16,10,8,2,32,0.5198615999999999,3,True,0.006971388716747916,True,0.5241824320949043
14,1,8,False,1,8,4,8,1024,6,1.109743134697938,4,4,RS,True,True,7,True,128,False,1,22,128,4,10,256,2,32,1.10997,1,False,0.0003660327854168142,True,1.1101968653020617
15,8,512,False,2,128,4,8,8,2,0.15722459902232783,4,512,RS,False,True,1,True,64,True,1,6,2048,32,10,8,2,16,0.1772174,30,True,0.03225711716877378,True,0.19721020097767217
16,32,1,False,2,32,512,1,512,5,0.7674883566410792,16,256,RS,False,False,11,False,2048,True,7,1,2048,4,10,128,4,4,0.7691198,1,True,0.0026322304534367666,True,0.7707512433589209
17,8,64,False,32,16,512,256,512,1,0.4248983868127371,4,4,RS,False,True,9,True,8,True,29,1,1,1,10,256,32,32,0.43564279999999994,8,True,0.01733542966182263,True,0.44638721318726277
18,32,512,False,2,2,2,1,16,3,1.0745834156803677,4,512,RS,False,False,24,True,1,True,19,1,128,16,10,2048,8,4,1.082983,1,False,0.013552196906774922,True,1.0913825843196323
19,16,1,False,32,256,2,128,1,4,0.5325409867146972,128,32,RS,False,False,23,False,256,True,13,1,512,32,10,128,8,2,0.5418431,1,True,0.015008370187665267,True,0.5511452132853029
20,8,1,False,32,512,2,4,16,1,0.7845589639196705,2,2,RS,True,True,10,True,2,True,1,12,512,4,10,8,4,16,0.7947583,8,False,0.016455982298544208,True,0.8049576360803296
