id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,128,2048,1,0.09229206743818676,8,False,1,16,DLMT,False,False,True,False,False,30,1,16,35,0.09231448684752754,3.38360845903921e-05,0.09230327714285715,17,21,True,1,8
2,2048,2048,64,0.23391684757624148,32,False,32,128,DLMT,False,True,False,True,False,1,1,1,35,0.23407400956661567,0.00023719386714720275,0.23399542857142858,1,25,True,26,1
3,1024,1024,256,0.16513783452047673,32,False,16,512,DLMT,False,False,True,True,False,20,1,1,35,0.165256051193809,0.00017841635781142248,0.16519694285714287,1,20,True,8,1
4,1,256,64,0.11817322822644384,1,False,64,256,DLMT,True,False,False,True,False,7,1,1,35,0.11827877177355618,0.00015928967323715584,0.11822600000000001,4,1,True,19,8
5,2048,512,512,0.16922224969541536,1,False,512,512,DLMT,True,False,True,False,False,9,32,512,35,0.169244664590299,3.38292712282855e-05,0.16923345714285717,15,1,True,19,1
6,2048,2048,2048,0.11958812600503724,1,False,512,128,DLMT,False,False,True,False,False,22,8,64,35,0.1200429597092485,0.0006864494713631108,0.11981554285714287,10,15,True,1,1
7,128,512,64,0.18969644756149778,1,False,1,16,DLMT,True,True,True,False,False,29,1,16,35,0.18972166672421648,3.806156130506981e-05,0.18970905714285713,30,1,True,8,32
8,1024,2048,1024,inf,32,False,128,1,DLMT,False,True,False,False,True,1,1,512,1,inf,inf,inf,30,1,False,21,1
9,2048,128,1024,0.24956956093089888,1,False,64,1,DLMT,False,False,False,True,True,30,1,32,35,0.24969392478338687,0.0001876938758201973,0.24963174285714287,9,1,True,11,32
10,1,128,1,0.14754872953735482,1,False,128,256,DLMT,False,True,True,False,True,15,1,1,35,0.14757481331978806,3.936647283760065e-05,0.14756177142857144,1,4,True,4,1
11,128,64,512,0.10057967149004662,1,False,64,16,DLMT,True,True,True,True,True,1,8,16,35,0.10060358565281052,3.609201392812217e-05,0.10059162857142857,1,12,True,30,8
12,128,2048,128,inf,32,False,16,64,DLMT,True,False,False,False,True,24,1,128,1,inf,inf,inf,21,7,False,1,1
13,1024,1,256,0.13263760703386882,1,False,32,512,DLMT,False,True,False,True,True,19,1,32,35,0.13268387868041695,6.983463850191815e-05,0.13266074285714288,20,26,True,1,8
14,128,256,512,0.3861909704194116,8,False,16,128,DLMT,False,False,False,True,True,26,8,512,35,0.38639222958058844,0.00030374671779531887,0.3862916,10,30,True,1,1
15,1,1,1,0.29315324086851025,1,False,128,1,DLMT,True,False,False,True,True,2,1,128,35,0.2932217877029183,0.0001034530594530864,0.29318751428571427,13,1,True,26,32
16,128,256,2048,0.09250523307967919,8,False,256,1,DLMT,True,True,True,True,False,18,1,256,35,0.09253535549174942,4.546170094773332e-05,0.0925202942857143,7,26,True,1,8
17,2048,2048,256,0.2968483956503181,1,False,1,512,DLMT,True,False,True,True,False,26,1,256,35,0.29710263292111044,0.0003837029633474744,0.2969755142857143,30,12,True,1,32
18,2048,512,2048,0.0898242554953895,1,False,128,16,DLMT,False,False,True,False,False,9,8,512,35,0.08985172736175337,4.14614131895368e-05,0.08983799142857143,1,20,True,2,8
19,2048,1024,1024,0.21724923222634412,1,False,16,64,DLMT,False,True,True,True,True,1,1,32,35,0.21727768205937015,4.293739153507906e-05,0.21726345714285714,7,1,True,10,1
20,2048,512,512,0.2941120319091041,1,False,32,32,DLMT,True,True,False,False,False,18,1,1,35,0.2942821395194673,0.00025673180797183923,0.2941970857142857,24,15,True,1,32
21,64,1,256,0.1877954802554309,32,False,1,64,DLMT,False,False,False,False,False,1,1,128,35,0.1879207483159976,0.00018905853536912453,0.18785811428571425,1,30,True,25,1
22,2048,2048,2048,0.09093381905704107,1,False,128,1,DLMT,False,False,True,False,False,21,1,16,35,0.09095721522867317,3.531024526122955e-05,0.09094551714285712,1,30,True,8,8
23,1,1024,1024,0.11673391832655323,8,False,16,128,DLMT,False,True,True,False,True,7,8,128,35,0.11676916738773248,5.3199002599212224e-05,0.11675154285714286,18,12,True,1,1
24,512,64,1024,0.1655667477741161,8,False,32,512,DLMT,True,False,True,False,False,1,8,16,35,0.16559233794016967,3.8621491320723304e-05,0.16557954285714288,26,1,True,1,1
25,256,2048,1024,0.17857260824732757,1,False,128,32,DLMT,True,True,True,True,True,30,1,32,35,0.17863676318124388,9.682466374950351e-05,0.17860468571428573,1,4,True,20,1
26,1,128,512,inf,32,False,1,512,DLMT,True,False,True,False,True,21,1,256,1,inf,inf,inf,7,21,False,1,1
27,1024,2048,128,0.19088977788725006,1,False,512,32,DLMT,True,True,False,False,False,11,8,128,35,0.1911463363984642,0.0003872062531119282,0.19101805714285713,1,28,True,6,1
28,1024,512,512,0.11553345458371518,8,False,1,256,DLMT,True,True,False,True,False,22,1,256,35,0.11563237398771341,0.0001492923060745635,0.1155829142857143,1,8,True,6,8
29,512,2048,1,0.22769048266313657,1,False,512,128,DLMT,False,False,False,True,True,24,1,512,35,0.22802008876543484,0.0004974519974790725,0.2278552857142857,1,9,True,16,32
30,512,512,2048,inf,1,False,128,128,DLMT,False,False,True,True,False,2,32,256,1,inf,inf,inf,26,2,False,1,1
31,1024,128,512,0.10798945609526013,1,False,16,16,DLMT,False,True,True,False,False,24,32,32,35,0.10801162961902556,3.346498627106244e-05,0.10800054285714285,1,4,True,22,1
32,1,1,1024,0.18216697297805334,1,False,256,1,DLMT,False,True,True,True,False,30,8,512,35,0.1821823984505181,2.3280612938140897e-05,0.18217468571428572,24,1,True,3,1
33,1,1024,256,0.11900290078303691,1,False,512,1,DLMT,False,True,False,True,False,3,8,32,35,0.11903201350267739,4.393784106611369e-05,0.11901745714285715,1,29,True,15,8
34,512,512,2048,inf,1,False,512,512,DLMT,False,True,False,True,True,2,32,16,1,inf,inf,inf,15,16,False,1,1
35,1024,2048,2048,0.2814327435944665,8,False,16,1,DLMT,False,False,False,False,True,26,1,512,35,0.28146325640553344,4.605090351214907e-05,0.281448,5,1,True,1,1
36,1,512,128,0.17025503843053305,8,False,64,128,DLMT,True,False,True,True,False,25,8,16,35,0.17027250442660988,2.6360235978010165e-05,0.17026377142857146,30,30,True,1,1
37,1,128,1024,0.12119381361296676,8,False,1,128,DLMT,False,True,False,False,False,10,1,32,35,0.12122538638703319,4.7650633334121515e-05,0.12120959999999997,30,30,True,1,8
38,128,64,1024,0.23306412490333372,8,False,16,1,DLMT,False,True,True,True,False,13,1,128,35,0.23315141795380906,0.0001317454440988983,0.2331077714285714,29,1,True,22,1
39,2048,512,512,0.09820249127824197,1,False,512,256,DLMT,True,False,True,True,True,22,8,16,35,0.09822890300747232,3.98614205589767e-05,0.09821569714285715,1,1,True,1,8
40,1,128,128,0.11849515743087974,1,False,1,1,DLMT,True,True,False,False,True,30,8,1,35,0.11852809971197739,4.9717536839506895e-05,0.11851162857142856,27,1,True,25,8
41,2048,1,1,0.12319690805940557,32,False,512,256,DLMT,False,True,True,False,False,30,1,512,35,0.12321709194059448,3.0462154505924877e-05,0.12320700000000002,1,7,True,20,1
42,1,1,1024,inf,1,False,1,128,DLMT,False,False,False,True,False,28,32,512,1,inf,inf,inf,1,24,False,29,1
43,1,64,256,0.24383473147939952,1,False,32,32,DLMT,False,False,True,True,False,17,1,1,35,0.24404098280631473,0.0003112810528727213,0.24393785714285712,1,7,True,1,32
44,64,512,2048,0.10486977957916076,1,False,1,1,DLMT,True,False,False,False,False,24,8,32,35,0.10489250613512495,3.429964002905027e-05,0.10488114285714285,1,4,True,1,1
45,1024,64,128,0.10527380430347345,1,False,1,256,DLMT,False,False,True,False,False,11,8,16,35,0.10529819569652656,3.681226503684468e-05,0.105286,12,1,True,30,8
46,1024,128,512,0.13261301353071753,1,False,128,128,DLMT,True,True,False,False,True,6,8,128,35,0.1326336721835682,3.117869497602793e-05,0.13262334285714286,27,13,True,1,1
47,2048,1,64,0.12875289732583226,8,False,256,1,DLMT,False,False,True,False,True,7,1,1,35,0.1287922455313106,5.9385561359299995e-05,0.12877257142857143,1,15,True,5,1
48,2048,64,1,0.19472530830872148,8,False,1,16,DLMT,True,False,False,True,False,7,8,1,35,0.1947994345484214,0.00011187367511471762,0.19476237142857145,22,1,True,8,1
49,1,512,1024,0.17781312089023044,32,False,512,512,DLMT,False,False,False,False,False,30,1,32,35,0.17784802196691246,5.2673813344440276e-05,0.17783057142857145,1,7,True,30,1
50,128,1024,128,0.3256407222333138,8,False,256,32,DLMT,False,False,False,False,False,12,1,1,35,0.3256597349095433,2.869453478505482e-05,0.32565022857142856,2,1,True,26,1
51,2048,1024,1,0.11481290138667345,8,False,128,512,DLMT,False,True,False,True,False,26,1,64,35,0.11495567004189798,0.0002154709886243994,0.11488428571428572,6,2,True,1,8
52,128,1,1,0.15738451951297341,1,False,32,1,DLMT,True,False,False,False,True,5,32,64,35,0.15742010905845513,5.371287232183113e-05,0.15740231428571427,1,21,True,9,1
53,1,1,2048,0.14229692716254191,8,False,256,512,DLMT,False,False,False,True,True,16,8,1,35,0.14233701569460092,6.0502885746663506e-05,0.14231697142857141,1,12,True,25,1
54,1024,1,2048,0.19746775743852835,32,False,128,64,DLMT,True,True,True,True,False,6,1,512,35,0.19756092827575733,0.00014061638653892647,0.19751434285714284,8,9,True,1,1
55,1024,1,1024,0.2600380071114555,1,False,64,256,DLMT,False,False,False,False,False,29,1,1,35,0.260121764317116,0.00012640903481014442,0.26007988571428575,10,26,True,1,32
56,128,512,512,0.1245175183461909,8,False,512,1,DLMT,True,False,False,True,False,2,1,1,35,0.12455511022523766,5.6734857729906465e-05,0.12453631428571428,30,10,True,1,8
57,1,256,1,0.20102453952493854,1,False,1,16,DLMT,False,False,False,True,False,4,1,128,35,0.2010614604750614,5.5722270490095145e-05,0.20104299999999997,14,7,True,1,1
58,2048,1,64,inf,1,False,512,16,DLMT,True,True,True,True,True,13,32,16,1,inf,inf,inf,30,26,False,1,1
59,1,64,2048,0.1410053305022186,8,False,32,256,DLMT,False,True,False,False,False,1,1,512,35,0.14106409806921003,8.869387849018987e-05,0.14103471428571432,1,21,True,11,1
60,1024,2048,1024,0.11589219508525804,1,False,32,32,DLMT,True,True,True,False,True,7,8,1,35,0.11591134777188479,2.8905842923222814e-05,0.11590177142857142,1,30,True,30,8
61,64,2048,512,0.10800799951152772,8,False,512,64,DLMT,True,True,False,False,True,18,1,32,35,0.10804428620275801,5.476502682611672e-05,0.10802614285714286,17,1,True,9,8
62,64,128,2048,0.11716416933103083,1,False,16,32,DLMT,False,False,False,True,True,5,8,256,35,0.11719480209754063,4.623194407616132e-05,0.11717948571428573,28,1,True,10,8
63,128,1024,1,0.17059539899025608,1,False,512,1,DLMT,True,False,False,False,False,23,1,512,35,0.17061242958117248,2.570310868199535e-05,0.17060391428571428,28,1,True,5,1
