id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,512,2048,1,8,1.4881335911381852,False,DLMT,1,26,1,35,1024,27,1,8,8,4.8667132604251364e-05,1.488149714285714,True,512,256,1,1.488165837433243,256
2,128,1,1,8,1.5016890226729847,False,DLMT,1,1,1024,35,2048,2,1,1,32,6.935622332771994e-05,1.5017120000000002,True,1,32,16,1.5017349773270157,2048
3,64,256,32,1,1.520726642853249,False,DLMT,1,22,128,35,64,28,1,1,8,7.222753163809867e-05,1.5207505714285714,True,1,32,1,1.5207745000038937,64
4,32,2048,8,1,1.4923295220142654,False,DLMT,30,1,1,35,1,1,18,1,32,0.0008302266226145625,1.4926045714285716,True,512,64,512,1.4928796208428778,128
5,64,2048,1,32,1.5561664265371293,False,DLMT,1,2,64,35,512,16,1,8,8,0.0007576404833697923,1.5564174285714285,True,64,128,256,1.5566684306057277,2048
6,256,128,1,32,1.5302005068145694,False,DLMT,1,30,512,35,1,17,1,1,8,0.00010196037645745514,1.5302342857142857,True,512,256,64,1.5302680646140019,1
7,32,2048,1,8,1.52710362230189,False,DLMT,1,29,2048,35,1,1,14,32,1,7.875770127550572e-05,1.5271297142857143,True,32,64,512,1.5271558062695387,1024
8,256,512,8,8,1.4793961257691817,False,DLMT,11,1,256,35,512,1,18,1,32,9.4486366579439e-05,1.4794274285714284,True,256,1,1,1.4794587313736751,256
9,32,256,32,1,1.5181080635083597,False,DLMT,24,1,1,35,2048,1,23,8,8,7.742593564306968e-05,1.5181337142857145,True,1,1,32,1.5181593650630694,1024
10,16,1024,1,1,1.0931535651313922,False,DLMT,1,12,1024,35,512,2,1,1,8,6.51315779709096e-05,1.093175142857143,True,128,1,128,1.0931967205828939,256
11,64,1,1,32,1.548025896843028,False,DLMT,1,29,1,35,512,30,1,1,32,0.00020642931290031354,1.5480942857142859,True,64,512,32,1.5481626745855437,1
