id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,64,1,32,1,1.5372714714086355,False,DLMT,1,4,64,35,1,2,1,1,1,0.0001257837470439175,1.537313142857143,True,1,32,256,1.5373548143056504,1
2,512,2048,32,1,1.5095923865353285,False,DLMT,7,1,64,35,1,1,25,1,1,7.386363607819137e-05,1.5096168571428572,True,64,512,256,1.509641327750386,2048
3,16,1024,1,32,1.532177368710255,False,DLMT,1,24,128,35,128,29,1,1,8,0.0003304868394057717,1.532286857142857,True,1,512,512,1.532396345575459,1
4,512,2048,1,1,1.4752731491232325,False,DLMT,1,8,1024,35,1,14,1,1,32,6.293761083122203e-05,1.4752939999999997,True,32,16,512,1.4753148508767668,1024
5,1,2048,8,8,1.648639167758102,False,DLMT,1,1,1,35,2048,1,7,1,1,0.00015860977657284345,1.6486917142857143,True,512,1,128,1.6487442608133265,64
6,512,512,32,1,1.4556675716061978,False,DLMT,30,1,2048,35,2048,1,17,1,8,0.000444576019072891,1.455814857142857,True,1,128,512,1.4559621426795164,256
7,16,512,1,8,1.5030294413499765,False,DLMT,13,1,64,35,2048,19,1,8,1,6.895488024935254e-05,1.5030522857142856,True,16,512,512,1.5030751300785947,1024
8,16,1024,1,32,1.6410933668059366,False,DLMT,1,30,512,35,1,1,9,1,1,0.00010971354166411312,1.6411297142857142,True,32,16,512,1.6411660617654917,2048
9,1,2048,8,1,1.5671700632565102,False,DLMT,20,1,512,35,1,5,1,32,1,3.9480297333612126e-05,1.5671831428571428,True,1,128,64,1.5671962224577753,1
10,512,1,1,8,1.524142274110274,False,DLMT,1,9,64,35,512,1,1,8,8,9.490102255315564e-05,1.5241737142857144,True,64,16,128,1.5242051544611548,1
11,64,1,1,32,1.5529278995905524,False,DLMT,29,1,1024,35,128,1,3,8,8,8.309522445082834e-05,1.5529554285714287,True,1,256,1,1.5529829575523049,512
12,1,1,1,32,1.5337275879199959,False,DLMT,1,5,1,35,2048,7,1,32,1,0.00011077095323970395,1.5337642857142857,True,256,256,32,1.5338009835085755,512
13,1,2048,1,32,1.5651734695398407,False,DLMT,16,1,1,35,256,28,1,8,8,0.00017494722236217086,1.5652314285714286,True,512,1,64,1.5652893876030165,256
14,64,2048,8,1,1.4781739211862261,False,DLMT,1,15,512,35,128,16,1,1,1,6.92313483317634e-05,1.4781968571428572,True,512,64,16,1.4782197930994883,2048
15,1,1024,8,1,1.4971461521772433,False,DLMT,2,1,2048,35,128,1,19,8,1,9.958116369708191e-05,1.497179142857143,True,32,32,512,1.4972121335370427,1024
16,128,64,1,8,1.496458427122274,False,DLMT,2,1,2048,35,2048,1,30,32,1,0.00016774470398281722,1.4965140000000001,True,512,32,1,1.4965695728777262,64
17,512,512,32,1,1.6928212755879553,False,DLMT,20,1,1024,35,1,1,18,32,1,0.00011688822499661064,1.69286,True,64,16,32,1.6928987244120448,2048
18,32,128,1,1,1.4892105603240076,False,DLMT,30,1,512,35,64,17,1,1,32,0.00022426223716979457,1.4892848571428572,True,512,1,32,1.4893591539617068,1
19,128,2048,8,8,1.5378337445580457,False,DLMT,30,1,64,35,1,1,4,32,1,7.235174849444741e-05,1.5378577142857144,True,16,128,256,1.537881684013383,128
20,1,256,1,8,1.4859570948399734,False,DLMT,1,18,128,35,512,1,11,1,1,8.121224397484436e-05,1.485984,True,1,1,128,1.4860109051600265,512
21,64,512,1,1,1.5068956292649567,False,DLMT,1,15,1,35,1,1,9,8,1,0.00018136444310969425,1.5069557142857142,True,512,256,1,1.5070157993064717,1
22,512,512,1,32,1.5847028723466008,False,DLMT,1,25,2048,35,2048,1,29,1,1,0.00013104166653146463,1.5847462857142856,True,16,64,16,1.5847896990819703,1
23,128,2048,8,1,1.4955888624833091,False,DLMT,1,30,1,35,2048,1,8,8,8,0.00016815541887777686,1.4956445714285718,True,32,1,1,1.4957002803738344,1
24,512,1,1,1,1.1402180461377327,False,DLMT,1,29,1,35,512,30,1,32,1,0.0001404348930418495,1.1402645714285715,True,1,256,32,1.1403110967194103,1024
25,16,64,1,8,1.4781967793963373,False,DLMT,1,27,2048,35,1,13,1,1,8,0.00019169150386248436,1.4782602857142855,True,1,512,32,1.4783237920322336,1
26,64,512,8,1,1.522404601607514,False,DLMT,1,25,1,35,256,1,29,32,1,0.0001551441725805793,1.5224559999999998,True,128,512,512,1.5225073983924857,1024
