id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,16,512,False,8,16,256,1,2048,16,0.4475835044887059,64,2,DLMT,True,False,2,True,64,True,1,30,32,16,10,512,1,1,0.45896499999999996,1,True,0.01836332161129899,True,0.47034649551129404
2,1,64,False,32,2048,32,4,256,5,0.3543018662810729,1,4,DLMT,False,False,1,False,4,True,30,1,1,32,10,256,4,4,0.3629002,5,True,0.013872866465154206,True,0.3714985337189271
3,1,1,False,4,1,8,1,128,3,0.17289421974427768,2,1,DLMT,True,False,30,True,8,True,28,1,4,1,10,64,16,32,0.1885151,1,True,0.025203300190451253,True,0.2041359802557223
4,1,512,False,1,4,4,8,16,8,0.7986066866965432,1,4,DLMT,False,True,10,False,2048,True,1,11,4,8,10,16,2,4,0.8056126000000001,1,True,0.01130359705757421,True,0.812618513303457
5,16,16,False,2,512,512,64,2048,3,0.8531901311395401,32,4,DLMT,True,False,1,False,512,True,1,1,1,8,10,512,2,4,0.9120513000000001,30,True,0.09496876514417783,True,0.9709124688604601
6,4,8,False,16,32,4,16,2048,2,0.8083699431686578,1,8,DLMT,True,True,20,False,4,False,19,1,1,1,10,128,1,16,0.8170618,1,True,0.014023760079236945,True,0.825753656831342
7,4,32,False,2,512,16,128,512,5,1.1720173356546748,8,2,DLMT,True,False,1,False,256,False,1,30,1024,2,10,1,8,8,1.1720700000000002,23,False,8.497058314499991e-05,True,1.1721226643453255
8,32,1024,False,1,1,512,256,2048,20,0.5421534618073047,64,1024,DLMT,False,False,4,False,256,True,11,1,8,2,10,256,1,1,0.5437917,1,True,0.0026431934870531,True,0.5454299381926953
9,1,4,False,4,512,4,2,1024,1,0.6808839998616603,512,2,DLMT,True,False,19,True,2048,False,1,1,512,2,10,8,4,1,0.6927983000000001,1,True,0.019222968106148448,True,0.7047126001383399
10,1,2048,False,16,8,1,64,2,30,3.322967110437346,16,4,DLMT,False,True,3,False,32,True,8,1,32,32,10,256,1,32,3.3300330000000002,1,False,0.011400364950298652,True,3.3370988895626543
11,4,1,False,16,128,2,512,1,5,0.908925704464137,64,128,DLMT,True,True,1,False,256,True,6,1,256,4,10,2048,8,4,0.9107002,20,False,0.0028630360738209335,True,0.9124746955358629
12,1,512,False,32,4,128,16,256,7,1.482255642163568,4,64,DLMT,True,False,2,False,512,False,1,13,1024,8,10,32,16,4,1.4824760000000001,1,False,0.0003555334020876316,True,1.4826963578364323
13,16,128,False,2,512,1,4,16,2,0.9507938067492541,1,4,DLMT,True,True,29,True,16,False,1,7,1,2,10,1024,8,1,0.9512836,1,False,0.0007902503653906274,True,0.951773393250746
14,32,1,False,8,1,32,1,128,17,1.1333528123176966,16,2048,DLMT,False,False,1,True,64,False,1,8,4,16,10,2048,8,32,1.1334749999999998,2,False,0.0001971420807438192,True,1.133597187682303
15,2,1,False,32,256,32,8,2048,24,0.44775109993030754,512,32,DLMT,True,False,4,True,512,False,15,1,256,32,10,32,32,4,0.4567274,1,True,0.014482691215378452,True,0.46570370006969247
16,8,512,False,32,32,8,8,256,1,0.47495164071067203,4,8,DLMT,True,False,6,True,16,False,7,1,256,1,10,8,4,32,0.47985300000000003,10,True,0.007908032549250156,True,0.48475435928932803
17,2,4,False,16,2,1,256,32,1,0.7380170918342449,1,1,DLMT,True,True,1,True,256,True,1,14,1024,8,10,256,2,32,0.7410713999999999,11,True,0.004927932633468107,True,0.744125708165755
18,8,256,False,4,64,32,4,512,3,0.6157697890274308,1,256,DLMT,True,True,18,False,1024,True,1,19,128,1,10,4,8,16,0.6195206,1,True,0.006051695765651139,True,0.6232714109725691
19,4,2048,False,2,4,4,2048,128,7,1.5914459576291011,2048,32,DLMT,True,False,1,False,1,True,29,1,4,8,10,2048,16,16,1.595115,2,False,0.005919767309616156,True,1.598784042370899
20,32,1,False,4,4,1,64,512,3,0.6456287597107937,1024,1,DLMT,False,True,30,True,2048,False,7,1,16,32,10,64,2,8,0.6599513,1,True,0.02310851094748427,True,0.6742738402892063
