id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,2048,1,512,inf,32,512,256,128,DLMT,False,False,True,True,False,29,1,1,1,12,26,1,inf,False,inf,False,inf
2,2048,1,2048,inf,1,1,16,1,DLMT,True,False,False,False,False,20,1,1,32,22,11,1,inf,False,inf,False,inf
3,64,1,1,inf,1,1,512,32,DLMT,False,False,False,False,False,26,1,1,8,26,1,27,inf,False,inf,False,inf
4,1024,64,512,inf,8,512,64,1,DLMT,True,True,False,True,True,22,8,1,1,2,1,27,inf,False,inf,True,inf
5,512,128,256,inf,1,128,1,512,DLMT,True,False,False,True,True,26,1,1,1,30,1,16,inf,False,inf,True,inf
6,256,2048,2048,inf,32,16,32,32,DLMT,False,False,True,True,True,3,1,1,1,20,1,29,inf,False,inf,True,inf
7,1,1,1024,inf,1,256,1,512,DLMT,True,False,True,False,False,6,32,1,1,19,28,1,inf,False,inf,True,inf
8,1,2048,1,inf,1,32,64,1,DLMT,True,True,True,False,True,28,32,1,1,3,2,1,inf,False,inf,False,inf
9,512,128,1,inf,1,512,1,1,DLMT,False,False,True,True,False,23,32,1,1,14,1,15,inf,False,inf,True,inf
10,1,2048,2048,inf,1,32,512,1,DLMT,True,False,True,True,False,27,1,1,1,1,29,26,inf,False,inf,True,inf
11,2048,1024,128,inf,1,32,64,16,DLMT,True,True,True,True,True,2,1,1,32,30,1,30,inf,False,inf,True,inf
12,1024,2048,1,inf,1,1,1,1,DLMT,False,False,False,False,False,26,1,1,1,26,24,1,inf,False,inf,True,inf
13,1,64,1024,inf,32,1,64,64,DLMT,True,False,True,True,True,28,1,1,1,25,7,1,inf,False,inf,False,inf
14,1,128,256,inf,1,16,1,256,DLMT,False,False,False,True,False,28,1,1,32,1,26,30,inf,False,inf,False,inf
15,512,512,1,inf,1,256,512,32,DLMT,True,False,True,False,True,14,1,1,32,2,24,1,inf,False,inf,False,inf
16,512,512,512,inf,1,1,128,512,DLMT,False,True,False,True,True,27,32,1,1,19,27,1,inf,False,inf,False,inf
17,1,512,512,inf,1,512,64,1,DLMT,False,True,False,False,True,1,1,1,1,25,1,1,inf,False,inf,False,inf
18,1024,64,64,inf,1,64,1,1,DLMT,False,True,True,True,False,1,1,1,1,4,1,3,inf,False,inf,False,inf
19,1,512,1024,inf,1,32,512,1,DLMT,True,True,False,True,True,3,8,1,1,29,25,1,inf,False,inf,False,inf
20,512,1,2048,inf,1,16,16,16,DLMT,False,False,True,False,True,23,32,1,1,1,9,28,inf,False,inf,True,inf
21,1024,512,256,inf,32,1,1,1,DLMT,True,False,False,False,True,4,1,1,1,1,3,2,inf,False,inf,False,inf
22,1,512,1024,inf,1,512,256,512,DLMT,False,True,False,False,False,30,1,1,32,9,1,1,inf,False,inf,True,inf
23,1,128,1,inf,32,32,1,128,DLMT,True,True,False,False,False,4,1,1,1,1,18,28,inf,False,inf,True,inf
24,2048,512,256,inf,1,16,512,256,DLMT,True,False,False,True,False,5,32,1,1,19,1,11,inf,False,inf,True,inf
25,512,1,512,inf,1,512,512,128,DLMT,False,False,False,True,True,4,1,1,1,1,10,5,inf,False,inf,False,inf
26,1,1,64,inf,1,16,1,16,DLMT,False,True,False,True,True,3,1,1,32,1,29,5,inf,False,inf,True,inf
27,2048,256,256,inf,1,16,1,512,DLMT,True,True,True,False,True,23,1,1,32,1,30,26,inf,False,inf,False,inf
28,64,1,512,inf,1,16,256,64,DLMT,True,True,True,False,False,7,1,1,1,5,1,25,inf,False,inf,False,inf
