id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
1,False,True,1,DLMT,1.9380398458831685,8,1024,2048,10,5,1,8,1024,10,1.93833,False,False,False,0.0004681452765969001,1.9386201541168318,False
2,False,True,512,DLMT,0.35668962618684463,2,1,1,1,1,3,16,1,10,0.36284599999999995,True,True,True,0.009932918936546298,0.36900237381315526,False
3,True,True,1,DLMT,1.6154113740873761,2048,64,2048,22,4,1,128,512,10,1.6165830000000003,True,True,False,0.0018903441485613212,1.6177546259126245,False
4,True,True,2048,DLMT,3.2021201957722267,4,4,512,30,3,1,8,128,10,3.2023160000000006,False,False,False,0.0003159177108045475,3.2025118042277745,False
5,False,True,2048,DLMT,0.9812963419608893,2048,4,1,6,1,19,2048,1,10,0.9818388,False,True,True,0.0008752216633516425,0.9823812580391107,False
6,True,True,512,DLMT,1.235291862270336,512,512,1,13,1,9,32,1,10,1.2357539999999998,False,True,False,0.0007456299350213755,1.2362161377296637,False
7,False,True,512,DLMT,0.23211894560032542,4,1,256,1,30,2,128,2048,10,0.23965,True,True,True,0.012150878931172018,0.24718105439967458,False
8,False,True,1,DLMT,1.4040507341323643,256,16,2048,11,1,6,2,256,10,1.4045359999999998,False,True,True,0.0007829457197022165,1.4050212658676353,False
9,True,True,8,DLMT,0.07553309257315298,8,8,1,1,8,5,32,2048,10,0.0820603,True,False,True,0.010531235467598281,0.08858750742684703,False
10,False,True,32,DLMT,1.3909171685859905,1,1,2048,5,6,1,2048,1,10,1.3920379999999999,True,False,False,0.0018083904445666452,1.3931588314140093,False
11,False,True,1024,DLMT,1.3300931608277529,8,1,8,5,20,1,2048,2048,10,1.3304320000000003,False,False,False,0.0005466955276934235,1.3307708391722477,False
12,True,True,2,DLMT,1.5183505192190465,2048,1,2048,8,1,11,2,8,10,1.519034,False,False,False,0.0011027529188353943,1.5197174807809535,False
13,False,True,64,DLMT,1.149379066320659,1,8,2048,4,1,26,256,2048,10,1.150027,False,False,True,0.001045399923474276,1.150674933679341,False
14,True,True,256,DLMT,1.5727932016104147,32,32,256,14,7,1,2048,1,10,1.57308,False,True,True,0.0004627310233818603,1.5733667983895854,False
15,True,True,512,DLMT,1.8779419659360472,1024,64,1024,2,2,1,64,1024,10,1.878163,False,False,True,0.00035662445233045553,1.8783840340639528,False
16,True,True,2048,DLMT,2.2289770144880943,128,256,2048,7,6,1,1,16,10,2.2293480000000003,False,True,True,0.0005985616091932954,2.2297189855119064,False
