id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,4,1,10,2,2,2048,3.097467,False,DLMT,32,0.0022938223558069543,True,1,26,False,3.0960453002988815,False,3.0988886997011185,True
2,32,1024,10,4,4,1,1.4001290000000002,False,DLMT,1,0.0345465820161706,True,1,18,True,1.3787172000832755,True,1.4215407999167249,False
3,2,2048,10,8,32,8,1.415464,False,DLMT,1,0.029586693698350253,True,1,2,True,1.3971263142234458,False,1.4338016857765543,True
4,32,2048,1,4,64,128,inf,False,DLMT,2,inf,False,1,30,True,inf,False,inf,False
5,16,1024,1,32,64,64,inf,False,DLMT,8,inf,False,1,1,False,inf,True,inf,False
6,2,1,10,16,1024,128,1.3558490000000003,False,DLMT,32,0.033666080095550145,True,10,1,True,1.3349829307996108,True,1.3767150692003898,True
7,1,128,10,8,1,1,2.312264,False,DLMT,1,0.00027280762452685343,True,1,30,False,2.3120949151895434,True,2.3124330848104564,True
8,32,8,10,1,1,256,3.951607,False,DLMT,1,0.005997081039972705,True,21,1,False,3.9478900389630973,False,3.955323961036903,False
9,1,2048,10,8,128,128,1.3416340000000002,False,DLMT,32,0.07753779919497329,True,22,1,True,1.2935764572431272,False,1.3896915427568732,False
10,32,2048,1,512,1,2048,inf,False,DLMT,2,inf,False,8,1,True,inf,False,inf,True
11,4,2048,1,8,16,512,inf,False,DLMT,4,inf,False,8,1,False,inf,True,inf,True
12,16,1,1,4,2048,1024,inf,False,DLMT,4,inf,False,24,1,True,inf,False,inf,False
13,1,8,1,128,8,2048,inf,False,DLMT,32,inf,False,1,11,False,inf,True,inf,True
14,8,2048,1,2048,128,1,inf,False,DLMT,8,inf,False,1,13,False,inf,False,inf,False
15,1,2048,10,4,2048,4,1.357629,False,DLMT,16,0.03918796612481951,True,20,1,True,1.3333404932697175,True,1.3819175067302825,True
16,4,1,10,1,32,1,2.814295,False,DLMT,8,0.0518360321108782,True,28,1,True,2.782167284803298,True,2.846422715196702,True
17,1,2048,1,1024,1024,1024,inf,False,DLMT,32,inf,False,1,2,True,inf,True,inf,True
18,2,1,10,64,1,512,1.4690359999999998,False,DLMT,1,0.11613045295700865,True,1,14,True,1.3970589221579672,True,1.5410130778420323,False
19,1,2048,10,128,2048,512,2.2577929999999995,False,DLMT,1,0.0004903274416143066,True,30,1,False,2.2574890974874844,False,2.2580969025125146,True
20,16,16,1,16,1,32,inf,False,DLMT,2,inf,False,1,17,True,inf,False,inf,True
21,4,128,1,32,128,1,inf,False,DLMT,32,inf,False,1,5,True,inf,False,inf,False
22,2,4,1,1,2,32,inf,False,DLMT,8,inf,False,1,30,True,inf,True,inf,False
23,32,2048,10,1,512,2048,2.2412629999999996,False,DLMT,1,0.0012356621706598764,True,1,10,False,2.240497142725018,False,2.242028857274981,True
24,1,256,1,8,4,32,inf,False,DLMT,4,inf,False,1,5,False,inf,False,inf,True
25,4,512,1,1,512,32,inf,False,DLMT,2,inf,False,1,16,False,inf,True,inf,False
26,4,1024,1,2048,32,2048,inf,False,DLMT,32,inf,False,24,1,False,inf,True,inf,True
27,2,512,1,512,128,512,inf,False,DLMT,16,inf,False,1,26,True,inf,False,inf,True
28,1,1,1,512,128,2048,inf,False,DLMT,2,inf,False,10,1,True,inf,True,inf,False
29,1,8,10,2,2,4,1.383657,False,DLMT,16,0.03361964873403647,True,30,1,True,1.3628197087268197,True,1.4044942912731802,False
30,2,32,10,2048,32,2048,2.5045019999999996,False,DLMT,1,0.0008096764786012145,True,6,1,False,2.5040001665407887,False,2.5050038334592104,False
31,16,128,10,1,16,16,1.3107642,False,DLMT,1,0.26069484134282367,True,11,1,True,1.149186832388292,False,1.472341567611708,False
32,32,1,1,512,64,1,inf,False,DLMT,2,inf,False,26,1,False,inf,False,inf,True
33,4,2048,1,512,16,1,inf,False,DLMT,2,inf,False,1,22,False,inf,False,inf,False
34,1,1,10,1,1,1,2.510925,True,DLMT,1,0.0003898012313987687,True,1,1,False,2.510683403133193,False,2.511166596866807,False
35,1,2048,1,256,2048,2048,inf,False,DLMT,16,inf,False,1,9,True,inf,False,inf,True
36,2,1,10,1,16,1,1.369166,False,DLMT,1,0.0712635309537775,True,16,1,True,1.3249972175303664,False,1.4133347824696338,False
37,2,512,1,256,256,2048,inf,False,DLMT,2,inf,False,8,1,True,inf,True,inf,True
38,1,64,10,4,32,4,2.301134,False,DLMT,1,0.00018364095403799064,True,1,18,False,2.301020180248959,True,2.3012478197510404,True
39,32,256,1,1,32,64,inf,False,DLMT,4,inf,False,30,1,False,inf,False,inf,True
40,8,2048,1,1,2048,1024,inf,False,DLMT,4,inf,False,25,1,True,inf,False,inf,True
41,32,1024,10,4,1024,256,2.23911,False,DLMT,1,0.0014756490097580304,True,9,1,False,2.238195400074327,False,2.240024599925673,True
42,4,1,1,32,256,64,inf,False,DLMT,32,inf,False,22,1,True,inf,False,inf,False
43,8,1,1,4,2048,4,inf,False,DLMT,2,inf,False,2,1,False,inf,False,inf,False
44,16,16,1,512,1,1,inf,False,DLMT,2,inf,False,1,12,False,inf,True,inf,False
45,8,1,1,2048,256,1,inf,False,DLMT,8,inf,False,1,2,True,inf,False,inf,True
46,32,256,10,1,4,64,1.439961,False,DLMT,1,0.08299938836521628,True,1,5,True,1.388518391406922,False,1.4914036085930782,False
47,1,256,1,2048,2,2048,inf,False,DLMT,4,inf,False,1,26,True,inf,False,inf,False
48,4,1024,10,2,256,2048,0.9691382,False,DLMT,32,0.2762999949691639,True,1,1,True,0.7978888356923368,True,1.140387564307663,False
49,32,1,1,16,1,1024,inf,False,DLMT,4,inf,False,1,17,False,inf,True,inf,False
50,1,1,10,2,8,1024,2.363966,False,DLMT,4,0.0003861139728111387,True,1,29,False,2.3637266884777484,True,2.3642053115222517,True
51,1,8,1,1,1,32,inf,False,DLMT,16,inf,False,7,1,False,inf,False,inf,False
52,4,1024,10,8,1,2048,2.23973,False,DLMT,1,0.00018649396773092703,True,28,1,False,2.239614411965246,False,2.2398455880347545,True
53,1,32,1,8,32,2048,inf,False,DLMT,2,inf,False,30,1,False,inf,False,inf,False
54,32,2048,10,2048,128,1,2.332005,False,DLMT,1,0.00014582523787051314,True,25,1,False,2.331914618241983,False,2.332095381758017,False
55,32,8,10,128,4,1,1.5331009999999998,False,DLMT,1,0.04478800429802605,True,1,24,True,1.505341617429248,False,1.5608603825707517,True
56,4,1,1,8,2048,32,inf,False,DLMT,8,inf,False,30,1,True,inf,True,inf,True
57,4,16,1,2048,2,2048,inf,False,DLMT,32,inf,False,1,16,False,inf,False,inf,True
58,2,2048,1,2048,16,1,inf,False,DLMT,4,inf,False,1,1,False,inf,True,inf,True
59,2,32,1,64,8,2048,inf,False,DLMT,8,inf,False,24,1,False,inf,False,inf,True
60,2,2048,10,2,64,1,1.3462640000000001,False,DLMT,4,0.024064332195180487,True,1,18,True,1.3313490464497006,False,1.3611789535502996,True
61,8,256,1,64,16,1,inf,False,DLMT,8,inf,False,1,22,False,inf,True,inf,False
62,1,512,1,64,1,256,inf,False,DLMT,2,inf,False,1,1,False,inf,False,inf,False
63,2,16,1,16,16,64,inf,False,DLMT,2,inf,False,1,30,True,inf,False,inf,False
64,16,1,1,64,4,128,inf,False,DLMT,4,inf,False,10,1,True,inf,False,inf,True
