id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,1,1,64,inf,False,1,DLMT,32,False,False,True,8,27,inf,1,29,1,inf,False,True,inf
2,1,8,2,16,18.570993579484504,False,16,DLMT,32,False,False,False,7,13,0.0005589275444995966,10,20,1,18.571340000000003,True,False,18.5716864205155
3,8,2048,64,1,inf,False,64,DLMT,8,False,True,True,5,29,inf,1,21,1,inf,False,False,inf
4,16,1024,32,1,1.6556178264343624,False,512,DLMT,1,False,False,False,1,17,0.023821058246853734,10,7,1,1.670382,True,True,1.6851461735656377
5,32,4,2,8,inf,False,128,DLMT,4,True,True,True,22,18,inf,1,1,27,inf,False,True,inf
6,1,16,8,128,inf,False,64,DLMT,32,True,True,True,18,10,inf,1,1,30,inf,False,False,inf
7,2,8,128,1,0.6683215344808497,False,1,DLMT,8,False,True,False,9,20,0.06163564328211396,10,1,27,0.706523,True,True,0.7447244655191503
8,2,4,64,32,24.52597794505413,False,256,DLMT,1,False,False,False,25,22,0.0005196152422706829,10,1,19,24.5263,True,False,24.526622054945868
9,32,2,8,4,inf,False,16,DLMT,2,False,False,True,6,3,inf,1,30,1,inf,False,True,inf
10,4,512,8,1024,0.5887883867548299,False,256,DLMT,1,True,True,False,11,4,0.0423514418106397,10,28,1,0.6150376000000001,True,True,0.6412868132451702
11,1,64,2048,2048,6.619981688231243,False,2048,DLMT,8,True,True,False,5,29,0.003767877519240736,10,29,1,6.622317,True,False,6.624652311768757
12,1,8,64,1024,inf,False,2048,DLMT,32,True,True,True,30,1,inf,1,1,18,inf,False,True,inf
13,8,1,2048,256,4.606486569269027,False,2048,DLMT,16,False,True,False,10,19,0.012362846314664054,10,1,20,4.614149,True,True,4.621811430730974
14,1,2048,1,1,inf,False,2048,DLMT,4,True,True,True,18,9,inf,1,1,13,inf,False,False,inf
15,2,2048,1024,2048,inf,False,1,DLMT,32,False,False,True,9,28,inf,1,1,5,inf,False,False,inf
16,4,16,1,1024,inf,False,64,DLMT,16,True,False,True,1,20,inf,1,1,15,inf,False,False,inf
17,1,128,32,128,inf,False,128,DLMT,8,True,False,True,28,29,inf,1,12,1,inf,False,True,inf
18,8,1,512,2,5.331315788495537,False,2048,DLMT,1,True,False,False,16,29,0.031893142852343556,10,1,2,5.351083,True,False,5.370850211504463
19,32,512,128,512,inf,False,2048,DLMT,2,True,True,True,22,22,inf,1,26,1,inf,False,False,inf
20,2,128,1024,256,2.8044748341379218,False,1,DLMT,2,False,False,True,20,30,0.0010312536060543805,10,30,1,2.8051140000000006,True,False,2.8057531658620793
21,8,128,1,128,inf,False,512,DLMT,1,True,False,True,8,9,inf,1,1,23,inf,False,False,inf
22,4,8,1,16,0.32388190109390075,False,16,DLMT,16,False,True,False,30,30,0.027800640547296748,10,1,6,0.34111260000000004,True,True,0.35834329890609934
23,4,4,4,2048,5.4985404085617615,False,1024,DLMT,1,False,False,True,8,26,0.027911794281271173,10,20,1,5.51584,True,True,5.533139591438238
24,16,16,1,128,0.2112145352282336,False,8,DLMT,2,True,True,False,14,23,0.03191162197319341,10,7,1,0.23099319999999998,True,True,0.25077186477176633
25,8,128,8,1,inf,False,2048,DLMT,8,True,False,True,30,21,inf,1,1,6,inf,False,False,inf
26,8,128,64,2048,inf,False,1,DLMT,16,True,False,True,21,1,inf,1,16,1,inf,False,False,inf
27,4,1,4,128,inf,False,2048,DLMT,1,True,True,True,1,29,inf,1,1,10,inf,False,False,inf
28,2,8,2048,64,3.2045860452210766,False,1,DLMT,16,True,True,False,1,2,0.0041545263267910035,10,17,1,3.207161,True,False,3.2097359547789237
29,32,1,16,1,3.1885026559768836,False,2048,DLMT,1,False,False,False,30,1,0.0001941674535034311,10,1,30,3.188623,True,False,3.1887433440231168
30,1,32,1,64,inf,False,8,DLMT,1,False,False,True,11,1,inf,1,1,5,inf,False,True,inf
31,8,2,1024,2048,3.9791234527916926,False,1,DLMT,1,False,False,True,26,8,0.024613858474444812,10,26,1,3.994379000000001,True,True,4.009634547208309
32,8,2,4,64,25.97903273809038,False,1,DLMT,8,True,False,False,5,30,0.0005441507144166929,10,1,30,25.97937,True,False,25.97970726190962
33,4,128,4,1,2.009289276920497,False,512,DLMT,32,True,True,False,21,12,0.006785667616380837,10,1,1,2.013495,True,True,2.0177007230795025
34,4,1,256,16,inf,False,256,DLMT,4,False,True,True,7,4,inf,1,9,1,inf,False,False,inf
35,8,32,1,256,4.025520272818164,False,1024,DLMT,16,False,False,False,19,4,0.04582115974088833,10,3,1,4.05392,True,True,4.082319727181836
36,1,1,2,1024,0.13190094243339712,False,1,DLMT,2,False,False,True,27,22,0.03281271469857378,10,1,1,0.15223810000000002,True,True,0.1725752575666029
37,1,2,4,1,1.8167063354162902,False,64,DLMT,8,True,False,False,17,26,0.032122981866570206,10,1,12,1.836616,True,True,1.8565256645837098
38,32,256,16,512,inf,False,1,DLMT,4,True,True,False,29,6,inf,1,1,6,inf,False,False,inf
39,2,2048,1,2048,1.7453388891840778,False,8,DLMT,1,True,False,True,16,6,0.0007923761732914447,10,6,1,1.7458300000000002,True,False,1.7463211108159227
40,1,256,4,2048,2.4249065816695072,False,1024,DLMT,2,False,True,False,26,29,0.11626330411613116,10,1,22,2.496966,True,True,2.569025418330493
41,2,512,512,1024,2.0601891032878963,False,1024,DLMT,2,True,False,False,1,7,0.018123566867479547,10,17,1,2.0714219999999997,True,True,2.082654896712103
42,32,4,2,1,5.4615721246355715,False,32,DLMT,1,False,True,False,6,28,0.0015809667928202119,10,9,1,5.462552,True,False,5.463531875364428
43,1,1,1,1,1.9295159826656314,True,1,DLMT,1,False,False,False,1,1,0.0007922253467290233,10,1,1,1.9300069999999998,True,False,1.9304980173343682
