id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,32,1,512,1,64,64,32,256,21,0.1599587919217314,128,512,1,DLMT,1,False,False,False,2048,1,True,1,24,20,512,1,35,64,25,1,0.16183474285714286,1,True,0.005662489459304509,True,0.16371069379255432
2,1,8,1,1,512,1,32,1,1,0.14690346853187566,256,64,256,DLMT,1,False,True,True,256,512,False,3,29,1,512,1,35,2048,1,6,0.15035782857142857,32,True,0.010426859755967384,True,0.15381218861098148
3,1,1,128,1,1,32,128,1024,3,0.1264820234559632,512,64,32,DLMT,8,False,True,True,1,1,True,10,1,1,2048,1,35,128,1,4,0.12810837142857143,1,False,0.0049090720222037575,True,0.12973471940117964
4,32,1,128,1,32,256,16,256,1,0.1948852492657616,1,1,1,DLMT,8,False,False,True,2048,1,True,13,4,1,1,1,35,1024,16,21,0.19914274285714284,8,True,0.012851089081903539,True,0.2034002364485241
5,8,1,512,1,512,32,16,1,2,0.09220878504403686,128,16,1,DLMT,8,False,True,False,512,1024,False,4,1,28,2048,1,35,1,1,29,0.09222492571428571,1,False,4.872002429542547e-05,True,0.09224106638453457
6,1,32,128,1,16,1,16,128,1,0.2798005356425103,1,1,256,DLMT,1,False,False,False,64,256,True,1,19,29,64,1,35,128,16,4,0.2835336571428571,1,False,0.011268291055480438,True,0.28726677864320393
7,32,1,1024,1,32,128,32,1024,1,0.11356550316092753,1,32,256,DLMT,1,True,True,False,128,1,False,21,1,30,256,32,35,1024,12,8,0.1135994,1,False,0.00010231637210143928,True,0.11363329683907247
8,8,1,1024,1,16,64,512,128,29,0.096287011032348,128,512,512,DLMT,1,False,True,False,128,1024,False,1,2,5,128,1,35,1024,1,7,0.09691825999999999,1,True,0.001905401979365883,True,0.09754950896765198
9,1,32,512,1,128,512,128,2048,3,0.192997048589224,256,128,256,DLMT,1,True,False,True,2048,2048,False,1,14,6,2048,8,35,2048,4,1,0.19303948571428572,1,False,0.00012809491378964043,True,0.19308192283934744
10,1,1,2048,1,128,512,1,1,16,0.1368524960490299,32,512,1,DLMT,1,False,True,True,64,64,True,23,1,30,256,8,35,1,1,7,0.13732762857142855,1,True,0.0014341701848747503,True,0.1378027610938272
11,32,1,1024,1,128,32,256,1024,1,inf,16,16,1,DLMT,1,True,False,True,128,2048,True,10,27,1,1,1,1,1024,15,30,inf,32,False,inf,False,inf
12,1,1,64,32,32,512,512,1,1,0.18798103949535264,64,64,16,DLMT,8,True,False,True,1024,1,False,3,1,7,64,1,35,1,16,18,0.19001765714285715,1,True,0.006147456068246475,True,0.19205427479036166
13,1,32,1024,1,16,32,1,1024,1,0.23211028914962722,128,512,32,DLMT,1,False,False,False,1024,1,True,1,9,16,128,1,35,2048,26,27,0.2406219142857143,8,True,0.02569202994857291,True,0.2491335394218014
