id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,1024,RS,1,1,True,32,128,True,256,64,1,False,0.12872091185723283,16,32,128,1,False,False,True,1,True,16,True,512,True,16,1,64,True,4,1,4,1,4,8,1,5.235611185888236e-05,35,0.12875560242848144,4,0.12873825714285714,4,8,8,True,1024,1,1,1024,True,1,1,8,12
2,32,1024,RS,1,8,True,1,512,True,128,128,1,False,0.17335071203387012,64,512,256,2048,False,True,True,512,True,256,True,512,False,8,8,128,True,8,1,12,1,12,8,1,0.00010272079852191515,35,0.1734187736804156,12,0.17338474285714287,4,32,1,True,1024,512,4,256,True,1,1,32,16
3,512,1,RS,1,32,True,1,256,True,128,512,32,True,0.14646443180907825,128,256,1,256,True,True,False,16,False,32,False,512,True,8,16,1,True,1,4,4,1,4,16,1,8.467968939431977e-05,35,0.14652053961949318,12,0.14649248571428572,4,8,1,True,1,512,12,1024,True,1,1,1,12
4,64,128,RS,8,1,True,8,1,True,128,512,1,True,0.10099654867870102,64,16,64,1024,True,True,True,256,True,64,False,1,True,1,16,128,False,1,4,12,1,16,16,1,5.621209108077567e-05,35,0.10103379417844181,12,0.10101517142857142,1,8,8,True,256,64,8,1,True,1,8,8,16
5,32,128,RS,1,8,False,8,64,False,128,128,32,False,0.2056952335778836,32,16,64,128,False,False,False,64,True,64,True,2048,False,4,4,128,True,4,1,12,1,1,1,12,8.329448128324558e-05,35,0.20575042356497353,4,0.20572282857142857,1,32,1,True,1024,1024,16,256,False,1,32,1,1
6,16,256,RS,1,32,True,1,256,True,1,128,8,False,0.12492678245054482,512,256,512,256,True,True,False,32,False,64,False,1024,False,12,8,512,False,4,1,4,1,16,12,1,6.740782973961015e-05,35,0.12497144612088378,16,0.1249491142857143,1,1,8,True,512,1024,16,1024,True,8,32,1,1
7,256,64,RS,32,1,False,1,256,True,64,32,1,False,0.09139799200706941,16,16,1024,128,False,False,False,1,False,16,True,256,True,12,16,64,False,1,8,4,1,1,16,1,4.326577230399559e-05,35,0.091426659421502,8,0.0914123257142857,16,8,8,True,1,1,12,512,True,12,1,1,1
8,32,1024,RS,8,1,False,8,128,True,512,32,1,True,0.1698116756780922,16,16,1,1,False,True,False,128,False,32,True,512,False,8,1,1024,True,1,1,1,4,1,12,1,8.627210867188867e-05,35,0.16986883860762209,1,0.16984025714285714,16,32,1,True,1,1024,1,256,True,8,1,1,1
9,512,1,RS,8,8,True,1,64,True,16,128,1,False,0.21489692279428682,128,128,1024,1,False,True,True,512,True,16,False,64,False,8,16,256,False,1,1,16,1,1,16,1,0.00013494275732732697,35,0.2149863343485703,1,0.21494162857142857,16,32,1,True,512,128,16,1,False,1,1,32,8
10,32,512,RS,1,8,True,8,1,True,512,32,8,True,0.14435738517935684,1,256,64,1024,True,True,False,1,False,16,True,512,False,12,1,512,False,16,1,1,8,1,1,4,0.0001737357505535573,35,0.14447250053492885,12,0.14441494285714285,16,32,1,True,512,1,4,256,False,8,1,1,1
