id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,256,64,128,1,22,12,RSL,20,1.5967641518674707,512,256,512,170,1,0.11142497142857141,8
2,8,1,512,64,10,1,10,RSL,8,1.6187066367663818,1,1,512,170,1,0.10991454285714287,8
3,1,32,32,1,1,24,28,RSL,26,1.7152017817533889,1,1,2048,170,8,0.10373088571428571,1
