id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,32,2,32,32,64,1,3.5233860071706977,1,False,32,DLMT,128,True,False,True,False,8,8,7,False,16,25,512,4,10,1,4,3.523545,8,0.00025652485259719163,2,True,1,7,1,3.523703992829302,1,24
2,128,64,4,512,2,128,3.8034425012022073,32,False,512,DLMT,512,True,False,True,False,2,16,10,True,1,1,2,16,10,1,1,3.803733,2,0.0004687013974802527,2,True,1,25,2048,3.8040234987977923,3,1
3,4,8,4,1,4,2048,1.9557176850682765,2,False,512,DLMT,1,True,False,False,True,4,8,6,True,32,25,8,4,10,1,1,1.955818,16,0.0001618517840494962,1,True,1,1,32,1.9559183149317236,8,1
4,2,8,64,256,2,1,2.58493622344697,4,False,8,DLMT,2048,False,False,True,True,16,8,1,False,8,18,32,4,10,4,1,2.5862809999999996,2,0.00216971173200491,16,True,30,1,1,2.587625776553029,9,1
5,32,512,4,1,2048,512,3.746467359503156,32,False,1024,DLMT,4,True,False,False,False,2,2,1,False,32,15,2048,8,10,24,1,3.746644,32,0.00028499824560861104,1,True,1,1,2048,3.7468206404968436,1,27
6,256,8,4,512,64,32,2.119346426189,2,False,16,DLMT,2048,False,False,False,True,32,32,10,False,4,26,1024,2,10,1,2,2.119439,4,0.00014936197641967475,32,True,1,20,1024,2.119531573811,1,7
7,1024,1,4,2048,1,512,10.008785960756596,4,False,32,DLMT,4,False,True,False,True,16,4,1,True,8,24,128,32,10,20,4,10.009590000000001,4,0.0012972663566131481,16,True,21,1,256,10.010394039243407,23,1
8,2,16,8,16,4,128,inf,32,False,64,DLMT,32,True,True,False,True,32,1,1,False,1,4,512,2,1,3,4,inf,1,inf,8,False,1,4,2048,inf,1,24
9,8,32,64,2048,8,2048,2.925918517391031,1,False,1,DLMT,2048,False,False,False,False,4,2,1,True,2,2,2048,1,10,30,1,2.926069,8,0.0002427941514946633,4,True,19,1,256,2.926219482608969,12,1
10,16,8,8,512,64,1024,1.8608444196468386,1,False,256,DLMT,64,True,True,False,True,8,256,21,False,4,15,1024,1,10,1,16,1.8609680000000002,1,0.00019938906690186844,2,True,1,20,2,1.8610915803531618,7,1
11,512,64,64,1,2048,128,inf,32,False,1,DLMT,1,True,True,False,False,1,16,1,False,4,12,2048,1,1,1,8,inf,2,inf,32,False,12,1,64,inf,1,29
12,32,2048,128,256,128,2048,2.077119881019505,128,False,1,DLMT,1,True,False,True,False,1,512,14,False,2,29,2048,1,10,1,2,2.077263,4,0.0002309134036820004,16,True,1,15,1024,2.0774061189804947,13,1
13,128,256,2,128,16,16,2.035629169403286,2,False,2048,DLMT,4,True,True,False,False,4,16,1,False,4,27,1,2,10,15,4,2.035774,8,0.00023367498796399857,16,True,5,1,2048,2.0359188305967137,1,3
14,64,1,1,128,8,1,4.686775054253544,256,False,256,DLMT,256,False,True,False,True,2,64,1,True,16,19,16,16,10,28,1,4.699882,2,0.02114722620108842,16,True,13,1,1024,4.7129889457464555,16,1
15,32,1,1,64,512,1024,inf,32,False,512,DLMT,256,True,False,True,True,8,8,26,False,1,16,2048,4,1,1,16,inf,4,inf,4,False,1,28,256,inf,25,1
16,1,8,16,64,8,4,6.938093323396955,4,False,256,DLMT,128,False,False,True,False,16,4,8,False,1,28,2048,1,10,1,32,6.942075,16,0.006424182827410654,2,True,18,1,64,6.946056676603045,1,23
17,4,2,16,64,4,16,2.4335796784034143,256,False,512,DLMT,256,False,True,False,True,1,16,22,True,2,2,1,4,10,1,8,2.4337189999999995,4,0.0002247865654348747,1,True,1,2,256,2.4338583215965848,1,4
18,256,2,32,2048,4,16,2.56675247335033,16,False,512,DLMT,128,False,False,True,False,1,4,20,True,1,29,1024,4,10,1,32,2.567226,1,0.0007640052355841726,4,True,30,1,16,2.5676995266496694,1,29
19,16,8,2,2048,64,2048,3.77105819021266,4,False,1,DLMT,1,False,False,True,False,1,8,21,True,4,29,64,2,10,1,8,3.7713349999999997,8,0.000446615046768483,1,True,24,1,256,3.7716118097873395,1,12
20,2,4,16,1,1,2,3.055024399667002,2,False,128,DLMT,64,False,False,True,True,1,1,1,False,2,29,1024,4,10,17,2,3.0551070000000005,4,0.0001332704018152645,8,True,19,1,64,3.055189600332999,1,6
21,1,64,1,16,2048,256,3.126748526596556,4,False,1,DLMT,4,True,False,True,False,32,1,1,True,2,2,1,4,10,24,2,3.1268819999999997,2,0.00021535087647833512,32,True,11,1,8,3.127015473403443,6,1
22,16,4,32,1,8,512,inf,128,False,4,DLMT,256,False,False,True,False,1,16,30,False,4,11,32,2,1,1,16,inf,32,inf,4,False,14,1,1,inf,18,1
23,32,32,1,1,16,16,2.2715715232178524,2,False,128,DLMT,2,True,False,True,False,4,4,1,False,1,19,256,4,10,11,8,2.2733329999999996,8,0.002842031139871629,16,True,1,4,2,2.275094476782147,1,6
24,16,2,2048,128,16,1,2.329169039904327,128,False,4,DLMT,1,False,True,True,True,4,32,1,True,8,20,16,32,10,30,1,2.329333,2,0.0002645392220446417,1,True,24,1,256,2.329496960095673,7,1
25,1024,1,8,2048,4,64,inf,32,False,32,DLMT,2048,True,True,True,False,1,4,1,False,4,28,16,32,1,14,4,inf,1,inf,32,False,30,1,128,inf,1,11
26,64,256,16,256,2,16,2.755388491153521,128,False,2048,DLMT,1024,True,False,False,False,16,4,6,False,8,19,512,2,10,1,32,2.7566409999999997,8,0.002020843635712554,1,True,16,1,128,2.7578935088464784,19,1
27,2,256,1024,512,4,32,9.117084785177932,1,False,1024,DLMT,2048,False,False,True,True,4,8,21,False,16,29,4,4,10,1,2,9.117382000000001,1,0.00047953727696622034,2,True,1,9,1024,9.11767921482207,2,1
28,4,32,32,32,8,1,2.7177977078756066,8,False,128,DLMT,64,True,True,True,True,8,2048,1,False,4,28,8,2,10,15,32,2.717882,4,0.0001360000000000459,32,True,7,1,256,2.7179662921243932,23,1
29,256,1,2,2048,8,256,2.65049601819499,8,False,2,DLMT,16,False,False,False,False,16,16,7,True,2,15,64,1,10,1,4,2.650578,32,0.00013227244611027316,4,True,1,3,8,2.65065998180501,1,21
30,4,128,1,16,512,16,inf,1,False,128,DLMT,2048,True,False,True,True,1,8,1,True,1,7,1024,2,1,30,4,inf,8,inf,8,False,1,23,256,inf,1,25
31,16,4,8,1,4,512,1.9368138166144009,2,False,2048,DLMT,512,False,True,False,False,8,16,1,True,8,22,16,1,10,3,2,1.936937,16,0.0001987485849006229,2,True,1,4,2048,1.937060183385599,12,1
32,512,128,128,1024,16,1024,1.9746740868022898,8,False,1,DLMT,128,False,True,True,False,16,512,13,False,2,9,128,4,10,1,2,1.9747489999999999,1,0.00012086769626332204,16,True,1,29,8,1.97482391319771,6,1
33,8,2,8,32,256,1024,2.214384611830034,64,False,64,DLMT,512,True,False,True,True,16,512,1,False,4,11,512,4,10,2,1,2.214497,1,0.00018133118871284832,4,True,18,1,256,2.214609388169966,1,8
34,1,128,64,512,256,512,4.699185943808829,8,False,128,DLMT,128,False,False,True,False,8,512,1,False,16,17,1024,32,10,14,2,4.699572000000001,8,0.0006228771949589505,8,True,1,30,16,4.699958056191172,17,1
35,512,4,2,512,2,2,2.1480822073713104,4,False,32,DLMT,2,False,False,False,True,1,2,20,False,16,8,128,8,10,1,16,2.150001,1,0.0030958502870777928,4,True,1,27,128,2.1519197926286897,9,1
36,8,8,32,64,32,8,2.0064306316969653,512,False,128,DLMT,256,True,False,True,True,2,1,1,True,2,10,2048,1,10,12,16,2.019587,2,0.02122696636356687,1,True,20,1,1,2.0327433683030347,1,23
37,1024,8,1,2048,256,1024,inf,32,False,512,DLMT,2048,True,True,True,True,1,4,1,True,4,20,512,8,1,15,16,inf,4,inf,1,False,8,1,2048,inf,1,15
38,128,4,2048,2048,512,1,1.8831466984127814,1024,False,2048,DLMT,2048,True,True,True,False,4,512,6,False,2,6,2048,8,10,1,4,1.883371,2,0.00036189639401354884,2,True,1,5,2048,1.8835953015872184,1,27
39,1,1,32,64,4,1,2.180592782532675,128,False,2,DLMT,32,False,True,True,False,2,2048,1,True,1,23,1,2,10,16,8,2.1806720000000004,1,0.00012781236246934137,8,True,21,1,1024,2.180751217467326,5,1
40,2,2,1,128,32,512,3.3734638355558224,256,False,4,DLMT,2,True,False,False,False,32,1,1,False,2,6,64,32,10,21,2,3.3735720000000002,16,0.00017451647486695497,4,True,1,18,2048,3.373680164444178,1,29
41,128,2,32,1,1,2,3.6242346581573393,2,False,16,DLMT,256,False,False,True,False,16,1,21,False,1,9,1,16,10,1,8,3.6244870000000007,1,0.00040713756888806216,2,True,1,23,256,3.624739341842662,11,1
42,128,256,512,1024,2,4,inf,2,False,1,DLMT,2048,True,True,True,True,2,2,17,True,1,8,2048,1,1,1,32,inf,1,inf,2,False,1,21,512,inf,1,12
43,16,128,16,1,128,64,4.52499159186635,8,False,2048,DLMT,256,True,False,True,False,4,32,22,False,16,19,128,1,10,1,16,4.5255160000000005,4,0.0008460992849542012,16,True,1,29,16,4.526040408133651,1,23
44,2,32,64,16,2,1,2.0727697798010722,512,False,32,DLMT,2048,True,True,True,True,32,16,1,False,2,15,2048,4,10,26,1,2.072977,2,0.0003343366566800921,2,True,1,8,1024,2.0731842201989275,30,1
45,128,1024,8,2048,1,512,5.008934026775125,16,False,1,DLMT,512,True,True,True,False,4,256,23,True,16,10,1,16,10,1,2,5.009283,1,0.0005630461792784527,32,True,1,9,16,5.009631973224875,27,1
46,4,2,256,8,256,512,inf,32,False,128,DLMT,256,True,False,True,False,1,4,1,False,16,26,1,1,1,6,32,inf,16,inf,1,False,24,1,32,inf,28,1
47,16,2,1,128,2,512,2.8723829359655655,16,False,1024,DLMT,1,True,False,True,False,16,64,1,False,2,23,512,16,10,25,4,2.8728049999999996,2,0.0006809735677689471,1,True,28,1,2048,2.8732270640344337,11,1
48,2,32,256,256,2,1,5.3578943965388675,1,False,256,DLMT,1024,True,False,False,False,2,4,1,False,16,7,8,4,10,20,4,5.358005,4,0.0001784516741305544,4,True,1,22,1,5.358115603461133,1,9
49,1,1,2,1,8,256,inf,4,False,4,DLMT,512,False,False,True,True,8,64,5,True,2,30,256,16,1,1,2,inf,8,inf,8,False,4,1,4,inf,11,1
50,32,4,1,1,256,128,inf,32,False,1,DLMT,4,False,True,True,False,1,2,28,False,32,21,512,1,1,1,4,inf,1,inf,8,False,24,1,128,inf,1,25
51,32,2,1,1024,64,128,2.3804172872230467,32,False,1024,DLMT,1,False,False,True,True,16,32,1,False,8,28,128,2,10,9,32,2.380621,1,0.00032867765363648,1,True,1,25,1,2.3808247127769535,1,15
