id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,1,2048,1,1,32,64,2048,7,0.12884112353257693,64,512,256,DLMT,32,False,True,False,1,2048,True,7,1,27,1,1,35,1,5,1,0.1296914285714286,1,False,0.0025666147385859316,True,0.13054173361028026
2,1,1,1024,1,256,32,1,512,1,0.12484761513158253,16,1,1,DLMT,1,False,True,False,64,512,False,1,13,11,256,1,35,2048,10,23,0.12485934285714284,1,False,3.5399711747933124e-05,True,0.12487107058270315
3,8,8,1,1,128,128,16,256,28,0.1584882010651453,256,16,512,DLMT,1,False,True,False,1,1024,False,1,21,25,256,1,35,2048,17,1,0.16285091428571427,32,True,0.013168690693939663,True,0.16721362750628324
4,1,1,1,32,64,32,256,2048,1,0.2539395242945067,1,256,512,DLMT,32,True,False,True,2048,2048,False,20,1,5,2048,1,35,1,4,8,0.25551854285714287,1,True,0.0047662099248945424,True,0.257097561419779
5,1,1,128,32,128,1,64,512,1,0.19567774693548454,256,32,128,DLMT,1,False,False,True,512,1024,False,13,23,1,512,8,35,1,3,26,0.1957658857142857,8,False,0.0002660436882950503,True,0.19585402449308684
6,32,1,1,1,512,16,64,64,14,0.13581207130531675,1,512,16,DLMT,1,True,True,False,512,512,True,1,13,5,512,32,35,1,10,1,0.13868897142857142,1,True,0.008683818065757921,True,0.1415658715518261
7,1,1,1,1,512,64,64,1,8,0.12744586785052836,512,256,1,DLMT,1,True,False,True,1,128,True,22,1,30,1024,8,35,128,27,1,0.12929265714285712,1,False,0.005574466103546763,True,0.13113944643518588
8,1,1,2048,32,128,512,512,2048,30,0.1899649590974817,1,128,1,DLMT,1,True,False,False,1,1024,False,6,4,1,1,1,35,2048,6,1,0.19094948571428574,32,True,0.0029717576749067804,True,0.19193401233108978
9,1,32,64,1,1,64,256,512,1,0.23988002287819954,512,32,16,DLMT,1,False,False,True,1,128,False,22,22,1,2048,1,35,1,9,4,0.2426087428571429,32,True,0.008236541706124884,True,0.24533746283608626
10,32,1,512,1,32,64,512,1024,13,0.10497291111321772,1,64,1,DLMT,1,False,False,True,64,2048,True,1,13,4,1024,1,35,1024,1,16,0.10540025714285714,1,False,0.001289928399848106,True,0.10582760317249656
11,1,1,128,1,32,1,64,64,1,0.11455133750648845,1,1,512,DLMT,1,True,False,False,2048,2048,False,26,1,30,2048,1,35,2048,17,18,0.11457577142857142,32,False,7.375290239878656e-05,True,0.11460020535065439
12,1,8,2048,8,16,32,16,1,3,0.23798475173247943,32,256,16,DLMT,32,False,False,False,512,256,False,1,30,27,128,1,35,64,29,1,0.2387012857142857,1,True,0.002162831683186629,True,0.23941781969609197
13,1,32,256,1,64,512,16,1,21,0.17870632129281697,512,1,1,DLMT,1,False,False,False,1024,512,True,5,2,1,64,1,35,256,1,28,0.18106305714285711,8,True,0.007113721183912748,True,0.18341979299289726
14,1,8,2048,8,1,1,512,1024,1,0.22935670018385135,16,256,32,DLMT,1,True,False,True,64,1,True,6,22,1,128,1,35,2048,24,7,0.2417394571428571,1,True,0.03737690012778547,True,0.25412221410186286
15,8,8,256,1,512,1,64,128,15,0.20807956894594978,1,16,16,DLMT,8,False,False,True,256,64,False,1,29,26,1,1,35,1,1,7,0.20814108571428572,1,False,0.00018568612094123666,True,0.20820260248262165
16,1,8,1,8,16,1,64,64,1,0.20072177433663596,1,512,16,DLMT,1,False,True,True,2048,256,False,1,30,20,64,1,35,1,28,26,0.20081394285714285,1,False,0.00027820731661911676,True,0.20090611137764974
17,1,1,128,32,32,512,16,512,17,0.17236944279053437,32,32,1,DLMT,1,True,True,True,256,1024,False,3,1,28,1024,1,35,64,1,22,0.1724024,1,False,9.948013441314446e-05,True,0.17243535720946565
18,8,8,2048,1,32,1,16,2048,1,0.26713832734247756,512,16,16,DLMT,32,True,True,True,2048,128,False,3,29,1,2048,1,35,2048,8,27,0.2677638285714286,1,True,0.0018880526397884762,True,0.26838932980037966
19,1,8,1,1,16,16,1,64,1,0.14279456541870036,1,64,16,DLMT,8,True,False,True,1024,1024,True,30,4,1,1,8,35,1024,5,2,0.144058,1,False,0.003813631190498479,True,0.14532143458129962
20,8,1,512,8,32,128,1,256,1,0.1898335734796577,32,256,64,DLMT,1,False,False,False,1,256,True,25,27,1,64,1,35,256,22,26,0.19139451428571427,1,True,0.004711642876179503,True,0.19295545509177084
21,1,1,1,1,64,128,128,256,25,0.20929710172584684,32,512,1,DLMT,1,True,True,False,2048,64,True,21,26,1,512,1,35,2048,1,24,0.20976777142857145,32,True,0.0014206993265031599,True,0.21023844113129606
22,1,8,512,8,64,128,1,512,1,0.18596914863772634,32,1,1,DLMT,1,False,True,False,2048,1,True,16,1,28,2048,32,35,2048,12,2,0.1871356857142857,1,False,0.003521149607495731,True,0.18830222279084508
23,1,8,2048,1,16,128,64,2048,24,0.09073941627860183,16,64,32,DLMT,32,False,False,False,2048,1,True,28,1,20,1,1,35,64,1,29,0.09247520857142857,1,True,0.005239425709989403,True,0.09421100086425532
24,1,32,1024,1,16,128,256,1,20,0.15303024193030806,32,1,512,DLMT,1,True,True,False,1,1024,False,28,1,29,1024,1,35,512,1,28,0.1534460857142857,1,True,0.0012552092909477817,True,0.15386192949826333
25,1,1,1024,32,1,128,1,1,20,0.17522980059025065,1,1,128,DLMT,32,False,True,True,1,2048,True,12,29,1,1024,1,35,128,2,1,0.18058797142857141,1,True,0.01617344319641786,True,0.18594614226689218
26,1,1,256,1,64,64,32,64,20,0.16632543245549566,128,16,512,DLMT,1,True,False,False,1024,512,True,1,29,4,2048,1,35,128,28,1,0.1671184,1,False,0.002393543603709182,True,0.16791136754450434
27,1,32,1024,1,16,32,1,1024,1,0.22451830097736333,1,512,512,DLMT,8,True,True,False,128,1,False,1,9,4,128,1,35,64,4,21,0.22461862857142856,8,False,0.00030283518249222825,True,0.22471895616549378
28,1,32,64,1,128,128,64,512,25,0.17606554966198537,1,32,512,DLMT,1,False,True,True,64,2048,False,30,3,1,2048,32,35,256,26,1,0.176189,1,False,0.00037263034152974143,True,0.17631245033801465
29,32,1,512,1,1,1,64,128,18,0.06957793820795007,256,16,256,DLMT,1,True,True,False,256,1024,False,30,1,9,256,1,35,1024,19,1,0.06959715142857144,32,False,5.799440550077052e-05,True,0.06961636464919281
30,1,1,1,32,64,256,512,1,1,0.24164215348521514,512,128,128,DLMT,8,True,True,False,2048,128,True,1,3,4,1,1,35,1024,16,5,0.24347368571428574,1,True,0.005528413214716597,True,0.24530521794335633
31,1,1,1024,32,128,1,128,256,30,0.31802801191100866,512,32,32,DLMT,8,False,False,False,1,64,True,26,1,23,2048,8,35,256,26,1,0.3188244571428571,1,False,0.0024040408760829237,True,0.3196209023747056
32,8,8,1,1,1,32,1,64,1,0.2088255713123885,32,512,64,DLMT,1,False,False,False,1,64,False,14,12,1,512,32,35,2048,9,23,0.21011942857142857,1,True,0.003905460933365076,True,0.21141328583046864
33,8,1,2048,1,128,512,32,2048,11,0.0985748444822354,128,512,256,DLMT,1,False,False,True,2048,1,False,1,5,11,512,1,35,512,7,1,0.09959313142857143,1,True,0.003073661997940515,True,0.10061141837490746
34,1,8,2048,8,1,256,64,2048,1,0.2425793756372852,16,64,256,DLMT,1,True,False,True,2048,2048,True,1,20,30,128,32,35,1024,14,28,0.24342931428571427,1,False,0.0025655088024620406,True,0.24427925293414332
35,1,1,256,32,16,16,1,64,18,0.15532708194929146,1,256,512,DLMT,32,False,True,True,64,1,True,1,6,28,1024,1,35,2048,1,11,0.15723862857142856,1,False,0.005769933741069,True,0.15915017519356567
36,32,1,128,1,1,512,256,512,1,0.2074325360479531,64,16,16,DLMT,32,True,True,False,256,256,False,23,30,1,2048,1,35,1024,29,28,0.20747985714285716,1,False,0.0001428369985797289,True,0.20752717823776123
37,1,1,2048,1,1,64,256,64,1,0.13281628613495514,512,32,256,DLMT,1,False,True,True,1024,1,False,1,15,19,1,32,35,1,12,2,0.13598502857142858,1,True,0.009564733441094094,True,0.13915377100790202
38,8,8,2048,1,512,128,32,1,1,0.2135529949187635,1,512,1,DLMT,1,False,True,True,256,512,True,22,26,1,2048,1,35,512,5,4,0.21597054285714284,32,False,0.007297280253992309,True,0.21838809079552218
39,1,1,1,8,128,64,16,128,1,inf,32,32,16,DLMT,1,False,True,True,64,1,True,1,6,11,256,1,1,1,24,30,inf,32,True,inf,False,inf
40,1,1,1,1,1,1,1,1,1,0.051646940178697746,1,1,1,DLMT,1,False,False,False,1,1,False,1,1,1,1,1,35,1,1,1,0.05165664571428571,1,False,2.9295805090803994e-05,True,0.05166635124987367
41,32,1,128,1,16,128,64,1024,1,0.16616629982801184,16,32,512,DLMT,1,True,True,True,512,512,True,15,1,5,1,1,35,1,30,24,0.16720037142857141,1,False,0.003121307400851805,True,0.168234443029131
42,8,1,2048,1,1,512,512,1,1,0.13917919783664068,16,1,128,DLMT,1,True,True,False,64,512,True,9,1,14,1,32,35,1,13,26,0.14378094285714288,1,True,0.013890199461578979,True,0.14838268787764508
43,32,1,256,1,256,128,32,1,1,0.16596155850179167,1,16,1,DLMT,8,False,True,True,1024,64,False,3,1,23,1,1,35,1024,8,9,0.16768805714285714,8,True,0.005211373161202922,True,0.16941455578392262
44,32,1,64,1,512,256,64,512,1,0.1331593772573107,16,64,1,DLMT,1,True,False,False,128,128,False,3,1,23,2048,32,35,512,27,28,0.13318014285714283,1,False,6.268020551390292e-05,True,0.13320090845697496
45,1,1,2048,1,128,1,1,1,21,0.1413821269233194,128,512,1,DLMT,1,False,False,False,256,256,True,30,1,7,2048,8,35,128,1,25,0.14267931428571426,8,False,0.00391551272885122,True,0.14397650164810913
46,32,1,1024,1,128,1,32,1,19,0.08336959225804609,1,256,256,DLMT,1,True,False,True,256,512,False,2,1,6,2048,1,35,128,26,1,0.08338874571428571,1,False,5.78140088948147e-05,True,0.08340789917052534
47,8,1,2048,1,32,16,32,256,26,0.11436746367822505,256,256,16,DLMT,32,False,False,True,2048,1024,False,29,1,21,64,1,35,1024,25,1,0.11440182857142855,1,False,0.00010372917642021555,True,0.11443619346463206
48,1,1,256,1,512,1,64,64,10,0.05218728512781033,16,256,16,DLMT,1,False,False,True,1,2048,True,9,1,6,512,32,35,1,4,1,0.058011468571428575,1,True,0.017580085244239475,True,0.06383565201504682
49,1,1,128,1,32,1,1,1,7,0.1062122839646019,1,64,512,DLMT,1,True,True,True,1,2048,False,28,1,22,64,1,35,2048,8,1,0.10622434285714284,32,False,3.639932719719186e-05,True,0.10623640174968378
50,1,1,512,1,128,16,16,2048,30,0.12094885807426091,1,512,32,DLMT,32,True,True,False,64,1,True,22,1,15,256,1,35,1,1,13,0.1230489142857143,1,True,0.00633894305913366,True,0.12514897049716767
51,1,1,128,1,1,256,1,2048,3,0.10532661980937823,1,1,16,DLMT,1,False,False,False,256,256,True,25,1,22,128,1,35,1024,20,1,0.10940422857142858,1,True,0.012308113287202561,True,0.11348183733347893
52,1,1,1,1,1,256,1,256,19,0.1376088781071006,1,256,32,DLMT,1,True,True,True,1024,2048,False,30,1,21,512,1,35,256,1,29,0.13835122857142856,32,True,0.0022407577938305273,True,0.13909357903575653
53,1,1,256,1,64,1,512,1024,1,0.1194258476862246,256,128,128,DLMT,8,False,True,False,256,1,True,8,1,23,2048,1,35,1,26,22,0.12080014285714284,8,True,0.004148259835799358,True,0.12217443802806108
54,1,1,1024,1,64,256,64,512,14,0.09338169934492244,512,512,1,DLMT,1,False,True,True,2048,64,True,2,1,2,1,1,35,2048,1,25,0.09593524571428572,1,False,0.007707786556365039,True,0.098488792083649
55,32,1,64,1,16,128,64,256,19,0.1212930644546819,16,1,512,DLMT,1,False,False,False,256,2048,False,30,1,3,2048,1,35,1,2,1,0.12212682857142855,1,True,0.0025166865686648307,True,0.1229605926881752
56,1,1,1,1,64,1,32,256,25,0.1616946895293604,16,1,64,DLMT,1,True,True,False,2048,1024,True,8,1,12,2048,32,35,1024,1,26,0.16331342857142855,1,True,0.004886104742960762,True,0.16493216761349672
57,32,1,512,1,512,128,512,1,1,0.11396771209786404,128,512,1,DLMT,1,True,True,False,128,2048,True,13,1,14,1,1,35,512,18,1,0.11534459999999999,32,True,0.004156085900390963,True,0.11672148790213595
58,1,1,2048,1,128,256,64,1024,6,0.09973275022222089,512,1,128,DLMT,1,True,False,True,2048,128,True,4,1,23,512,1,35,1,12,1,0.10056529428571429,32,True,0.002513003882430389,True,0.10139783834920768
59,32,1,1,1,1,16,32,1,22,0.13570261558449337,16,32,64,DLMT,32,True,False,True,128,64,True,18,1,10,128,1,35,2048,24,1,0.1387968285714286,1,False,0.009339769016677983,True,0.14189104155836385
60,32,1,512,1,32,32,1,512,22,0.10307198409489271,1,512,128,DLMT,8,True,False,True,256,1,True,4,1,30,256,1,35,2048,1,28,0.1067106,8,True,0.0109830293640429,True,0.1103492159051073
61,1,1,512,1,1,32,512,256,2,0.10576389016653487,16,512,64,DLMT,1,True,True,True,64,2048,True,27,1,27,1024,1,35,1,1,18,0.10830522857142856,1,False,0.007670937260989744,True,0.11084656697632225
62,32,1,1,1,64,1,512,2048,26,0.12576426210079178,256,256,1,DLMT,1,True,False,False,512,64,True,20,1,9,2048,1,35,1024,1,8,0.1267824,32,False,0.003073212104622785,True,0.1278005378992082
63,32,1,2048,1,16,128,128,1024,12,0.17682619169163863,128,128,32,DLMT,1,True,True,True,256,1,False,25,1,8,2048,32,35,1024,15,1,0.17736257142857145,1,True,0.001619042667499431,True,0.17789895116550428
64,1,1,64,1,256,128,512,1,29,0.1038586714906796,32,1,64,DLMT,1,False,True,False,64,64,True,27,1,10,256,1,35,1,1,30,0.1047966,32,False,0.0028311029874793117,True,0.10573452850932041
65,1,1,1,1,64,1,128,64,1,0.1920523657108191,256,256,64,DLMT,1,False,True,False,256,2048,False,19,1,3,1,32,35,1,9,30,0.19304528571428575,1,True,0.002997092806336822,True,0.1940382057177524
66,8,1,1024,1,256,512,32,1024,23,0.1125797916431787,256,1,512,DLMT,1,False,True,False,1,1,False,17,1,26,1024,8,35,2048,1,30,0.11260474285714284,1,False,7.531432907000809e-05,True,0.11262969407110697
67,8,1,1,1,32,256,1,1,1,0.11490063163848105,512,16,64,DLMT,32,True,True,False,2048,1024,False,26,1,19,2048,1,35,1024,4,2,0.11491957142857144,1,False,5.7169065418426557e-05,True,0.11493851121866183
68,32,1,1024,1,128,128,16,2048,1,0.12596993663215172,1,1,256,DLMT,1,False,True,True,2048,256,True,28,1,5,256,1,35,64,28,14,0.12714717142857138,8,False,0.0035534402846152512,True,0.12832440622499103
69,32,1,1024,1,128,32,64,512,28,0.1185930988150596,16,1,32,DLMT,1,True,False,False,2048,1,False,12,1,30,128,32,35,64,1,2,0.11861768571428571,1,False,7.421465832437841e-05,True,0.11864227261351183
70,1,1,1,1,128,256,16,2048,28,0.13783061387746195,128,512,16,DLMT,1,True,True,False,1,512,False,17,1,30,256,1,35,128,14,1,0.13915599999999997,1,True,0.0040006296575842756,True,0.140481386122538
71,32,1,128,1,16,64,1,128,28,0.08717799211394942,256,16,1,DLMT,1,False,True,True,2048,2048,True,1,1,25,256,8,35,1,11,1,0.08932888571428571,8,False,0.006492393862805606,True,0.091479779314622
72,32,1,1024,1,16,16,128,2048,30,0.11145271392880278,256,32,1,DLMT,8,False,False,True,1024,2048,False,5,1,21,256,1,35,1024,1,19,0.11241162857142856,1,True,0.002894448865236592,True,0.11337054321405433
73,1,1,1,1,1,512,16,2048,20,0.0552935333634159,1,64,1,DLMT,1,False,True,True,64,1,False,1,1,16,256,1,35,1024,16,1,0.055384768571428565,32,False,0.0002753901469047955,True,0.05547600377944123
74,1,1,1,1,64,256,256,256,28,0.13550693997910543,32,256,256,DLMT,1,False,False,False,2048,1,True,26,1,30,1,32,35,1024,6,1,0.1373456857142857,1,True,0.0055501869197425785,True,0.139184431449466
75,32,1,512,1,64,64,32,2048,1,0.12859446265677707,256,64,512,DLMT,32,True,False,True,1,2048,False,4,1,3,512,1,35,128,4,28,0.12861777142857145,1,False,7.035667730085044e-05,True,0.12864108020036583
76,1,1,1024,1,32,256,256,1024,20,0.1331798047664136,1,512,512,DLMT,32,False,True,False,512,2048,True,2,1,7,1024,1,35,1,11,1,0.1338431142857143,1,False,0.0020021755848708828,True,0.13450642380501499
77,8,1,512,1,1,1,1,512,1,0.08058411579351606,32,512,64,DLMT,1,False,False,False,1024,1,False,3,1,10,512,1,35,2048,1,18,0.08059677142857144,32,False,3.8200572706466696e-05,True,0.08060942706362682
78,1,1,2048,1,32,256,16,1,29,0.06219579182802293,1,128,128,DLMT,1,True,False,True,1,512,False,2,1,24,2048,1,35,1024,1,10,0.06220602285714286,32,False,3.088198814579029e-05,True,0.0622162538862628
79,32,1,1024,1,128,64,1,512,1,0.16320571990732421,16,32,1,DLMT,1,True,True,True,128,2048,True,10,1,27,1,32,35,128,11,19,0.1659063142857143,1,True,0.008151645606944924,True,0.1686069086641044
80,1,1,1,1,256,128,512,256,1,0.16800523772985176,32,512,128,DLMT,1,True,True,False,1,1,False,18,1,20,512,1,35,1,20,4,0.16951905714285717,1,True,0.004569408670357108,True,0.17103287655586258
81,8,1,512,1,1,512,1,512,27,0.11256109808752426,32,1,16,DLMT,1,True,False,False,64,512,True,8,1,1,64,1,35,1,29,1,0.1146744,32,False,0.006378924724434364,True,0.11678770191247573
82,32,1,512,1,512,512,512,512,1,0.10045009922448418,64,16,256,DLMT,1,True,False,False,512,1024,True,29,1,1,512,32,35,2048,17,2,0.1033875142857143,1,True,0.008866480198305231,True,0.10632492934694442
83,32,1,1,1,16,1,128,512,23,0.15729417306747448,512,64,32,DLMT,8,False,False,True,1,64,True,17,1,7,2048,1,35,1024,1,2,0.1632430571428571,1,True,0.017956489551839084,True,0.16919194121823974
84,32,1,2048,1,256,32,256,128,1,0.09918422085499656,512,1,512,DLMT,1,True,True,True,1024,1,False,20,1,17,256,1,35,1024,10,16,0.09920518857142858,32,False,6.329028709696472e-05,True,0.0992261562878606
85,1,1,1,1,1,64,512,64,29,0.1473817310032326,1,1,1,DLMT,1,True,False,True,2048,128,False,16,1,13,64,8,35,2048,1,21,0.14889677142857144,1,True,0.0045730942515401305,True,0.15041181185391028
86,8,1,128,1,32,64,128,1024,1,0.1193205208124846,32,128,1,DLMT,1,False,True,True,2048,2048,False,4,1,5,256,8,35,2048,28,29,0.11997971428571427,8,True,0.001989751449968832,True,0.12063890775894394
87,1,1,128,1,256,1,1,64,29,0.12444702165030953,512,16,512,DLMT,8,False,True,False,1,2048,False,12,1,9,2048,1,35,512,4,1,0.12541485714285716,1,True,0.0029213761252714666,True,0.12638269263540478
88,1,1,1,1,1,16,64,1,20,0.1279582922637367,512,512,1,DLMT,1,True,True,False,2048,1,False,29,1,21,1,1,35,1024,7,1,0.1313916857142857,1,True,0.010363572871970992,True,0.1348250791648347
89,32,1,2048,1,16,128,1,128,1,0.15119516266683697,64,1,1,DLMT,1,True,True,False,128,512,False,30,1,6,2048,1,35,256,4,11,0.1516706,1,True,0.0014350902450468302,True,0.152146037333163
90,8,1,1024,1,64,512,128,1,1,0.1456348445293615,1,1,512,DLMT,32,False,True,False,1,1,True,26,1,3,1,1,35,128,23,30,0.15258922857142854,1,True,0.020991554518201175,True,0.15954361261349556
91,1,1,128,1,1,1,512,1,1,0.07653864777264241,1,128,1,DLMT,1,True,False,True,1,512,True,28,1,9,64,1,35,2048,10,8,0.07800856571428572,32,True,0.004436893680682648,True,0.07947848365592902
92,32,1,1,1,64,16,1,2048,3,0.1224824640979638,16,128,32,DLMT,1,True,True,False,1,1,False,15,1,12,512,1,35,2048,27,1,0.12258148571428573,32,False,0.00029889313631927965,True,0.12268050733060766
93,32,1,2048,1,128,1,512,1024,6,0.1102839196424966,1,1,32,DLMT,8,True,False,False,64,128,False,6,1,30,1,1,35,512,1,6,0.11030968571428572,8,False,7.777394768671304e-05,True,0.11033545178607483
94,32,1,128,1,256,1,32,2048,1,0.15923912016250122,64,128,128,DLMT,32,True,True,True,2048,2048,True,23,1,21,1,1,35,2048,21,9,0.1607720285714286,1,True,0.004627028108134788,True,0.162304936980356
95,1,1,1024,1,256,16,512,2048,24,0.12863052894344426,1,16,32,DLMT,1,False,True,True,512,1,True,14,1,9,1024,8,35,1,1,4,0.12954385714285716,1,False,0.0027568478495024204,True,0.13045718534227005
96,32,1,1024,1,16,32,16,1,29,0.10056365696225261,128,256,512,DLMT,1,False,False,False,1024,1,False,5,1,11,512,32,35,512,8,1,0.10193168571428572,1,True,0.004129344879008766,True,0.10329971446631883
97,1,1,128,1,512,64,128,1,1,0.2035299731182111,64,1,32,DLMT,1,True,True,True,128,64,True,22,1,30,2048,32,35,128,13,30,0.20441962857142856,1,False,0.0026853925287505715,True,0.20530928402464602
98,1,1,512,1,64,1,64,1,30,0.12213289596748762,16,128,512,DLMT,8,True,False,True,128,2048,False,30,1,7,2048,1,35,1,1,17,0.12217528571428571,8,False,0.0001279519042293562,True,0.1222176754610838
99,32,1,1024,1,256,32,256,1,1,0.13307332195836052,32,128,16,DLMT,1,True,False,True,1,512,False,23,1,8,256,1,35,2048,24,25,0.13309294285714285,1,False,5.922496715654776e-05,True,0.13311256375592517
100,32,1,128,1,32,512,32,1,27,0.09658892150576773,16,128,16,DLMT,32,True,True,True,1,2048,True,10,1,26,512,1,35,2048,22,1,0.09750335142857144,1,False,0.002760173361364042,True,0.09841778135137516
101,1,1,1024,1,256,16,64,2048,1,0.14022011102802068,256,256,16,DLMT,8,False,False,False,1,64,True,18,1,29,256,8,35,2048,28,27,0.14103308571428574,1,False,0.0024539344312049286,True,0.1418460604005508
102,32,1,1,1,512,128,1,1,1,0.1359539037714818,1,64,64,DLMT,8,False,False,False,1024,512,True,18,1,30,2048,1,35,1,5,6,0.13796517142857143,8,False,0.006070938047008241,True,0.13997643908566104
103,8,1,1,1,256,256,16,256,3,0.12435279240659303,128,512,256,DLMT,1,False,False,True,1,2048,True,20,1,18,1,8,35,1,1,23,0.1250769142857143,8,False,0.0021857354744071003,True,0.12580103616483557
104,1,1,256,1,256,16,64,128,1,0.10776943255558533,512,1,32,DLMT,1,False,False,True,2048,2048,True,21,1,29,512,1,35,64,22,1,0.1104509142857143,32,True,0.008093954775444374,True,0.11313239601584327
105,1,1,256,1,64,512,1,512,1,0.09624200364574,64,1,16,DLMT,32,False,False,True,256,2048,False,24,1,8,64,1,35,1024,2,4,0.09625464857142856,1,False,3.816824687338634e-05,True,0.09626729349711712
106,8,1,1024,1,32,128,1,2048,1,0.14423808704473212,256,1,256,DLMT,1,True,True,False,2048,2048,True,3,1,22,2048,1,35,512,12,28,0.14524637142857144,1,False,0.0030434696279618974,True,0.14625465581241076
107,32,1,128,1,64,1,32,64,27,0.10651301106364733,1,32,16,DLMT,1,False,True,False,1024,1024,False,21,1,12,64,32,35,64,23,1,0.10655311428571429,1,False,0.00012105011274640873,True,0.10659321750778125
