id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,False,True,4,32,8,16,7.790464362053771,False,DLMT,True,5,1,1,False,10,1,1,14,4,2,0.0005141021299315677,7.790783,True,256,1,8,7.7911016379462295,512
2,False,True,4,16,2,16,7.159731255572469,False,DLMT,False,22,1,1024,False,10,32,1,4,4,2,0.00014641038214563336,7.159822,True,1,8,8,7.1599127444275315,32
3,False,False,256,8,8,2,6.050011369281327,False,DLMT,True,20,1,1024,True,10,256,1,12,1,32,0.00022044500447955057,6.050148,True,512,512,2,6.050284630718673,2048
4,True,True,1,32,4,2,5.482714834589113,False,DLMT,False,1,4,256,False,10,2048,1,11,1,8,0.0001729045979725523,5.482821999999999,True,128,2,4,5.4829291654108845,64
5,True,True,1,16,2,8,5.548021559413248,False,DLMT,False,15,1,128,False,10,256,1,27,1,32,0.00023949947807885258,5.548170000000001,True,128,2,4,5.548318440586754,16
6,False,False,4,256,16,8,5.849259395930744,False,DLMT,True,1,2,2048,False,10,16,1,30,4,32,0.00016877203559821982,5.849364,True,256,4,2,5.849468604069255,64
7,False,False,1,1,32,1,6.202017753502085,False,DLMT,False,9,1,2048,True,10,1024,24,1,16,4,0.00024402663789021827,6.202169,True,512,1,32,6.202320246497914,16
8,False,False,4,512,4,8,6.04000734237549,False,DLMT,True,23,1,512,True,10,512,11,1,32,4,0.00047541140078883725,6.040302,True,8,16,1,6.040596657624509,1
9,True,False,1,2048,16,8,5.929997967061307,False,DLMT,False,1,30,8,False,10,128,1,26,1,2,0.0002097999046709441,5.930128,True,4,32,2048,5.930258032938693,32
10,True,False,1,4,2,1,4.54143127962687,False,DLMT,True,30,1,2048,True,10,1,1,17,32,1,0.00010442221985768715,4.541496,True,1024,1,1,4.5415607203731305,2
11,True,False,32,2048,4,16,6.416096054059821,False,DLMT,True,23,1,32,True,10,2048,1,24,16,2,0.01047918360369735,6.422591,True,4,16,1,6.429085945940178,128
12,True,True,64,256,2,8,6.666531715088655,False,DLMT,True,29,1,16,False,10,1,1,1,16,4,0.011563959918643651,6.673698999999999,True,16,8,1,6.680866284911343,512
13,True,False,8,512,1,1,6.603785314601578,False,DLMT,False,24,1,16,False,10,32,7,1,2,32,0.0012176370559408272,6.60454,True,1,1,16,6.605294685398422,1024
