id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
112,1,8,1,64,4,1,inf,False,DLMT,8,inf,False,8,1,True,inf,True,inf,True
113,1,1,1,8,4,32,inf,False,DLMT,2,inf,False,1,8,True,inf,False,inf,True
114,16,1,1,1024,8,2048,inf,False,DLMT,8,inf,False,1,19,False,inf,False,inf,True
115,16,1024,1,16,256,2048,inf,False,DLMT,4,inf,False,1,9,False,inf,True,inf,False
116,8,8,1,512,1,512,inf,False,DLMT,16,inf,False,30,1,True,inf,False,inf,True
117,2,64,1,64,8,1024,inf,False,DLMT,2,inf,False,1,27,False,inf,False,inf,False
118,1,1,10,32,1,256,2.31258,False,DLMT,1,0.0009639709539192185,True,30,1,False,2.311982535591475,True,2.313177464408525,False
119,1,2048,10,1024,1024,1,3.179888,False,DLMT,1,0.000178426455437556,True,1,12,False,3.179777412169288,False,3.179998587830712,False
120,2,256,1,2,256,2048,inf,False,DLMT,2,inf,False,30,1,True,inf,False,inf,True
121,1,256,1,1,64,16,inf,False,DLMT,8,inf,False,4,1,True,inf,False,inf,False
122,1,2048,1,64,2048,2048,inf,False,DLMT,16,inf,False,1,4,False,inf,False,inf,True
123,8,16,10,128,8,2048,6.979272,False,DLMT,1,0.013786216159628517,True,1,30,False,6.970727371709986,True,6.987816628290014,True
124,1,16,1,16,1,2048,inf,False,DLMT,16,inf,False,1,22,False,inf,False,inf,False
125,2,1,1,128,1,512,inf,False,DLMT,32,inf,False,20,1,True,inf,False,inf,False
126,32,32,10,1,1,512,1.467171,False,DLMT,1,0.06787419206885634,True,1,26,True,1.4251029129340371,True,1.5092390870659629,True
127,2,1024,1,256,4,1,inf,False,DLMT,32,inf,False,29,1,False,inf,True,inf,True
128,4,16,1,2048,16,1,inf,False,DLMT,8,inf,False,26,1,False,inf,True,inf,False
129,32,256,10,16,4,16,1.403781,False,DLMT,1,0.04515255240847412,True,1,17,True,1.3757956723213562,True,1.4317663276786436,False
130,4,2048,10,1,8,1,1.3537116,False,DLMT,1,0.22350501886767554,True,1,5,True,1.2151842996106774,False,1.4922389003893226,False
131,2,2048,10,16,64,16,2.246749,False,DLMT,1,0.00020810814496315214,True,1,24,False,2.24662001560557,True,2.24687798439443,True
132,32,2048,10,2048,16,2048,2.941011,False,DLMT,1,0.0007332455250460975,True,13,1,False,2.940556538066117,False,2.941465461933883,False
133,32,2048,1,8,256,8,inf,False,DLMT,4,inf,False,1,30,True,inf,False,inf,False
