id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,2,4,2,8,32,64,1.916016253159386,1,False,128,DLMT,64,True,False,True,True,1,8,1,True,32,14,512,2,10,27,8,1.9162359999999996,2,0.00035454759906108457,32,True,1,12,512,1.9164557468406132,19,1
2,4,2048,4,8,8,4,2.4155343741242303,8,False,1,DLMT,4,True,True,True,True,4,1,1,False,32,21,1,4,10,15,32,2.415629,4,0.0001526728528586459,4,True,1,19,8,2.4157236258757697,1,2
3,64,64,128,1,1,1024,3.2448704310504235,16,False,64,DLMT,256,False,True,True,True,1,16,30,False,4,6,32,2,10,1,16,3.245387,32,0.0008334512583228855,2,True,25,1,512,3.2459035689495765,26,1
4,1,16,1,64,4,512,inf,1,False,32,DLMT,1,False,False,False,False,2,128,1,True,1,15,8,4,1,16,4,inf,1,inf,8,False,1,11,2,inf,1,30
5,4,1024,1,128,4,4,3.1031662068662955,128,False,1024,DLMT,2048,False,True,True,True,32,4,1,True,1,7,64,2,10,24,16,3.1034429999999995,2,0.0004465881771833678,8,True,25,1,128,3.1037197931337035,5,1
6,4,16,1,1024,2,64,inf,1,False,128,DLMT,512,True,False,False,False,2,16,1,False,1,11,1024,16,1,26,2,inf,2,inf,1,False,1,25,1,inf,1,7
7,512,8,16,1024,2,2,3.0795792912763904,2,False,512,DLMT,256,True,False,True,True,32,2,26,True,2,29,32,2,10,1,2,3.079681,1,0.0001641005789142981,8,True,12,1,2,3.0797827087236094,1,23
8,2,8,4,8,2,1,2.3148643488901177,32,False,16,DLMT,64,False,True,True,False,2,4,1,True,1,25,1,4,10,7,8,2.315097,16,0.0003753678196116788,1,True,1,18,512,2.3153296511098826,28,1
9,2,2048,4,512,128,64,14.364340540676038,4,False,2048,DLMT,1,True,False,False,False,4,2,2,True,32,3,1024,2,10,1,1,14.36606,2,0.0027742386342924376,32,True,1,10,32,14.36777945932396,1,14
10,32,512,128,1024,64,1,3.040815758250992,32,False,1,DLMT,128,False,True,False,False,1,1024,10,True,8,14,1,2,10,1,2,3.0410880000000002,16,0.0004392448064576219,2,True,1,19,512,3.0413602417490084,17,1
11,8,1024,1,8,256,256,3.3529159351419633,4,False,2048,DLMT,8,True,False,True,True,2,128,15,True,32,1,256,4,10,1,32,3.3529899999999997,1,0.00011949895397028624,4,True,21,1,8,3.353064064858036,1,16
12,4,1,8,256,16,2048,3.077416187374633,1,False,64,DLMT,512,True,True,True,True,8,2048,14,False,8,25,16,32,10,1,1,3.077664,8,0.00039982996385960843,1,True,1,11,16,3.077911812625367,17,1
13,64,8,2048,2048,1,256,2.024834332317867,16,False,1,DLMT,1,True,True,False,False,1,1,14,True,2,22,2,8,10,1,4,2.0251840000000003,8,0.0005641666420482689,4,True,1,2,1,2.025533667682134,1,2
14,512,64,32,512,16,64,inf,32,False,128,DLMT,1024,False,False,False,False,2,64,1,False,1,29,1024,8,1,21,8,inf,1,inf,1,False,1,11,1,inf,1,16
15,1,16,16,16,2,1,inf,2,False,16,DLMT,512,True,True,False,False,16,4,1,False,1,3,2048,4,1,7,32,inf,4,inf,2,False,1,9,64,inf,2,1
16,1024,4,16,2048,4,64,3.7966653593942103,1,False,256,DLMT,1024,True,False,True,False,1,1,28,False,16,15,128,32,10,1,2,3.7967649999999997,8,0.0001607638018959236,2,True,1,20,1024,3.796864640605789,1,8
