id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
1,True,35,False,1,1,1,64,12,15,1,RS,1,1024,256,1,0.32385192000946306,0.3244621942762512,0.0009210453050081537,32,0.32415705714285714,1
2,True,35,False,8,128,16,16,12,8,1,RS,16,2048,64,512,0.1195930316135387,0.1196903398150327,0.00014686062808538049,8,0.1196416857142857,1
3,True,35,False,8,1,16,16,1,25,25,RS,6,512,2048,1024,0.1537416263132057,0.15395003082965136,0.0003145307148948193,1,0.15384582857142853,1
4,True,35,False,8,1,32,256,9,1,14,RS,16,512,256,64,0.12467845718021511,0.12470668567692772,4.2603343741532714e-05,8,0.12469257142857142,1
5,True,35,False,8,512,64,256,11,1,19,RS,10,2048,1,2048,0.12745556226600904,0.1274766091625624,3.176464470226648e-05,8,0.12746608571428572,1
6,True,35,False,1,32,64,32,7,1,17,RS,25,1024,64,64,0.13843347265058126,0.13847292734941868,5.9546284518850146e-05,8,0.13845319999999997,1
7,True,35,False,1,64,512,128,1,5,4,RS,29,512,1024,512,0.12436385372852965,0.12439803198575608,5.158291126617325e-05,8,0.12438094285714286,8
8,True,35,False,1,256,32,64,1,25,4,RS,22,128,1024,2048,0.13817707275319502,0.13828709867537636,0.00016605461604605993,1,0.1382320857142857,1
9,True,35,False,1,1,1,16,7,1,14,RS,14,512,512,1,0.27853386317171064,0.27885985111400363,0.0004919913554906751,32,0.27869685714285714,1
10,True,35,False,1,64,32,256,21,1,29,RS,23,1024,256,1,0.18961371107653832,0.19004137463774737,0.0006454434286533831,1,0.18982754285714284,32
11,True,35,False,1,16,128,16,20,3,1,RS,20,64,1,1,0.11306167683648118,0.11309489459209028,5.013329172092605e-05,8,0.11307828571428573,8
12,True,35,False,8,1,16,256,8,4,1,RS,4,1024,64,2048,0.11181875246418273,0.11188313325010298,9.716552676663186e-05,8,0.11185094285714285,1
13,True,35,False,1,64,64,64,29,1,12,RS,23,128,256,256,0.16070927270095045,0.16073484158476384,3.85893714879711e-05,1,0.16072205714285714,1
14,True,35,False,1,64,32,512,9,9,1,RS,5,1024,1,2048,0.11548119799100234,0.11550594486614052,3.734876988931328e-05,8,0.11549357142857143,8
15,True,35,False,1,512,64,256,1,9,2,RS,8,1024,1,2048,0.15259145697899432,0.1526088858781486,2.630424812435705e-05,1,0.15260017142857146,8
16,True,35,False,1,64,16,16,27,1,26,RS,19,128,256,512,0.22510763704996434,0.22530590580717852,0.00029923350516318346,1,0.22520677142857143,32
17,True,35,False,1,32,256,128,22,1,27,RS,17,128,1024,256,0.13462629256201158,0.13475370743798842,0.00019229857736640453,8,0.13469,1
18,True,35,False,1,128,256,16,14,18,1,RS,30,128,1,1024,0.2616538473158669,0.2617422669698473,0.00013344574988835385,1,0.2616980571428571,8
19,True,35,False,1,512,16,16,19,1,11,RS,21,128,128,512,0.1411129725267123,0.14118457033043058,0.0001080576792311232,1,0.14114877142857143,1
20,True,35,False,1,64,64,64,1,25,30,RS,8,256,256,1024,0.2595355067635002,0.2599883218079286,0.0006834028459085569,1,0.2597619142857144,1
21,True,35,False,32,64,128,64,6,12,1,RS,24,256,256,1,0.2159455001968727,0.21597729980312735,4.79929756765038e-05,1,0.21596140000000003,1
22,True,35,False,1,32,16,512,12,1,21,RS,29,1,256,2048,0.11837234148418785,0.11840577280152648,5.045560586560533e-05,8,0.11838905714285716,8
23,True,35,False,8,32,16,128,28,30,1,RS,25,1,2048,512,0.129452157376496,0.12947955690921825,4.1352244960402765e-05,8,0.12946585714285713,1
24,True,35,False,1,256,128,1,11,1,5,RS,3,2048,2048,1,0.13000103758754017,0.13003341955531694,4.887189418076872e-05,8,0.13001722857142856,1
25,True,35,False,1,128,128,16,1,1,12,RS,5,512,256,1,0.13612991955958484,0.13615208044041519,3.344590515188316e-05,8,0.136141,1
26,True,35,False,8,1,128,256,1,12,2,RS,12,256,256,128,0.1370902392100331,0.1372126750756812,0.0001847840968508347,1,0.13715145714285715,1
27,True,35,False,1,128,512,512,29,26,1,RS,2,512,512,2048,0.21763439088798797,0.2176614948262977,4.090612448531773e-05,1,0.21764794285714284,8
28,True,35,False,1,64,1,16,12,1,20,RS,13,128,2048,512,0.14307373522000366,0.14310517906571063,4.74560505593711e-05,8,0.14308945714285715,1
29,True,35,False,8,64,256,512,1,25,14,RS,6,2048,512,256,0.1266901074763292,0.1267253782379566,5.32317536047502e-05,1,0.1267077428571429,8
30,True,35,False,1,1,32,256,12,1,19,RS,1,512,256,1,0.26792630573454373,0.2681252942654562,0.00030031981048779993,32,0.2680258,1
31,True,35,False,8,128,256,16,10,1,28,RS,20,2048,2048,1024,0.20933624667450626,0.20963769618263658,0.00045495717134154504,1,0.20948697142857142,8
