id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
43,False,10,2048,64,0.04873843,5,7,DLMT,0.04258945527348968,0.00992098097922277,True,1,1,True,True,True,True,True,0.05488740472651032,False
44,True,10,16,8,0.07188908000000001,27,1,DLMT,0.06412554552329015,0.012525970800125633,True,1,16,True,True,True,True,True,0.07965261447670986,False
45,True,10,32,512,0.07271437,9,4,DLMT,0.06077948885792292,0.019256174251187592,True,1,2048,True,True,True,False,False,0.08464925114207708,False
46,False,10,2048,64,0.1194482,1,1,DLMT,0.11496575547877867,0.007232140123089427,True,1,2048,True,False,False,False,False,0.12393064452122134,False
47,False,10,256,256,0.09477902,1,30,DLMT,0.08308638075833939,0.018865332298944538,True,1,1024,True,False,False,False,True,0.10647165924166062,False
48,True,10,2,1024,0.06941507,1,1,DLMT,0.064373666900167,0.008133984361068072,True,1,256,True,True,False,True,True,0.07445647309983298,False
49,False,10,128,16,0.07982991999999998,30,1,DLMT,0.06803017465790122,0.019038141203268768,True,1,512,True,False,False,False,True,0.09162966534209875,False
50,True,10,2048,2,0.065209,18,2,DLMT,0.05907084024258758,0.009903531712071204,True,1,2048,True,True,False,True,True,0.07134715975741243,False
51,False,10,1,1024,0.0632659,1,21,DLMT,0.055533128918408045,0.012476336011986854,True,1,8,True,True,True,True,False,0.07099867108159195,False
52,False,10,64,2048,0.08999872,24,1,DLMT,0.08425204939792229,0.009271888773793613,True,1,2048,True,False,True,True,False,0.09574539060207772,False
53,True,10,4,64,0.06934476,2,20,DLMT,0.05646313550330498,0.02078368464619303,True,1,512,True,False,True,True,True,0.08222638449669503,False
54,False,10,2,32,0.08948024999999998,1,8,DLMT,0.0816145746394708,0.012690768642146934,True,1,2048,True,True,False,False,True,0.09734592536052916,False
55,False,10,4,2048,0.07240988000000001,3,13,DLMT,0.06279412528086885,0.015514410761533936,True,1,128,True,False,False,False,True,0.08202563471913117,False
