id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1,1,128,inf,32,False,512,16,DLMT,False,False,True,True,True,7,1,64,1,1,1,12,3,inf,False,inf,inf
2,2048,64,512,0.23924572445802536,1,False,32,32,DLMT,True,True,False,False,True,9,1,32,35,1,10,10,1,0.00021160670873975905,True,0.23931582857142858,0.2393859326848318
3,1,1,512,inf,1,False,1,1,DLMT,True,True,True,True,False,28,32,512,1,1,29,30,1,inf,False,inf,inf
4,1024,1,1024,0.11524791241224576,8,False,512,128,DLMT,True,True,False,False,False,1,1,64,35,8,13,1,7,0.00022294074622314112,True,0.11532177142857142,0.11539563044489708
5,512,1,2048,0.2050203916742536,32,False,32,128,DLMT,False,False,False,False,False,24,1,512,35,1,30,25,1,0.00021424979889495867,True,0.20509137142857142,0.20516235118288925
6,1024,512,2048,0.08858180825114344,1,False,64,512,DLMT,False,False,True,True,False,12,8,256,35,8,2,1,16,3.685209422786648e-05,True,0.08859401714285714,0.08860622603457084
7,128,512,1024,inf,32,False,1,32,DLMT,False,False,False,True,True,16,1,512,1,1,21,11,1,inf,False,inf,inf
8,512,2048,1,0.1389467545266597,1,False,64,128,DLMT,True,True,False,False,True,7,8,512,35,1,24,1,6,0.00013458824887297295,True,0.13899134285714282,0.13903593118762594
9,1,512,2048,0.22120069059450714,1,False,256,128,DLMT,False,True,True,True,True,23,1,512,35,1,30,6,1,6.828878654176315e-05,True,0.22122331428571432,0.2212459379769215
10,2048,256,1024,0.39638161078488265,8,False,256,256,DLMT,True,False,True,False,False,8,1,16,35,1,30,1,30,3.6792701139531656e-05,True,0.39639379999999996,0.39640598921511727
11,512,512,2048,0.09298318537240442,8,False,32,16,DLMT,True,False,True,False,False,28,1,64,35,8,25,16,1,0.0001239736407138096,True,0.09302425714285713,0.09306532891330983
12,1024,2048,1,0.1483110149411885,8,False,256,32,DLMT,False,True,False,True,True,10,8,128,35,1,1,20,4,0.00022478731171977586,True,0.14838548571428575,0.148459956487383
13,512,1024,1,inf,32,False,128,512,DLMT,True,True,False,False,True,30,1,512,1,1,1,3,30,inf,False,inf,inf
14,2048,128,256,0.17787487640414143,1,False,64,1,DLMT,False,False,False,False,True,1,32,1,35,1,1,13,18,0.00020925074500635483,True,0.1779442,0.17801352359585856
15,256,1,256,0.24470653565135334,8,False,64,32,DLMT,False,False,False,True,False,29,8,16,35,1,2,12,1,0.00017043557643369605,True,0.24476299999999998,0.24481946434864663
16,2048,2048,512,0.2053022869850611,1,False,512,16,DLMT,True,False,False,False,False,23,8,128,35,1,30,22,1,0.0005085641460152746,True,0.20547077142857142,0.20563925587208176
17,1,1024,512,0.2460365615463387,1,False,64,1,DLMT,True,False,False,False,True,1,1,256,35,32,9,1,6,0.00020813132824233502,True,0.24610551428571434,0.24617446702508997
