id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,32,256,2,2,1.3567647583430287,512,64,DLMT,128,True,512,2,1,1,2,True,False,10,0.01757716840108214,1.3676590000000002,True,False,1.3785532416569717
2,1,2048,8,8,2.713850825843277,4,16,DLMT,2048,False,256,1,1,19,30,True,False,10,2.6095976701400563e-05,2.713867,True,False,2.713883174156723
3,1,2048,1,4,0.7787509581178443,128,256,DLMT,16,True,2048,25,256,1,29,False,False,10,3.540183611057537e-05,0.7787729000000001,True,False,0.7787948418821559
4,2,2048,2,8,2.7315156034049712,2048,1,DLMT,8,False,1,10,512,1,6,True,False,10,0.0019593519336759653,2.73273,True,True,2.733944396595029
5,2,512,16,1,inf,64,1,DLMT,1,False,1024,1,64,29,19,False,False,1,inf,inf,False,True,inf
6,16,1,4,4,2.4530494776914176,16,32,DLMT,256,False,32,1,2048,26,23,False,False,10,0.003766603775286132,2.4553839999999996,True,True,2.4577185223085816
7,8,1,8,2,1.3849871430885812,2048,2048,DLMT,8,False,1,1,2048,7,30,False,False,10,3.687817782916026e-05,1.38501,True,False,1.385032856911419
8,4,1024,16,1,0.2601211908432912,8,256,DLMT,16,False,8,21,16,26,1,False,False,10,0.008416184197722868,0.2653375,True,True,0.2705538091567088
9,1,16,1,32,2.719546414396094,1,1,DLMT,128,True,1,1,512,26,1,True,False,10,0.0020387152817400284,2.72081,True,True,2.722073585603906
10,32,2048,1,1,0.7717864002383347,1,2048,DLMT,256,True,1,18,1,1,19,False,False,10,0.00041513685695200136,0.7720437,True,False,0.7723009997616653
11,1,8,1,16,3.3585554154152426,2,4,DLMT,2,True,2,30,128,1,9,False,False,10,2.675817632051536e-05,3.3585719999999997,True,False,3.3585885845847567
12,32,2048,2,2,1.3052196557422422,16,512,DLMT,2048,True,32,1,2048,15,20,True,False,10,2.9597297173900825e-05,1.3052380000000001,True,False,1.305256344257758
13,2,16,4,1,0.12087370541054723,1,16,DLMT,1,True,16,1,16,18,30,True,False,10,0.03186505789828257,0.14062351,True,True,0.16037331458945278
14,8,1,8,2,1.9455769329422563,256,256,DLMT,512,False,1,14,1,1,12,True,False,10,0.026363662511115542,1.9619169999999997,True,True,1.978257067057743
15,8,2048,1,1,2.9083917628898206,2,512,DLMT,8,False,4,11,2048,1,22,True,False,10,6.814690014960268e-05,2.908434,True,False,2.9084762371101798
16,2,1,2,32,1.0765513080431302,2,512,DLMT,2,True,256,28,2,1,21,True,False,10,2.5317977802332153e-05,1.076567,True,False,1.07658269195687
17,2,1024,1,8,2.720319098519078,16,1,DLMT,8,False,128,29,2048,2,1,True,False,10,0.0006903919176814523,2.7207470000000002,True,False,2.7211749014809223
18,8,1024,8,1,0.5780599399826576,256,8,DLMT,1,True,1024,23,256,1,21,False,False,10,0.0028460376824631173,0.5798238999999998,True,True,0.5815878600173421
19,4,2048,16,4,1.1698596207992347,2048,256,DLMT,256,True,2048,30,2048,7,1,True,False,10,1.513274595039157e-05,1.1698689999999998,True,False,1.169878379200765
20,4,1,1,4,1.9202168258432775,64,2048,DLMT,1,False,512,11,128,18,1,False,False,10,2.6095976701404815e-05,1.920233,True,False,1.9202491741567227
21,8,64,2,8,1.1134163576089167,256,1,DLMT,1,True,1,17,16,14,1,False,False,10,2.6851443164159318e-05,1.1134330000000001,True,False,1.1134496423910836
22,1,1,32,1,0.17627015250672282,512,2048,DLMT,2,False,1024,1,8,27,30,False,False,10,0.014151851880231077,0.1850414,True,True,0.19381264749327717
23,2,2048,32,1,1.7130450354875373,1024,64,DLMT,4,True,1024,1,512,21,10,False,False,10,0.0031574382020872543,1.7150019999999997,True,True,1.716958964512462
24,1,4,16,4,0.13396178545751117,8,2,DLMT,2,True,2048,13,1,15,1,True,False,10,0.01743578760595574,0.1447684,True,True,0.15557501454248882
25,2,2,2,8,1.0998095868605018,1,2,DLMT,4,True,512,14,256,30,1,True,False,10,0.006533471435615243,1.103859,True,True,1.107908413139498
26,2,8,2,2,3.0205008578660615,512,1,DLMT,64,False,2048,30,2048,14,1,False,False,10,0.0024833082772785014,3.0220399999999996,True,True,3.0235791421339377
27,1,128,4,8,0.09192080619761822,1,8,DLMT,2,False,8,29,1,8,1,True,False,10,0.026871308955890103,0.10857550999999999,True,True,0.12523021380238175
28,1,512,1,2,1.1310966921679235,8,16,DLMT,1024,True,64,1,2048,25,6,True,False,10,0.005515223023595674,1.134515,True,True,1.1379333078320764
29,32,1,1,1,1.2226978577538758,128,8,DLMT,16,True,1,11,128,19,1,True,False,10,0.181176254073209,1.33499,True,True,1.447282142246124
30,2,4,1,32,0.8518554190695157,64,4,DLMT,2048,True,2048,6,1,1,28,False,False,10,0.004215395081128214,0.8544681000000001,True,True,0.8570807809304845
31,2,1,1,16,1.8820663757255616,256,512,DLMT,2,False,2048,1,1024,19,20,True,False,10,9.297311439334478e-05,1.8821240000000004,True,False,1.8821816242744391
32,32,1024,1,2,1.5348381106587115,2048,4,DLMT,1,False,2048,12,1024,1,7,False,False,10,0.004728804182877533,1.537769,True,True,1.5406998893412884
33,1,1024,32,2,inf,1,16,DLMT,1,False,256,14,2,1,1,False,False,1,inf,inf,False,False,inf
34,1,128,8,8,1.905784691275783,256,4,DLMT,16,False,512,10,1024,1,20,False,False,10,0.012007693408810858,1.9132270000000002,True,True,1.9206693087242175
