id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
252,512,512,RS,1,8,True,1,32,False,32,1,8,False,0.07976784451782645,64,512,2048,256,True,True,True,1,True,16,False,2048,True,16,1,512,False,16,1,1,12,12,16,1,3.641490567201964e-05,35,0.07979197262503065,8,0.07977990857142855,16,8,8,True,64,1,12,1,True,1,1,8,4
253,256,256,RS,8,1,True,8,64,False,1,1,1,True,0.09622865833484552,32,256,2048,2048,True,False,True,128,True,128,True,1024,False,1,4,64,True,12,1,12,1,4,16,1,5.971023458575281e-05,35,0.09626822166515449,16,0.09624844,12,8,8,True,1024,256,4,128,True,1,1,8,1
254,64,1024,RS,8,1,False,1,64,True,1,128,1,False,0.13794962880394526,64,256,128,128,False,False,False,16,False,128,True,1,False,8,4,128,True,1,1,1,1,12,16,1,0.00026415797685228894,35,0.13812465691034045,1,0.13803714285714286,8,32,1,True,512,2048,16,1024,True,8,8,1,1
255,128,256,RS,1,1,True,32,128,False,1,1,8,True,0.1151318781922864,32,128,2048,1024,False,False,True,32,True,128,True,2048,False,16,4,1,False,1,4,16,1,16,1,16,2.5377798428177632e-05,35,0.11514869323628504,1,0.11514028571428572,4,1,1,True,128,128,4,64,False,1,1,8,4
256,1,1024,RS,8,1,True,32,32,True,512,128,1,True,0.1152619570581789,1,32,2048,2048,False,True,False,256,True,32,True,256,False,1,8,512,True,16,1,1,12,16,16,1,4.281931664040111e-05,35,0.11529032865610683,4,0.11527614285714287,12,1,1,True,1024,256,16,128,False,16,1,8,1
257,32,128,RS,1,8,True,8,64,False,64,1,8,False,0.12083254850166866,64,32,2048,256,True,True,False,16,False,64,True,1,False,1,1,256,False,4,1,1,12,8,8,1,2.896021197351639e-05,35,0.12085173721261705,12,0.12084214285714286,16,1,32,True,512,256,12,64,False,1,1,1,8
258,128,64,RS,8,8,False,1,1,True,64,32,8,False,0.09863871049531052,512,64,1024,256,False,False,False,32,False,64,False,64,True,4,4,1,False,16,1,12,1,1,1,12,3.2722961544531554e-05,35,0.09866039236183234,12,0.09864955142857143,1,1,1,True,64,64,4,512,True,4,8,1,1
259,256,2048,RS,32,32,False,1,32,False,128,64,1,False,0.1735970224972994,1,256,256,256,False,True,True,128,False,512,True,1,True,4,12,2048,True,1,1,1,4,16,1,1,9.10034491384912e-05,35,0.17365732035984344,1,0.17362717142857143,1,8,8,True,2048,512,8,1,False,1,8,8,16
260,1,128,RS,8,32,False,1,512,False,512,16,8,False,0.2432842274868135,1,128,1,512,False,False,False,16,True,256,True,1,True,16,4,64,True,12,1,1,8,4,1,8,0.00020241281317835594,35,0.243418343941758,4,0.24335128571428574,4,1,32,True,1,512,4,128,False,1,1,1,8
261,16,1024,RS,8,8,False,1,1,False,256,64,8,False,0.07556622846258336,128,1,256,2048,True,True,False,128,True,512,False,2048,True,1,1,1,False,1,12,16,1,16,16,1,4.910641788555652e-05,35,0.07559876582313092,16,0.07558249714285714,16,8,8,True,1024,1024,8,1,True,1,8,8,12
262,16,1024,RS,8,8,False,8,128,False,64,1,1,True,0.09376608156178481,256,256,128,1024,False,True,False,64,True,16,True,2048,False,1,12,1024,True,1,4,1,4,8,16,1,2.8843172856121762e-05,35,0.09378519272392949,16,0.09377563714285715,16,1,32,True,1024,256,12,2048,True,1,1,32,16
263,512,512,RS,1,1,False,8,1,True,256,256,1,False,0.11366229623212863,128,64,1024,256,True,True,True,128,False,256,False,1024,False,12,1,1024,False,1,8,1,4,12,1,4,2.6444489414776656e-05,35,0.11367981805358567,12,0.11367105714285715,1,1,32,True,128,1024,1,2048,True,12,1,8,1
264,64,1,RS,1,32,False,1,1,True,128,32,8,True,0.24187764302075687,64,64,1024,2048,False,True,True,64,False,32,False,64,True,8,1,256,True,1,4,16,1,4,1,8,0.00016942155128795455,35,0.24198989983638597,1,0.24193377142857142,4,1,1,True,1,64,4,2048,False,1,8,1,12
265,64,512,RS,1,1,False,8,256,False,128,16,8,True,0.10557851692005304,32,64,1024,2048,True,True,False,64,True,1,False,1,True,12,8,2048,True,1,8,4,1,4,8,1,2.6123318225334237e-05,35,0.10559582593708983,1,0.10558717142857144,4,8,8,True,1,512,12,64,False,16,1,1,1
266,16,256,RS,1,8,False,8,128,False,512,64,32,False,0.16496812814527087,128,32,256,512,True,True,False,32,False,32,False,64,True,1,4,512,True,1,4,8,1,8,16,1,4.609753634569812e-05,35,0.1649986718547292,16,0.16498340000000003,4,1,32,True,256,128,8,1,False,1,1,8,1
267,256,1,RS,8,8,False,1,32,True,1,32,1,True,0.11997526004585757,64,512,2048,256,True,False,False,32,True,1,True,1024,True,8,12,1,True,1,12,1,16,12,1,4,0.0001701463379756687,35,0.12008799709699955,16,0.12003162857142856,16,32,1,True,1,1024,12,1024,True,12,1,1,1
268,128,64,RS,1,1,False,32,32,False,128,512,1,False,0.176718334798261,128,16,2048,1024,False,True,True,16,False,1,True,2048,False,12,4,128,True,1,12,16,1,4,16,1,0.00020881575904248644,35,0.1768566937731676,1,0.1767875142857143,8,1,8,True,256,1,16,512,False,1,1,32,8
