id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,1,1,4,32,2,inf,1,24,DLMT,inf,False,True,True,inf,False,inf,False
2,2048,10,256,16,1,0.9871761000000001,1,18,DLMT,0.9871190812486786,True,False,True,9.199614122342441e-05,False,0.9872331187513216,False
3,64,10,64,2,32,0.7715607,23,1,DLMT,0.7714487985686861,True,False,True,0.00018054586674858428,False,0.7716726014313139,False
4,1024,10,2048,1,32,0.9772516999999998,30,1,DLMT,0.9772266353632182,True,False,False,4.0440202769028286e-05,True,0.9772767646367815,False
5,1024,1,1,2,1,inf,1,1,DLMT,inf,False,True,True,inf,False,inf,False
6,4,10,2048,32,16,0.7838176,2,1,DLMT,0.7837848877372393,True,False,True,5.2779162554920205e-05,False,0.7838503122627607,False
7,8,1,8,1,4,inf,8,1,DLMT,inf,False,True,True,inf,True,inf,False
8,512,10,8,16,2,0.19933099999999998,1,5,DLMT,0.19890751840518875,True,False,True,0.0006832607115881938,False,0.1997544815948112,False
9,16,1,8,16,1,inf,19,1,DLMT,inf,False,True,False,inf,True,inf,False
10,512,10,1,32,16,1.067443,1,18,DLMT,1.0668496385856998,True,False,True,0.0009573510327983523,True,1.0680363614143,False
11,1,1,2048,8,32,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
12,16,1,2048,8,16,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
13,1024,1,256,1,16,inf,8,1,DLMT,inf,False,True,False,inf,False,inf,False
14,16,1,2048,4,4,inf,1,22,DLMT,inf,False,True,False,inf,False,inf,False
15,2048,1,8,32,32,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
16,512,10,2048,4,1,0.25766340000000004,13,1,DLMT,0.2576307100568894,True,False,False,5.274315121415835e-05,False,0.25769608994311066,False
17,8,1,1,1,32,inf,1,10,DLMT,inf,False,True,False,inf,False,inf,False
