id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
1,1,64,8,1024,7.011500409262241,32,False,64,DLMT,1024,True,False,0.002868029985896328,22,False,8,10,1,1,False,7.013278,32,True,32,True,1,7.0150555907377585,7,1
2,16,1024,1024,128,7.126205178665658,16,False,1,DLMT,1024,False,True,0.008255666902195143,6,True,8,10,1,1,False,7.131322,32,True,1,True,2048,7.136438821334342,5,1
3,4,2,4,16,7.129500061134523,4,False,8,DLMT,1,False,False,0.0011841638400153557,29,True,8,10,1,1,False,7.130234,8,False,1,True,256,7.130967938865476,25,1
4,4,32,1,2,6.975987246780989,512,False,1,DLMT,1024,False,True,0.006329113682025492,15,True,1,10,1,1,False,6.979909999999999,32,True,32,True,1,6.983832753219009,1,12
5,128,1,256,8,7.08485104762323,512,False,2048,DLMT,1024,False,True,0.0012019334424168816,1,False,32,10,29,1,False,7.085596000000001,32,False,32,True,8,7.086340952376771,1,15
6,512,2048,2,1,6.956133215038462,2048,False,2048,DLMT,128,True,False,0.013239513926122768,1,True,32,10,2,1,False,6.964339,8,True,32,True,1024,6.972544784961538,3,1
7,1024,1,2,128,7.001734275542388,1024,False,128,DLMT,1,False,True,0.004029920098463493,1,False,32,10,10,1,False,7.004232,8,True,1,True,128,7.006729724457612,19,1
8,2,2048,1,64,6.9657061320159075,1,False,2048,DLMT,2048,False,True,0.0009855967735336274,22,True,1,10,1,32,False,6.966316999999999,8,False,1,True,1,6.966927867984091,26,1
9,4,256,8,32,6.954487104983769,2048,False,512,DLMT,16,False,False,0.0046981580433186395,13,True,1,10,1,32,False,6.957399,8,True,32,True,64,6.960310895016231,1,14
10,16,64,8,1,6.959184709982666,512,False,512,DLMT,512,False,False,0.009653659202602975,1,False,32,10,25,32,False,6.965168,1,True,1,True,4,6.9711512900173345,1,27
11,1024,512,1,2,7.015236964324436,2048,False,512,DLMT,16,True,False,0.0011649587975546413,30,True,8,10,1,32,False,7.015959,1,False,32,True,32,7.016681035675563,1,29
12,1,32,4,16,7.020215904293693,1,False,32,DLMT,2048,False,False,0.01262368250551331,27,False,32,10,1,1,False,7.02804,1,True,8,True,2048,7.035864095706307,21,1
13,256,8,256,2048,7.004446241884392,512,False,32,DLMT,1024,False,False,0.0008240758460239207,12,True,1,10,1,8,False,7.004957,32,False,1,True,2048,7.005467758115608,12,1
14,4,1,64,2048,7.016599391478553,64,False,256,DLMT,1,False,False,0.008749035146803405,21,True,32,10,1,32,False,7.022022,1,True,8,True,2048,7.027444608521447,24,1
15,1,64,8,32,6.967527294487324,256,False,256,DLMT,128,True,False,0.0025116456756478457,1,False,32,10,8,32,False,6.969084,32,True,32,True,256,6.970640705512675,28,1
16,8,2,1,2048,7.003418983020322,8,False,2,DLMT,4,False,True,0.0013198185481346164,1,False,1,10,5,1,False,7.004236999999999,8,False,1,True,2048,7.005055016979676,1,8
17,1,128,32,32,6.954135286263733,2,False,2048,DLMT,64,True,True,0.005673994712722389,10,False,32,10,1,8,False,6.957652,1,True,32,True,128,6.961168713736268,1,21
18,2,1,2048,1,6.9710335179789995,512,False,512,DLMT,1,False,True,0.0033777005491902544,1,True,32,10,13,1,False,6.973127,8,True,32,True,4,6.975220482021,2,1
19,4,512,128,8,6.986478967056419,64,False,512,DLMT,512,True,False,0.005724526268609457,1,True,32,10,9,8,False,6.990027,32,True,32,True,32,6.993575032943582,1,2
20,32,1,2,2,6.991771799855592,256,False,1024,DLMT,64,True,False,0.006904218203388495,18,False,8,10,1,8,False,6.996051,8,True,1,True,256,7.000330200144407,1,26
21,4,16,256,16,6.9951075672118455,1024,False,2048,DLMT,1024,True,True,0.004340842775314452,1,False,32,10,2,1,False,6.997798,1,True,32,True,2048,7.000488432788155,30,1
