id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,1,DLMT,1,1,False,32,1,False,1,256,32,False,0.18498068682677785,128,256,1024,128,False,False,True,512,True,1,True,256,False,1,4,2048,False,1,8,16,1,1,12,1,6.467800307393948e-05,35,0.18502354174465066,4,0.18500211428571425,1,1,1,True,1024,512,8,512,True,1,32,1,1
2,16,256,DLMT,1,1,True,1,1,True,16,16,1,False,0.08634029902250019,512,128,1,256,False,False,True,16,False,128,True,1,True,16,16,2048,True,16,1,1,12,4,16,1,2.6392945872651925e-05,35,0.08635778669178555,12,0.08634904285714287,8,8,1,True,1,256,4,1024,True,16,1,8,1
3,512,1,DLMT,1,1,True,32,32,False,128,1,8,True,0.13022717681789805,1,256,1,256,True,True,False,64,False,512,False,1024,True,1,8,1,True,1,12,12,1,1,1,16,6.302649912407152e-05,35,0.13026893746781618,8,0.13024805714285712,4,8,8,True,2048,1024,1,256,True,12,32,1,1
4,1,512,DLMT,8,1,False,32,16,False,256,64,8,False,0.12240946871372697,1,512,128,1024,False,False,False,64,False,512,True,1,True,1,8,1024,False,1,1,16,1,8,1,1,0.0001467486425205779,35,0.12250670271484444,1,0.12245808571428571,12,8,8,True,64,1,1,1024,False,8,1,1,1
5,64,1024,DLMT,1,32,False,1,64,False,1,512,1,True,0.14895817096863642,1,512,1024,128,True,False,True,64,True,256,False,1024,False,16,4,256,True,8,1,4,1,1,1,1,7.598042712516555e-05,35,0.14900851474564927,4,0.14898334285714285,12,32,1,True,128,512,16,2048,True,1,1,1,4
6,256,1,DLMT,1,1,False,8,16,False,128,512,8,True,0.1081992550447944,256,256,1024,256,False,False,False,512,True,32,False,64,True,1,8,1,False,1,16,1,1,4,12,1,4.761181468878379e-05,35,0.10823080209806275,4,0.10821502857142858,12,1,32,True,1,2048,12,1,True,12,8,1,1
7,1,512,DLMT,1,8,False,8,256,True,64,1,32,False,0.14642776131586643,512,16,1024,64,True,True,True,128,False,1,True,512,True,12,4,1,False,12,1,4,1,12,8,1,0.00011240360949974721,35,0.14650223868413353,4,0.14646499999999998,1,32,1,True,128,1,12,1024,True,8,8,8,1
8,128,1,DLMT,1,1,True,1,512,True,32,32,32,True,0.1159686698835109,128,64,1024,256,True,False,True,16,True,64,False,64,True,16,1,256,True,1,4,8,1,12,4,1,6.524659659589188e-05,35,0.11601190154506053,16,0.11599028571428571,4,8,1,True,64,2048,12,2048,True,8,1,1,1
9,1,1024,DLMT,1,8,False,1,16,False,32,32,1,True,0.09347428591484945,64,512,64,1,True,False,False,1,False,64,False,128,True,1,12,2048,False,4,1,1,8,12,1,16,1.6894166122647367e-05,35,0.09348547979943626,1,0.09347988285714286,1,8,1,True,128,1,4,1024,True,1,1,1,1
10,16,1024,DLMT,1,8,True,8,16,False,128,1,1,True,0.10604960408164078,256,128,512,2048,True,False,False,64,False,256,True,1024,False,8,8,1,False,4,1,1,1,16,1,12,0.00019998244820942934,35,0.10618211020407352,16,0.10611585714285715,16,1,8,True,2048,2048,16,256,True,1,1,32,8
