id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,8,32,1,256,8,2048,inf,False,DLMT,16,inf,False,1,6,True,inf,True,inf,False
2,32,1,10,4,2,32,2.8770229999999994,False,DLMT,1,0.0013481249942049482,True,1,7,False,2.8761874388256654,True,2.8778585611743335,True
3,16,256,1,4,64,2048,inf,False,DLMT,2,inf,False,1,10,True,inf,True,inf,True
4,4,64,1,32,16,32,inf,False,DLMT,8,inf,False,26,1,True,inf,False,inf,True
5,8,4,1,64,1,1,inf,False,DLMT,2,inf,False,1,1,True,inf,True,inf,True
6,16,1,1,1,16,4,inf,False,DLMT,2,inf,False,14,1,False,inf,False,inf,True
7,1,128,1,1,1,128,inf,False,DLMT,2,inf,False,1,10,True,inf,True,inf,False
8,8,2048,1,1,128,256,inf,False,DLMT,8,inf,False,1,5,False,inf,False,inf,False
9,4,1,1,2048,32,2048,inf,False,DLMT,4,inf,False,1,22,False,inf,True,inf,True
10,8,512,1,1,1,1,inf,False,DLMT,16,inf,False,1,19,False,inf,True,inf,False
11,2,1,1,1,16,512,inf,False,DLMT,8,inf,False,9,1,True,inf,True,inf,True
12,1,8,1,128,1,512,inf,False,DLMT,8,inf,False,1,20,False,inf,False,inf,True
13,16,2048,10,4,16,1,1.377251,False,DLMT,1,0.038928705205798934,True,1,21,True,1.3531231818993972,False,1.4013788181006028,False
14,16,16,10,2048,8,1,3.5252250000000003,False,DLMT,1,0.00020996428267681328,True,9,1,False,3.5250948651806358,True,3.525355134819365,True
15,32,1,1,8,1,1024,inf,False,DLMT,4,inf,False,2,1,True,inf,False,inf,False
16,8,2048,1,16,2048,256,inf,False,DLMT,4,inf,False,23,1,False,inf,True,inf,False
17,16,2048,10,256,8,256,1.3345069999999999,False,DLMT,1,0.06122216952215922,True,13,1,True,1.2965618034632578,True,1.372452196536742,False
18,2,4,1,1024,4,1,inf,False,DLMT,32,inf,False,23,1,True,inf,False,inf,True
19,8,16,1,8,1,32,inf,False,DLMT,2,inf,False,10,1,True,inf,False,inf,False
20,1,1,1,32,8,1,inf,False,DLMT,8,inf,False,1,1,False,inf,False,inf,False
21,32,16,10,1,8,2048,3.713254,False,DLMT,1,0.00016249307677547524,True,28,1,False,3.7131532875982307,True,3.7133547124017694,True
22,32,2048,1,1,128,4,inf,False,DLMT,4,inf,False,9,1,False,inf,True,inf,False
23,1,1024,10,4,128,128,1.2754314,False,DLMT,16,0.23838495653383834,True,1,28,True,1.1276815881641882,True,1.4231812118358118,True
