id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,32,2048,8,1,1.5038336620513084,False,DLMT,30,1,128,35,2048,1,20,8,8,9.243640947114867e-05,1.5038642857142857,True,16,1,1,1.503894909377263,1
2,256,256,8,8,1.4779516574029343,False,DLMT,30,1,1,35,256,29,1,8,8,4.846711487688147e-05,1.4779677142857142,True,1,128,256,1.477983771168494,128
3,1,2048,1,8,1.4956819160235397,False,DLMT,30,1,64,35,64,28,1,1,32,0.00024345539758288098,1.4957625714285712,True,32,16,256,1.4958432268336026,512
4,512,128,1,1,1.508096839414332,False,DLMT,1,15,64,35,1024,1,7,32,1,7.335905547652698e-05,1.5081211428571428,True,16,1,1,1.5081454462999537,128
5,512,2048,8,1,1.6808391623589987,False,DLMT,14,1,2048,35,2048,30,1,32,1,5.6860732119307095e-05,1.6808579999999997,True,32,512,16,1.6808768376410008,1
6,1,256,8,8,1.4781861095412572,False,DLMT,4,1,128,35,2048,16,1,1,32,0.0006507950553604869,1.4784017142857144,True,1,1,64,1.4786173190301717,2048
7,64,1024,1,8,1.5223544472367174,False,DLMT,1,28,128,35,256,1,24,32,1,0.00012801275446656512,1.5223968571428572,True,64,16,1,1.522439267048997,2048
8,512,1024,32,1,1.5393543800648546,False,DLMT,11,1,256,35,1024,1,15,1,32,0.0003205347572608095,1.5394605714285714,True,16,64,512,1.5395667627922882,2048
9,256,1024,1,32,1.6457117047264394,False,DLMT,1,19,256,35,512,1,30,8,8,0.00017509973834174688,1.6457697142857142,True,128,256,16,1.645827723844989,1024
10,128,1,8,1,1.5119314891432745,False,DLMT,1,14,512,35,256,30,1,8,8,4.4662909782106456e-05,1.5119462857142856,True,512,32,32,1.5119610822852967,128
11,1,128,1,8,1.481562296580353,False,DLMT,17,1,2048,35,1024,1,3,1,8,6.03364715235841e-05,1.4815822857142855,True,32,128,64,1.481602274848218,1
12,128,2048,1,8,1.4998087023094375,False,DLMT,1,30,1024,35,1,4,1,8,8,5.911179308421606e-05,1.4998282857142857,True,128,1,512,1.499847869119134,1024
13,64,2048,32,1,1.5122703981093042,False,DLMT,24,1,1,35,1024,1,10,1,32,0.00011781202599645347,1.5123094285714285,True,1,512,16,1.5123484590335527,1
14,64,512,1,32,1.7159255232444954,False,DLMT,1,1,64,35,128,1,2,1,1,0.00026792627679255137,1.716014285714286,True,1,32,512,1.7161030481840764,1
15,16,1,1,1,1.2670513307812574,False,DLMT,1,30,2048,35,2048,18,1,1,1,5.290268308460687e-05,1.2670688571428572,True,16,128,512,1.267086383504457,128
16,512,1,1,8,1.4807701265442894,False,DLMT,30,1,1,35,1024,8,1,1,8,4.618861066432892e-05,1.4807854285714286,True,512,32,16,1.4808007305985678,2048
17,1,256,8,1,1.4795128765481547,False,DLMT,1,29,1,35,256,1,16,1,8,0.00011981754837234674,1.4795525714285713,True,512,128,256,1.479592266308988,256
18,256,1024,1,32,1.585728955820534,False,DLMT,22,1,1,35,1,1,13,8,1,7.300768760190097e-05,1.5857531428571428,True,512,256,256,1.5857773298937514,256
19,1,64,32,1,1.4923612109326763,False,DLMT,1,27,2048,35,2048,1,30,8,1,0.000411167973024191,1.4924974285714285,True,1,64,64,1.4926336462101808,1024
20,16,1,1,32,1.5617959936143166,False,DLMT,17,1,512,35,2048,1,1,1,32,0.00023545942932306864,1.561874,True,32,256,1,1.5619520063856833,512
21,512,2048,8,8,1.4812032638178065,False,DLMT,13,1,1,35,2048,2,1,1,1,4.9655137227298174e-05,1.4812197142857144,True,1,512,16,1.4812361647536223,1
22,128,1,8,1,1.5054772786842794,False,DLMT,12,1,2048,35,1,1,29,1,32,0.000357493542113793,1.5055957142857144,True,1,1,1,1.5057141498871494,512
23,1,64,32,1,1.2025532988176364,False,DLMT,4,1,1,35,128,12,1,8,8,0.0001685631959248666,1.202609142857143,True,32,1,1,1.2026649868966497,512
24,64,1024,1,8,1.4934991961207462,False,DLMT,15,1,256,35,2048,12,1,8,8,0.00014041338386116455,1.4935457142857145,True,1,32,512,1.4935922324506827,2048
25,1,256,1,8,1.491567204014495,False,DLMT,10,1,2048,35,256,1,21,32,1,0.0004672460349140104,1.4917219999999998,True,512,1,64,1.4918767959855046,64
26,32,1,1,1,1.5204133865391103,False,DLMT,19,1,1,35,64,29,1,32,1,0.00023729186368571218,1.520492,True,64,128,64,1.5205706134608896,1024
27,32,128,32,1,1.485190911596368,False,DLMT,4,1,2048,35,2048,1,1,32,1,5.848006812023908e-05,1.4852102857142857,True,512,128,128,1.4852296598322035,1024
28,64,512,1,1,1.4901011285224717,False,DLMT,1,13,1,35,512,28,1,1,1,0.00010698311901931464,1.4901365714285715,True,512,1,512,1.4901720143346713,2048
29,256,1,1,8,1.4972011891014436,False,DLMT,1,2,1,35,2048,1,29,32,1,6.109210176412647e-05,1.4972214285714285,True,256,128,512,1.4972416680414133,128
30,16,2048,8,8,1.4583255787568534,False,DLMT,1,19,2048,35,128,1,13,1,8,7.198979519518898e-05,1.4583494285714282,True,1,128,512,1.458373278386003,1024
31,32,1,1,32,1.5520406268683713,False,DLMT,1,16,2048,35,256,11,1,1,32,9.556107140120486e-05,1.5520722857142857,True,64,32,256,1.5521039445602,1
32,64,128,1,8,1.5076465820010618,False,DLMT,3,1,512,35,2048,1,18,8,1,0.00018193831652627197,1.5077068571428573,True,64,512,1,1.5077671322846529,2048
33,512,64,1,8,1.4902702399285495,False,DLMT,1,14,256,35,1,1,13,1,1,0.0001665849051151989,1.4903254285714285,True,128,64,16,1.4903806172143075,1
