id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
203,2048,2048,2048,4.2625217999873115,1,False,128,4,DLMT,True,True,True,False,False,28,64,2,10,4.26328620001269,0.0006166554953943719,4.262904000000001,26,30,True,1,1
204,512,2048,1,2.3934366450132614,4,False,128,512,DLMT,True,True,False,True,True,24,1,2048,10,2.393807354986738,0.0002990585227008709,2.3936219999999997,2,1,True,19,2
205,32,1,512,4.9696736717849515,2,False,2048,4,DLMT,True,False,True,False,True,2,1,2,10,4.969990328215047,0.00025545253962319187,4.969831999999999,3,20,True,1,4
206,1,2048,1,2.845863486883972,1,False,1024,1,DLMT,False,False,False,True,True,29,2,512,10,2.8459905131160284,0.00010247438704381503,2.845927,11,24,True,1,2
207,1024,2048,16,2.804111933328299,4,False,2048,8,DLMT,False,False,True,False,True,9,1,1,10,2.8042420666717014,0.00010498095065300593,2.804177,22,1,True,25,2
208,2048,32,2048,2.1144297913496715,8,False,32,256,DLMT,True,False,True,True,False,1,8,2048,10,2.1173822086503282,0.0023817690904031743,2.115906,28,23,True,1,1
209,1,512,16,2.975227210328021,4,False,4,1024,DLMT,True,True,True,True,True,30,1,16,10,2.9762127896719788,0.0007950849011268713,2.97572,30,1,True,18,2
210,32,1,2048,2.7973707421837197,16,False,32,16,DLMT,True,False,False,True,True,16,4,1,10,2.80135925781628,0.00321760858402631,2.799365,27,1,True,23,4
211,1,1,4,5.5538403190200825,2,False,2048,2,DLMT,True,True,False,True,False,30,2,4,10,5.554629680979918,0.0006367927449335727,5.554235,4,9,True,1,8
212,2048,256,1,1.680443158930458,1,False,4,16,DLMT,True,True,False,False,True,1,1,2048,10,1.6808108410695421,0.00029661591326156925,1.680627,1,2,True,29,8
213,1,32,2048,2.0387820968749546,4,False,4,2048,DLMT,False,True,False,False,False,21,1,64,10,2.038895903125046,9.180958555613751e-05,2.0388390000000003,5,1,True,2,4
214,16,1,64,2.6403853849671064,1,False,64,2,DLMT,True,False,True,False,True,14,4,64,10,2.6425426150328937,0.0017402769894473988,2.641464,1,2,True,1,2
215,256,1024,1,5.803923653460977,1,False,128,1,DLMT,True,True,False,False,False,4,1,1024,10,5.804832346539024,0.0007330593427548175,5.804378000000001,1,12,True,10,64
216,2,8,1,inf,16,False,4,1,DLMT,False,False,False,False,True,8,1,4,1,inf,inf,inf,19,8,False,1,1
217,64,32,32,inf,64,False,2,16,DLMT,False,True,False,False,True,13,1,8,1,inf,inf,inf,19,1,False,13,1
218,2048,8,1,inf,1,False,2,2048,DLMT,True,True,False,True,False,12,64,256,1,inf,inf,inf,4,1,False,18,1
219,512,32,1,1.8254114655181863,16,False,1,512,DLMT,False,True,True,False,False,23,4,4,10,1.8292005344818139,0.00305671130465407,1.827306,1,15,True,20,2
220,256,4,1,2.09501089442232,4,False,1,256,DLMT,True,True,False,False,True,20,1,2048,10,2.09512710557768,9.374966666609376e-05,2.095069,30,8,True,1,4
