id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,4,8,2,64,8,32,3.3457602043622217,4,False,2048,RS,2048,True,True,True,False,4,2,1,True,4,27,32,1,10,11,1,3.3458820000000005,32,0.00019650954175305579,2,True,10,1,32,3.3460037956377793,1,14
2,32,256,2048,128,32,64,2.359901755701417,2,False,256,RS,1,True,False,False,False,4,2,28,False,1,4,1024,2,10,1,4,2.3600640000000004,4,0.00026177089219397374,2,True,8,1,2048,2.360226244298584,30,1
3,16,256,2,256,64,64,4.41772613526284,1,False,256,RS,64,True,False,False,False,16,2,15,False,4,21,256,4,10,1,1,4.418659999999999,16,0.0015067315620242905,4,True,1,16,32,4.419593864737158,1,2
4,1024,4,1,1024,1,1024,3.0255468222520747,1,False,2048,RS,2048,True,True,True,False,4,2,1,True,1,11,8,8,10,14,1,3.0257899999999998,2,0.0003923518828807289,32,True,14,1,16,3.026033177747925,1,7
5,4,32,8,64,8,1,5.3942712837489735,4,False,1,RS,2048,False,False,True,True,4,32,1,True,4,20,32,8,10,7,4,5.394446,1,0.0002818935969474961,4,True,11,1,2048,5.394620716251027,18,1
6,32,512,16,128,2,256,10.084097579363458,4,False,512,RS,512,False,True,True,False,4,4,1,True,2,12,512,32,10,21,1,10.084209999999999,2,0.0001813835714724921,4,True,22,1,32,10.08432242063654,1,13
7,4,32,16,4,4,2048,6.0915586451160015,4,False,2048,RS,16,True,False,False,False,2,4,28,True,8,15,128,4,10,1,8,6.091705999999999,4,0.00023774776549936543,2,True,1,23,4,6.091853354883997,1,26
8,16,4,1,2048,8,32,inf,1,False,64,RS,32,False,False,True,True,32,16,1,True,1,16,2048,2,1,20,1,inf,16,inf,2,False,1,11,256,inf,26,1
9,2,128,1,512,2,1024,2.799836183837673,1,False,1,RS,16,True,False,False,False,1,32,1,False,8,17,2,1,10,21,1,2.80045,4,0.0009903534722512102,16,True,1,24,16,2.801063816162327,11,1
10,64,8,128,256,16,128,3.1905714750227103,256,False,32,RS,2048,True,False,True,True,4,2,18,False,2,30,256,16,10,1,4,3.1906570000000003,2,0.00013798913000670124,32,True,1,14,512,3.1907425249772903,1,22
11,8,16,256,32,64,32,3.880612200449971,8,False,1024,RS,512,True,True,False,False,8,32,1,False,16,28,512,8,10,29,4,3.8810340000000005,4,0.0006805468389464185,16,True,6,1,64,3.88145579955003,25,1
12,32,1,1,64,512,4,5.328385176515897,32,False,64,RS,64,True,True,True,True,8,2,1,True,8,3,1024,2,10,11,8,5.328775,1,0.0006289554833214947,32,True,1,28,32,5.329164823484104,1,7
13,16,2,8,2048,16,2048,1.898305938360648,2,False,2,RS,1,True,True,True,False,8,128,26,True,4,2,1024,16,10,1,2,1.8983560000000002,1,8.07712820252525e-05,32,True,1,30,1,1.8984060616393523,27,1
14,4,2048,64,2048,2048,2,7.385418732939246,4,False,2048,RS,1,False,True,True,True,4,1,1,False,4,23,1,8,10,18,2,7.386579,16,0.0018720173610305775,1,True,18,1,64,7.387739267060755,1,19
15,1,1,16,1024,1,64,2.1480183264191597,2048,False,4,RS,32,True,False,True,True,16,8,20,True,2,18,256,4,10,1,4,2.148177,4,0.0002560097654387567,16,True,29,1,1,2.1483356735808403,1,10
16,64,256,2,64,1024,4,4.144140444297387,1,False,256,RS,4,True,True,True,False,4,1,12,False,8,13,2048,16,10,1,4,4.144289,32,0.00023968521022363798,2,True,1,24,128,4.144437555702613,1,28
17,128,256,128,1024,2,2048,2.5980988600301425,2,False,1024,RS,512,False,False,False,False,8,16,24,True,8,21,2,2,10,1,16,2.5984019999999997,8,0.0004890971273683933,16,True,1,23,64,2.598705139969857,1,6
18,1024,128,1,1,32,1,3.397242602899324,32,False,256,RS,1024,False,True,False,False,1,16,15,False,16,5,2048,4,10,1,1,3.397545,4,0.0004878985550295987,4,True,1,29,512,3.397847397100676,18,1
19,4,1,8,256,2,64,3.3419574073572935,1,False,1024,RS,2048,False,False,False,False,4,16,7,True,32,5,128,2,10,1,8,3.342024,1,0.00010744300814849682,16,True,16,1,512,3.3420905926427062,16,1
20,8,16,64,8,8,1,1.9001277830456031,1,False,1,RS,128,False,False,False,True,4,8,1,True,4,22,32,1,10,27,8,1.900377,1,0.0004020957597389179,8,True,1,19,256,1.9006262169543968,12,1
21,2,256,128,1,1,32,2.158786533849423,8,False,2048,RS,2048,False,False,True,True,2,32,28,False,4,24,4,8,10,1,4,2.15893,16,0.00023147354060454304,8,True,1,25,1,2.1590734661505766,1,13
22,8,256,1,256,16,16,inf,64,False,1024,RS,2,True,True,False,False,1,8,16,True,4,16,2048,16,1,1,8,inf,32,inf,2,False,22,1,2048,inf,1,28
23,8,128,256,256,8,128,12.118705886141502,8,False,1024,RS,512,True,False,False,True,16,2,1,True,2,6,128,2,10,2,16,12.118829999999999,4,0.00020024984394454115,16,True,1,4,64,12.118954113858496,1,26
24,4,4,16,8,64,16,2.9567276150153115,1024,False,1024,RS,256,False,True,True,True,8,16,23,False,8,29,256,32,10,1,1,2.956884,4,0.00025231726060669134,32,True,1,1,1024,2.9570403849846887,2,1
25,2,512,16,8,8,256,4.74328640296807,128,False,512,RS,512,False,True,True,True,1,2,21,False,16,18,512,2,10,1,2,4.743418999999999,16,0.00021393690658702588,1,True,1,3,1,4.743551597031929,9,1
26,4,128,128,16,128,512,5.0806456732024,4,False,256,RS,2048,True,True,True,True,2,8,1,False,16,24,1024,16,10,25,4,5.080965000000001,4,0.0005152135479585419,1,True,1,25,64,5.081284326797602,25,1
27,128,1,128,1,256,1,6.738917876656636,1,False,2048,RS,128,False,False,False,True,2,2,1,True,32,5,1024,16,10,11,4,6.739216000000001,32,0.00048100311849307096,4,True,1,9,1024,6.7395141233433655,20,1
28,64,2,32,128,1,512,inf,32,False,16,RS,1024,False,False,True,True,1,16,1,True,8,12,4,2,1,12,32,inf,8,inf,1,False,3,1,64,inf,1,25
29,4,128,32,256,128,256,4.203724658008424,1,False,128,RS,1,False,True,False,False,2,1,1,True,1,13,256,32,10,4,4,4.203881000000001,8,0.00025224789394565186,4,True,14,1,8,4.204037341991578,12,1
30,64,4,512,1,8,2048,2.7694104067096097,16,False,128,RS,1,True,False,True,True,8,512,23,True,4,19,2048,4,10,1,4,2.769594,16,0.00029621613730519496,4,True,1,17,512,2.7697775932903905,1,15
31,64,1,1,1024,1024,1024,5.07298331740338,4,False,512,RS,16,False,True,False,False,8,512,26,True,16,1,2048,8,10,1,4,5.073173,2,0.0003060408469470201,32,True,5,1,1024,5.07336268259662,1,22
32,2,256,8,2,32,512,4.2701950584184685,2,False,256,RS,128,True,False,False,True,16,512,24,True,8,8,1,32,10,1,4,4.270363000000001,32,0.00027096309711832807,1,True,1,11,32,4.270530941581533,23,1
33,32,8,512,32,1,512,1.9645228247044275,64,False,2048,RS,512,False,False,True,False,2,256,22,True,4,9,128,32,10,1,4,1.964601,1,0.0001261308844018873,2,True,1,15,2048,1.9646791752955726,1,28
34,32,16,16,256,256,1024,2.479025746978599,1,False,512,RS,1,False,False,True,False,8,32,1,False,2,30,256,1,10,21,32,2.479139,4,0.0001827265716856245,8,True,1,29,8,2.479252253021401,29,1
35,2,512,8,2048,512,512,1.977966767367237,8,False,1024,RS,1024,True,False,False,False,2,2,23,False,4,25,1,2,10,1,1,1.9781839999999995,2,0.00035049108405208656,1,True,10,1,256,1.978401232632762,26,1
36,4,512,2,8,16,1,inf,32,False,1024,RS,8,True,False,True,False,1,16,19,True,1,22,1,4,1,1,16,inf,8,inf,1,False,9,1,128,inf,1,5
37,2,64,1,128,8,4,5.146805197854969,16,False,1024,RS,1,False,True,False,False,1,2,1,True,2,7,128,4,10,8,16,5.158481999999999,2,0.018839780147337216,8,True,1,23,1024,5.170158802145029,1,9
38,4,2048,16,256,128,64,5.2880829742823785,32,False,1,RS,16,True,False,True,True,8,64,27,True,8,26,1,2,10,1,1,5.288308,1,0.0003630647325201705,16,True,15,1,2048,5.288533025717621,22,1
39,64,1,128,64,8,128,inf,1,False,32,RS,128,True,True,True,False,16,1,1,False,1,23,1,8,1,12,2,inf,16,inf,2,False,1,19,1024,inf,1,5
40,8,2,64,2048,2,128,1.9923083346517612,8,False,1024,RS,1,False,True,True,True,32,32,1,True,4,29,1024,1,10,3,32,1.992495,8,0.00030117270792686095,16,True,1,14,16,1.9926816653482387,20,1
41,1,8,16,1024,512,512,4.290943472440431,128,False,32,RS,2048,False,False,False,False,16,1,1,True,4,1,2048,32,10,6,2,4.2912230000000005,1,0.0004510000000000694,2,True,5,1,512,4.29150252755957,28,1
42,32,2,32,128,2048,2,2.620760518497395,2,False,16,RS,2048,False,False,False,True,8,1,1,False,4,4,1,16,10,6,4,2.6211540000000007,16,0.0006348574643177707,8,True,1,7,1024,2.6215474815026063,13,1
43,64,1024,2,128,8,2048,3.572663467377742,4,False,1,RS,2048,True,True,True,False,1,32,3,True,32,23,32,16,10,1,1,3.573109,1,0.0007188386467074062,4,True,5,1,1024,3.573554532622258,22,1
