id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,8,8,1,1,2.580068832246446,16,False,64,DLMT,512,True,True,False,True,22,1,True,1,10,32,10,20,2,2.624728,0.07205473652717077,True,True,4,32,4,2.6693871677535546,1
2,4,32,2,4,7.553117796525172,2048,False,256,DLMT,2048,True,True,False,False,1,1,False,28,20,2,10,28,32,7.553466,0.0005618042363670332,True,False,2,32,64,7.553814203474828,22
3,1,2048,64,4,6.116667949839903,8,False,1,DLMT,1024,False,True,False,True,1,1,False,29,1,32,10,12,2,6.1171120000000005,0.000716446787975198,True,False,4,4,32,6.117556050160098,28
4,2048,128,2,4,16.991027521051553,2048,False,256,DLMT,32,False,False,False,False,12,1,True,1,28,1,10,3,32,16.99203,0.0016174362429474678,True,False,1,2,2048,16.993032478948447,17
5,256,8,4,2,2.686840567927193,1,False,512,DLMT,8,False,False,False,False,1,23,True,6,7,32,10,1,1,2.721875,0.0565258355533114,True,True,8,16,512,2.7569094320728067,15
6,64,2,2,16,2.4486235438338952,1,False,256,DLMT,4,True,False,True,False,15,7,True,1,13,32,10,1,4,2.492981,0.0715679440042817,True,True,1,1,256,2.5373384561661045,1
7,512,2,2,256,7.265198396623364,2048,False,2,DLMT,64,False,True,True,False,25,11,True,1,2,2,10,1,2,7.265611,0.0006657093960579509,True,False,16,1,1024,7.266023603376635,10
8,2,1,256,512,5.264909514283528,16,False,1,DLMT,2048,True,False,True,True,1,1,True,27,20,2,10,16,1,5.265146,0.00038155471429406654,True,False,4,4,1,5.265382485716471,18
9,4,128,2048,64,2.416512519702072,16,False,1,DLMT,1,True,True,False,False,29,1,False,1,7,32,10,1,4,2.473979,0.09271852354842583,True,True,16,1,1,2.531445480297928,5
10,512,1,1024,256,3.637328396823538,1024,False,32,DLMT,1,True,False,True,True,1,1,False,19,2,4,10,25,16,3.7538310000000004,0.1879695659116124,True,True,1,32,1,3.8703336031764626,5
11,4,8,16,4,2.4557966728893437,1024,False,128,DLMT,512,False,False,False,True,13,1,False,1,17,32,10,9,1,2.536668,0.13048076040550954,True,True,8,1,256,2.6175393271106566,25
12,64,8,8,16,2.428094521923339,128,False,2048,DLMT,1024,False,True,False,True,1,2,True,11,22,32,10,1,1,2.488139,0.09687795956253412,True,True,2,32,256,2.548183478076661,30
13,512,16,8,4,2.9628494591722854,1,False,1,DLMT,64,False,False,True,True,4,28,False,1,21,1,10,1,16,3.0132329999999996,0.08129064965295832,True,True,1,32,1,3.063616540827714,4
14,128,32,1,2048,2.9897525932658353,1024,False,64,DLMT,16,False,True,True,True,28,5,True,1,24,4,10,1,32,3.098274,0.1750924113261338,True,True,8,4,1,3.2067954067341646,17
15,1,8,2048,256,7.146609734241605,2048,False,1,DLMT,2048,False,True,True,True,22,1,True,1,12,16,10,10,1,7.1473369999999985,0.0011733972047009108,True,False,2,1,1,7.148064265758392,1
16,1,2048,1,2,2.7573752025474003,512,False,2048,DLMT,2048,True,False,True,True,22,22,False,1,8,1,10,1,16,2.838834,0.13142860656645491,True,True,8,2,2048,2.9202927974525994,7
17,16,1,128,1,1.6802767226670743,2048,False,1,DLMT,2048,False,True,False,True,1,2,False,8,14,1,10,1,4,1.8894099999999998,0.3374232874298987,True,True,16,2,4,2.0985432773329253,29
18,512,64,2,8,inf,1024,False,128,DLMT,8,False,True,True,True,30,1,False,1,16,2,1,12,16,inf,inf,False,True,2,2,512,inf,19
19,1,8,2,2048,4.329733211559857,16,False,1024,DLMT,1024,True,True,False,False,1,8,True,19,27,1,10,1,2,4.329877,0.00023199353439271622,True,False,1,2,1,4.330020788440143,2
20,1,1,16,128,2.3657844140230284,256,False,1024,DLMT,2048,False,True,True,True,17,28,False,1,15,4,10,1,8,2.455082,0.14407599500263746,True,True,1,1,1024,2.5443795859769716,18
21,16,32,1,16,2.4386408991806183,1024,False,2048,DLMT,1,True,True,False,True,10,1,True,1,29,8,10,19,2,2.5192550000000002,0.1300657420883763,True,True,4,2,32,2.599869100819382,12
22,256,4,16,2,2.6052830670793874,512,False,1,DLMT,256,False,False,True,True,1,22,True,30,29,16,10,1,1,2.676421,0.1147765458140294,True,True,2,16,64,2.7475589329206125,30
23,16,1,2,32,2.7287488903480064,1,False,2,DLMT,512,False,True,False,True,1,1,True,14,2,4,10,1,32,2.7535719999999997,0.04005051405412918,True,True,2,8,1,2.778395109651993,1
24,128,1,128,8,2.64485154303017,1,False,32,DLMT,1,False,True,False,False,16,16,False,1,9,16,10,1,8,2.694928,0.08079518931223562,True,True,32,2,1024,2.74500445696983,17
25,1,256,1,64,5.549035507126498,256,False,1,DLMT,4,False,False,False,True,13,6,True,1,29,32,10,1,2,5.554285000000001,0.008469724021478019,True,False,2,2,64,5.559534492873504,10
26,4,2,1,512,5.910894904638685,1,False,512,DLMT,128,True,True,False,True,1,25,True,30,29,1,10,1,2,5.911037,0.00022926185901699187,True,False,2,32,512,5.911179095361316,15
27,512,4,2,64,2.3811460344859596,1,False,512,DLMT,256,False,True,False,False,1,30,False,3,28,32,10,1,4,2.4470680000000007,0.10636091300849199,True,True,4,4,1024,2.5129899655140417,12
28,256,2048,64,4,20.76487040734788,2048,False,1,DLMT,1,True,True,False,False,1,1,True,5,19,4,10,1,32,20.76998,0.008244003881609915,True,False,1,4,64,20.775089592652122,22
29,64,64,128,512,5.460679446142749,64,False,1,DLMT,128,True,True,True,True,6,13,True,1,26,32,10,1,2,5.461367,0.0011093245692762458,True,False,4,1,1024,5.462054553857251,2
30,2,8,32,1,2.431394341359204,1024,False,16,DLMT,1024,True,False,True,False,1,13,True,19,4,16,10,1,1,2.4875,0.09052292405794232,True,True,1,8,1,2.5436056586407956,16
31,2048,8,1,1,8.032329442730202,1,False,128,DLMT,1,True,True,True,False,1,27,False,11,23,2,10,1,4,8.032675000000001,0.0005575347522799794,True,False,4,32,1024,8.0330205572698,9
32,256,32,1,8,7.4343600441896065,1,False,2048,DLMT,2048,True,False,False,True,1,29,False,19,17,16,10,1,2,7.434765999999999,0.000654983969269397,True,False,32,1,16,7.435171955810391,27
