id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,1,2,32,2.9175450167867076,128,1024,DLMT,16,False,2048,1,64,30,25,False,False,10,2.2561028345408306e-05,2.917559,True,False,2.917572983213292
2,2,2048,1,32,0.778225556731251,1,1024,DLMT,1,True,256,13,1024,1,18,True,False,10,0.00011704396609823627,0.7782981,True,False,0.7783706432687489
3,1,1,2,16,2.723791653720467,8,2,DLMT,16,False,256,9,1024,1,13,False,False,10,0.00011027239001665487,2.7238599999999997,True,False,2.7239283462795325
4,8,256,8,4,2.0811707994496853,16,2,DLMT,4,False,1,1,512,29,30,False,False,10,0.0021897570641511944,2.082528,True,True,2.0838852005503146
5,16,256,4,1,0.35155069574672787,1,256,DLMT,1,False,8,1,32,22,19,True,False,10,0.3019248211097591,0.5386822,True,True,0.7258137042532722
6,2,2048,1,1,1.9980640523179432,4,2,DLMT,64,False,2048,24,2048,5,1,True,False,10,0.004583689016501858,2.000905,True,True,2.0037459476820567
7,8,1,1,8,1.0958557867416459,1,1,DLMT,256,True,2,21,1,14,1,False,False,10,0.0018719305542674108,1.097016,True,True,1.0981762132583541
8,16,1,1,2,1.184519696858899,4,128,DLMT,2048,True,1,25,1,1,26,False,False,10,0.00014085808461002095,1.1846070000000002,True,False,1.1846943031411015
9,4,512,4,2,1.649032644649263,1,8,DLMT,4,True,16,1,2048,25,19,False,False,10,0.004892513157877082,1.652065,True,True,1.6550973553507369
10,1,16,2,2,2.7629747568723273,32,1,DLMT,2048,False,256,7,2048,23,1,True,False,10,0.002736780773098232,2.7646710000000003,True,True,2.7663672431276733
11,16,32,2,2,1.543532509453993,128,16,DLMT,16,True,128,1,256,20,1,False,False,10,7.98498591107005e-05,1.543582,True,False,1.5436314905460071
12,16,1,4,2,1.2169194703525332,2048,2048,DLMT,64,True,2048,1,512,10,12,True,False,10,0.0015900896201157698,1.217905,True,True,1.2188905296474668
13,2,1024,32,1,0.34995552371956523,2048,256,DLMT,8,False,1,18,16,1,7,True,False,10,0.051328866193302965,0.38176889999999997,True,True,0.4135822762804347
14,1,512,8,2,1.5615484789366447,16,64,DLMT,32,False,128,30,32,10,1,False,False,10,0.8719649124225125,2.101988,True,True,2.642427521063355
15,32,1024,2,2,2.493513139752293,16,1024,DLMT,4,False,2048,20,2048,1,14,True,False,10,2.720294101746952e-05,2.49353,True,False,2.4935468602477067
16,32,1024,1,2,1.7049409925855703,256,2,DLMT,256,True,1024,1,1,24,2,True,False,10,8.391066678318752e-05,1.704993,True,False,1.7050450074144297
17,1,1,4,8,1.0877347699171092,1,512,DLMT,256,True,16,30,2048,1,29,True,False,10,0.008493501574733477,1.0929989999999998,True,True,1.0982632300828905
18,8,1024,1,8,3.261316661188227,2048,2,DLMT,1,False,2048,1,2,28,23,False,False,10,0.00013446189051179836,3.2614000000000005,True,False,3.261483338811774
19,1,2,32,1,2.0969175015305086,64,2,DLMT,1,False,2048,4,2048,1,20,True,False,10,0.0061205693362627114,2.100711,True,True,2.1045044984694914
20,1,1,16,1,0.6708960511805068,32,16,DLMT,32,True,128,22,2048,28,1,True,False,10,0.004856522983575812,0.6739061,True,True,0.6769161488194931
21,4,256,2,16,inf,2,4,DLMT,256,False,8,28,1,1,25,True,False,1,inf,inf,False,False,inf
22,4,512,2,1,0.18170512028960167,128,4,DLMT,1,False,512,1,4,6,7,False,False,10,0.044309615726160385,0.20916799999999997,True,True,0.23663087971039826
23,2,1,1,32,1.7916166457390952,8,64,DLMT,1,False,8,3,32,1,3,False,False,10,2.800000000000897e-05,1.7916339999999997,True,False,1.7916513542609043
24,1,1,2,2,5.735339799285441,1,2048,DLMT,16,False,512,25,64,1,17,True,False,10,6.808817812220719e-05,5.7353819999999995,True,False,5.735424200714558
25,1,128,2,1,0.5407304027132177,1024,1,DLMT,1,True,1,30,512,7,1,True,False,10,5.2754999763055956e-05,0.5407631,True,False,0.5407957972867824
26,2,4,1,4,2.237992512212801,256,1,DLMT,8,True,1,25,32,1,11,False,False,10,3.950949253026702e-05,2.238017,True,False,2.2380414877871995
27,4,16,8,4,2.176694235082407,4,1,DLMT,4,False,1,6,1,1,1,False,False,10,0.02888013614926359,2.194594,True,True,2.212493764917593
28,2,2048,32,2,2.7968603870087074,1,2048,DLMT,256,False,2,1,2048,17,26,False,False,10,3.487119154830423e-05,2.7968819999999996,True,False,2.796903612991292
29,8,512,8,4,1.8804421246234297,256,16,DLMT,2,True,1,12,16,7,1,False,False,10,0.0001111260545506829,1.8805109999999998,True,False,1.88057987537657
30,1,1024,2,32,0.12079001630965686,128,8,DLMT,4,True,2048,22,1,1,3,False,False,10,0.02797228565366084,0.1381271,True,True,0.15546418369034315
31,1,128,1,32,0.746050189507801,1,2,DLMT,16,False,1,1,64,21,20,False,False,10,0.1860529763580524,0.8613648999999999,True,True,0.9766796104921988
32,8,1024,1,4,1.8385185433038898,1,16,DLMT,8,False,4,1,2048,1,7,False,False,10,2.655183609470602e-05,1.8385349999999998,True,False,1.8385514566961099
33,1,512,4,1,1.1610359846070892,512,256,DLMT,512,False,1,1,2048,26,9,False,False,10,0.0002452672012316612,1.1611879999999999,True,False,1.1613400153929105
34,32,256,1,1,0.6116754580642988,4,32,DLMT,2048,True,1,5,2048,8,1,False,False,10,7.251096468811419e-05,0.6117204,True,False,0.6117653419357013
35,2,2048,2,8,inf,8,64,DLMT,1,False,64,1,128,18,29,True,False,1,inf,inf,False,False,inf
36,2,1,8,4,2.103996323956729,1024,1,DLMT,256,False,1,25,256,1,21,True,False,10,0.0048946440115702535,2.1070299999999995,True,True,2.11006367604327
37,1,512,1,1,0.7718231091609514,16,64,DLMT,512,True,2048,1,1,8,16,True,False,10,7.194449249246554e-05,0.7718676999999999,True,False,0.7719122908390484
38,4,2048,16,1,1.1067831800181538,512,2048,DLMT,2048,False,1024,30,1,16,1,False,False,10,0.00011749042514179438,1.106856,True,False,1.1069288199818463
39,32,64,1,1,inf,512,4,DLMT,32,False,1024,1,1,3,30,False,False,1,inf,inf,False,True,inf
40,4,2048,1,8,1.0719924921384978,4,2048,DLMT,128,True,8,9,128,1,26,False,False,10,0.05671311648111045,1.107143,True,True,1.1422935078615022
41,2,8,32,2,1.3975656959429688,1,4,DLMT,256,True,2048,1,512,28,8,False,False,10,0.008532343406122384,1.402854,True,True,1.4081423040570313
42,2,32,8,1,4.925826728858661,2,4,DLMT,2,False,2048,1,2048,23,29,False,False,10,0.002041434789553704,4.927092,True,False,4.928357271141339
43,1,512,2,1,2.9730102053340595,512,4,DLMT,8,False,2048,14,8,1,30,True,False,10,3.1937438845259844e-05,2.9730300000000005,True,False,2.9730497946659415
44,2,256,1,8,2.7510355937721234,64,1,DLMT,2048,False,128,1,2048,8,1,False,False,10,3.2924155266262675e-05,2.751056,True,False,2.751076406227877
