id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,256,16,4,12.074138124883495,1024,1,16,RS,500,10,False,1024,512,1,1,4,7,False,6,1,False,10,0.0011324310133514115,12.074839999999998,True,False,12.075541875116501
2,2048,512,256,2,4.972545858300817,64,16,1,RS,500,10,False,256,16,1,2,2,5,True,9,1,False,10,0.09963478001681955,5.034299,True,True,5.096052141699182
3,1,1024,2,2,1.3141512364407957,4,256,4,RS,500,10,True,128,1024,64,1,1,1,True,4,7,False,10,0.002750527949321764,1.3158560000000001,True,True,1.3175607635592046
4,1024,1024,16,8,11.453326832779148,64,512,256,RS,500,10,False,64,128,1024,1,1,6,False,1,10,False,10,0.0008440971508064966,11.45385,True,False,11.45437316722085
5,8,256,1,128,6.6327979436058095,2048,8,4,RS,500,10,False,2048,1,512,3,1,4,True,3,1,False,10,0.13958171957674115,6.719310000000002,True,True,6.805822056394194
6,1,2,2,64,0.42933553122713464,2,256,512,RS,500,10,False,32,2048,1,3,3,7,True,1,1,False,10,0.06757067512649258,0.4712155000000001,True,True,0.5130954687728656
7,512,32,2,128,4.571370434258629,4,64,16,RS,500,10,False,256,1,1,8,2,1,False,2,3,False,10,9.771898484935475e-05,4.5714310000000005,True,False,4.571491565741372
8,512,256,128,1,11.732036113011853,512,512,8,RS,500,10,False,512,2,64,9,1,4,True,2,1,False,10,0.002797516755981893,11.73377,True,True,11.735503886988147
9,64,128,128,2,6.7379805042108,16,2,512,RS,500,10,False,1024,1,512,5,6,2,True,3,1,False,10,0.11971618345069304,6.812180000000001,True,True,6.8863794957892015
10,1024,2048,1024,1024,0.26681889758174654,2,256,4,RS,500,10,False,4,1,128,2,4,5,False,4,1,False,10,0.030033803835178792,0.28543370000000007,True,True,0.3040485024182536
11,512,32,4,4,3.4569228450399163,16,1,32,RS,500,10,True,32,1024,1024,5,2,1,True,4,4,False,10,0.0037627842085350316,3.459255,True,False,3.461587154960084
12,32,64,16,8,3.445637240271051,8,16,8,RS,500,10,True,8,64,2048,2,5,2,True,2,1,False,10,0.0007853559702453365,3.4461239999999997,True,False,3.4466107597289484
13,16,8,2,32,5.36223916616308,8,8,2,RS,500,10,True,512,128,1024,1,1,1,False,13,4,False,10,0.006469612739569567,5.366249,True,True,5.370258833836919
14,1024,128,128,64,6.552618924626818,128,64,512,RS,500,10,False,128,256,1024,1,1,3,False,15,1,False,10,0.0001356502856615083,6.552703000000001,True,False,6.5527870753731845
15,2048,1,1024,64,5.6319405044625634,64,2048,64,RS,500,10,False,128,1024,1024,1,1,2,True,12,1,False,10,0.0005316201651553705,5.63227,True,False,5.632599495537437
16,1,1024,16,2,6.527335156056655,16,2048,4,RS,500,10,False,2048,256,128,2,5,1,False,7,2,False,10,0.0028264891650243507,6.529087,True,True,6.530838843943345
