id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,64,2048,64,0.2346817291941857,1,32,16,16,DLMT,False,False,True,False,False,27,1,35,0.23480307080581422,0.00018313261393240147,0.23474239999999996,24,3,True,1,32
2,64,1,64,0.13489004131860696,8,1,1,32,DLMT,False,True,False,True,False,3,1,35,0.1349144729671072,3.687301983614449e-05,0.13490225714285708,1,3,True,20,1
3,1,1,1,inf,1,1,32,256,DLMT,True,False,True,False,True,8,1,1,inf,inf,inf,1,26,False,30,32
4,1,2048,2048,0.2147789198091973,1,512,512,128,DLMT,True,True,False,True,False,19,1,35,0.2151115373336598,0.0005019969314484639,0.21494522857142856,1,28,True,24,32
5,512,1024,1,0.2921366896936006,1,512,512,16,DLMT,False,True,True,True,True,20,1,35,0.2921595960206852,3.4570956313184365e-05,0.2921481428571429,28,29,True,1,1
6,2048,1024,64,inf,1,16,16,512,DLMT,True,False,False,True,True,7,32,1,inf,inf,inf,28,1,False,21,1
7,1,128,1,0.24935318306520474,1,512,128,512,DLMT,False,True,False,False,True,17,1,35,0.24937887407765244,3.8773691901513334e-05,0.2493660285714286,25,1,True,18,1
8,1024,1,2048,0.14133343221156683,8,512,16,64,DLMT,False,False,True,False,False,7,1,35,0.14139428207414742,9.183654512452211e-05,0.14136385714285712,1,28,True,3,1
9,128,64,2048,0.3426863343620826,1,16,1,16,DLMT,False,False,False,True,True,20,8,35,0.3427260656379174,5.996370330696966e-05,0.3427062,27,25,True,1,1
10,1,512,1024,inf,32,16,512,1,DLMT,True,False,False,False,False,12,1,1,inf,inf,inf,30,18,False,1,1
11,2048,1024,1024,0.18248708911157097,1,64,512,512,DLMT,False,False,False,False,False,24,1,35,0.18250748231700048,3.077807329769675e-05,0.18249728571428572,1,3,True,17,1
12,1024,1,1024,0.1728409865822031,1,128,256,256,DLMT,True,False,False,False,True,9,1,35,0.17288975627493974,7.360476914450802e-05,0.17286537142857142,1,27,True,29,1
13,512,1,1,inf,32,256,32,1,DLMT,True,True,False,False,True,13,1,1,inf,inf,inf,16,6,False,1,1
14,128,1024,2048,0.1662807058802652,1,256,1,128,DLMT,True,True,True,False,False,25,32,35,0.16635900840544907,0.00011817665780085032,0.16631985714285713,29,1,True,26,1
15,1024,1,64,inf,1,32,512,32,DLMT,False,True,True,True,False,1,32,1,inf,inf,inf,28,22,False,1,1
16,1,1,512,inf,1,128,1,256,DLMT,False,False,False,False,False,18,32,1,inf,inf,inf,1,6,False,1,1
17,512,256,1,0.18407196530861675,1,512,1,512,DLMT,True,False,True,True,False,30,1,35,0.18419837754852614,0.00019078536717088713,0.18413517142857144,4,1,True,5,1
18,1024,2048,256,inf,32,256,1,16,DLMT,False,False,False,True,True,25,1,1,inf,inf,inf,1,13,False,25,1
19,128,2048,1024,0.20529136201180606,1,16,16,1,DLMT,True,True,True,False,True,8,8,35,0.20531778084533683,3.987214259482547e-05,0.20530457142857145,2,1,True,3,1
20,1,512,1,inf,1,512,256,32,DLMT,False,False,True,True,True,2,32,1,inf,inf,inf,1,3,False,22,1
21,2048,256,2048,0.3319991502199347,1,64,1,512,DLMT,False,True,False,False,True,15,1,35,0.33243947835149396,0.0006645572004373016,0.33221931428571433,29,1,True,2,32
22,128,2048,64,0.15104666049939938,1,16,512,128,DLMT,False,True,True,False,True,30,32,35,0.15112539664345778,0.00011883108917746386,0.15108602857142858,1,14,True,26,1
23,1,2048,512,0.20843635238265384,32,16,1,256,DLMT,True,True,True,True,False,8,1,35,0.20845901904591757,3.4209248063371626e-05,0.2084476857142857,1,27,True,4,1
24,512,1,512,inf,32,1,512,256,DLMT,False,False,True,True,True,26,1,1,inf,inf,inf,5,8,False,1,1
25,1,1,2048,0.22810597094885027,1,64,256,32,DLMT,True,False,False,True,False,30,1,35,0.2282308861940069,0.00018852605514725818,0.22816842857142858,3,1,True,1,32
26,1024,128,1,0.1278215244423684,1,1,64,32,DLMT,True,True,False,False,False,26,8,35,0.12787607555763156,8.233027563244202e-05,0.12784879999999998,1,30,True,29,8
27,512,1,512,0.235553113075271,1,32,256,1,DLMT,False,True,True,False,False,1,1,35,0.2357454583533004,0.0002902936022550318,0.2356492857142857,4,1,True,29,32
28,2048,1,2048,0.21149118021429333,1,16,16,32,DLMT,True,True,True,True,False,25,1,35,0.21152899121427807,5.706556200850648e-05,0.2115100857142857,26,1,True,16,1
