id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,8,128,4,4,1.1858709426645802,1,16,DLMT,16,True,2048,29,16,1,27,True,False,10,1.3000000000049297e-05,1.1858790000000001,True,False,1.18588705733542
2,32,1,1,1,1.6126472717858749,4,512,DLMT,1,True,8,30,8,1,17,True,False,10,3.5057096285891254e-05,1.612669,True,False,1.612690728214125
3,4,1024,4,16,1.0856250167867079,2048,64,DLMT,2048,True,2048,24,2048,1,4,False,False,10,2.256102834531973e-05,1.085639,True,False,1.0856529832132922
4,8,16,8,1,1.8254324395987125,1,4,DLMT,1024,False,1,1,1024,29,12,True,False,10,3.155946767613579e-05,1.8254520000000003,True,False,1.825471560401288
5,4,32,16,4,2.6188692175749524,16,2,DLMT,2048,False,64,10,1,1,1,False,False,10,4.805205510692719e-05,2.618899,True,False,2.6189287824250473
6,8,256,1,8,1.716932080509833,128,64,DLMT,64,False,512,3,512,1,1,True,False,10,0.00011926441212700509,1.717006,True,False,1.7170799194901671
7,8,1,2,1,1.2233701822232945,2,128,DLMT,32,False,16,10,1,14,1,False,False,10,0.0001400749799215028,1.223457,True,False,1.2235438177767055
8,4,1,2,1,1.7999563611999962,1,2,DLMT,1,True,512,1,256,22,25,True,False,10,3.168595903549586e-05,1.7999760000000002,True,False,1.7999956388000042
9,32,2048,2,2,inf,512,128,DLMT,16,False,512,24,512,27,1,False,False,1,inf,inf,False,False,inf
10,4,8,1,1,2.6637492486416017,16,1,DLMT,1,True,1024,15,8,28,1,False,False,10,0.0002690427475328401,2.663916,True,False,2.6640827513583982
11,32,1,2,1,0.14709821130372217,16,512,DLMT,4,False,1024,1,1,27,25,False,False,10,0.012730158011980843,0.1549883,True,True,0.16287838869627783
12,1,16,2,2,2.8232603576089166,2,2,DLMT,1,False,32,1,1024,1,3,True,False,10,2.685144316416097e-05,2.823277,True,False,2.8232936423910835
13,2,4,32,2,1.0886080675838046,2,1,DLMT,1,True,4,12,128,1,28,False,False,10,3.7000000000008346e-05,1.088631,True,False,1.0886539324161952
14,2,32,1,1,4.048615083162227,4,4,DLMT,8,False,64,29,512,9,1,False,False,10,0.00241195356505881,4.05011,True,True,4.051604916837773
15,1,1,16,1,inf,4,64,DLMT,512,False,512,17,2048,19,1,False,False,1,inf,inf,False,False,inf
16,1,256,4,16,1.1969316259212468,512,256,DLMT,2,False,2048,1,512,13,25,False,False,10,0.00021680405900258235,1.197066,True,False,1.1972003740787531
17,1,1024,2,1,inf,512,1,DLMT,512,True,512,1,1,5,28,True,False,1,inf,inf,False,True,inf
18,1,1024,2,16,1.3978063184920995,2048,8,DLMT,1,True,1,30,1024,28,1,False,False,10,1.562049935182751e-05,1.397816,True,False,1.3978256815079004
19,1,512,32,2,0.8787477515435779,1,512,DLMT,16,True,64,1,1024,14,10,True,False,10,3.412169397903384e-05,0.8787688999999999,True,False,0.8787900484564218
20,2,16,32,1,3.221201024150112,2048,8,DLMT,512,False,2048,1,1,14,16,False,False,10,5.4817880294576545e-05,3.221235,True,False,3.2212689758498882
21,2,1,4,2,3.908843221214033,256,2048,DLMT,16,True,1,26,32,1,15,True,False,10,4.64327470650139e-05,3.908872,True,False,3.9089007787859673
22,4,512,1,2,1.0811767122243447,1,32,DLMT,2048,True,8,1,2048,29,22,True,False,10,0.0026174585001485554,1.082799,True,True,1.0844212877756554
23,2,2,1,4,2.710443620191214,128,1,DLMT,4,True,128,30,2048,20,1,False,False,10,0.0025530695251010757,2.712026,True,False,2.7136083798087856
24,8,2048,1,1,1.0791576529723073,4,2048,DLMT,2,True,256,11,64,1,30,True,False,10,3.6055512754642076e-05,1.0791799999999998,True,False,1.0792023470276924
25,2,1024,2,16,1.0908092660080186,8,256,DLMT,64,True,1,6,64,24,1,True,False,10,0.016609900782364694,1.1011039999999999,True,True,1.111398733991981
26,1,1,2,32,1.553429997239775,2,2048,DLMT,512,False,64,30,1024,30,1,True,False,10,0.007997809762678786,1.5583870000000002,True,True,1.5633440027602254
27,16,512,4,2,2.3762711953547684,16,64,DLMT,1,False,1,30,256,12,1,False,False,10,0.00018845689162247826,2.3763879999999995,True,False,2.3765048046452306
28,4,512,16,4,3.3511889309061242,128,1,DLMT,128,False,2048,23,1,28,1,False,False,10,0.3475504930927303,3.566598999999999,True,True,3.782009069093874
29,4,2,4,8,1.436097905778914,64,1,DLMT,128,False,128,11,256,1,26,True,False,10,0.0049695367993405565,1.439178,True,True,1.442258094221086
30,8,2048,8,2,1.2456420860514557,2048,2,DLMT,512,True,1,1,2048,24,24,False,False,10,0.0036397741688187113,1.247898,True,True,1.2501539139485442
31,8,2048,4,8,0.09218150174021837,2,256,DLMT,4,True,1,21,1,9,1,True,False,10,0.012418796309421451,0.09987861,True,True,0.10757571825978164
32,8,1,1,1,0.11198388269038487,2048,256,DLMT,4,False,1,1,8,25,30,True,False,10,0.004418262759275413,0.11472230000000001,True,True,0.11746071730961516
33,1,2,1,32,0.6576383498505758,256,2,DLMT,16,True,1,30,2048,1,12,False,False,10,0.004808767405479279,0.6606188,True,True,0.6635992501494241
34,1,512,8,2,1.6870532440238386,2048,2,DLMT,4,False,2048,22,1,1,14,True,False,10,0.00010447966309288767,1.6871180000000003,True,False,1.687182755976162
35,8,1024,1,8,0.35054260206839516,4,1,DLMT,2,True,32,1,64,26,5,False,False,10,0.008973285750492957,0.3561042,True,True,0.3616657979316048
36,2,2048,16,1,1.8357097661495856,1,256,DLMT,1,False,16,3,1024,1,16,False,False,10,0.005277928476211095,1.838981,True,True,1.8422522338504144
37,4,512,1,2,1.1932945045146501,1,8,DLMT,256,False,64,12,512,1,30,False,False,10,1.854723699097883e-05,1.1933060000000002,True,False,1.1933174954853503
38,4,1,4,8,1.7329945708282728,2,2048,DLMT,512,False,32,26,2048,3,1,False,False,10,0.003117851984940912,1.734927,True,True,1.7368594291717274
39,1,2048,32,2,21.31198212888854,1,16,DLMT,2,False,16,1,16,24,26,False,False,10,0.00014177446878724782,21.312070000000002,True,False,21.312157871111463
40,4,1,16,2,1.0774476606795156,1,32,DLMT,32,True,8,7,512,30,1,True,False,10,0.0019866879473133064,1.0786789999999997,True,True,1.0799103393204839
41,32,1,1,2,1.39227473111827,1,64,DLMT,512,True,16,22,1,18,1,True,False,10,2.6248809496818688e-05,1.392291,True,False,1.39230726888173
42,2,2048,1,4,2.7477339620215004,4,32,DLMT,1,False,2048,1,2048,8,10,True,False,10,5.491812087097658e-05,2.7477679999999998,True,False,2.747802037978499
43,2,256,4,2,0.11554919256387378,256,32,DLMT,1,True,256,17,8,1,12,False,False,10,0.010892967972045085,0.12230060000000001,True,True,0.12905200743612624
44,2,8,8,4,16.101869869048134,1,1,DLMT,4,False,512,2,16,6,1,False,False,10,0.00016155494421365863,16.10197,True,False,16.10207013095187
45,32,128,1,1,3.2602781834724346,256,4,DLMT,2,False,512,6,1024,18,1,True,False,10,0.0005256843159159642,3.260604,True,False,3.260929816527565
46,4,8,8,8,1.1361555998322659,256,8,DLMT,16,True,512,1,1,24,30,False,False,10,9.583840566286796e-05,1.1362149999999998,True,False,1.1362744001677336
47,2,128,2,32,2.3956476616569047,4,4,DLMT,4,True,512,1,2048,14,22,False,False,10,0.0009266585131536143,2.396222,True,False,2.396796338343095
48,1,32,1,4,0.15488601174379904,2,4,DLMT,1,False,2048,5,4,1,23,False,False,10,0.025762368886420358,0.1708534,True,True,0.18682078825620094
49,1,1,1,1,2.8969103033124033,1,1,DLMT,1,False,1,1,1,1,1,False,True,10,3.661966684717179e-05,2.8969329999999998,True,False,2.8969556966875962
50,8,1024,1,4,1.2804094366194965,128,512,DLMT,2048,False,1024,18,2048,1,26,True,False,10,0.005572105616371603,1.283863,True,True,1.2873165633805035
51,8,1024,1,4,0.6559892681752214,128,512,DLMT,2048,True,2048,18,2048,1,26,False,False,10,0.0021426951743073364,0.6573173000000001,True,True,0.6586453318247788
52,8,512,1,8,1.2669543715546985,128,512,DLMT,2048,False,2048,18,2048,1,26,True,False,10,0.004673526398770001,1.2698510000000003,True,True,1.272747628445302
53,8,1,1,4,1.2563627200382685,128,512,DLMT,2048,False,512,18,2048,1,26,False,False,10,0.00197207124617748,1.257585,True,True,1.2588072799617314
54,8,1024,1,2,0.7843738478067563,128,512,DLMT,2048,True,512,18,2048,1,26,True,False,10,0.0034034674098630704,0.7864833,True,True,0.7885927521932437
55,8,2048,1,1,1.1098811123855836,128,512,DLMT,2048,False,2048,18,2048,1,26,False,False,10,0.0038107559617482716,1.112243,True,True,1.1146048876144166
56,8,512,1,4,0.6548171654607793,128,512,DLMT,2048,True,128,18,2048,1,26,True,False,10,0.009928337948015271,0.6609707,True,True,0.6671242345392208
57,8,1024,1,1,1.102855720794163,128,512,DLMT,2048,False,1,18,2048,1,26,True,False,10,0.0024157650961962197,1.1043530000000001,True,True,1.1058502792058373
58,8,512,1,2,1.288055310164279,128,512,DLMT,2048,False,1,18,2048,1,26,False,False,10,0.003628118520666019,1.2903040000000001,True,True,1.2925526898357211
59,8,1,1,8,0.6011886179530248,128,512,DLMT,2048,True,1,18,2048,1,26,False,False,10,0.0026995731810787967,0.6028618000000001,True,True,0.6045349820469754
60,8,2048,1,4,0.656295607686319,128,512,DLMT,2048,True,1,18,2048,1,26,True,False,10,0.003966621520891564,0.6587541,True,True,0.661212592313681
61,8,1,1,2,0.7806386266382903,128,512,DLMT,2048,True,2048,18,2048,1,26,True,False,10,0.004301701728386112,0.7833048,True,True,0.7859709733617097
62,8,1024,1,8,1.2706332093676318,128,512,DLMT,2048,False,128,18,2048,1,26,True,False,10,0.002519850193959978,1.272195,True,True,1.2737567906323681
