id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
32,16,1,512,0.16270008538055422,4,False,128,4,DLMT,False,True,False,False,False,30,1,256,35,0.16272682890516013,4.0362176677212686e-05,0.16271345714285718,20,5,True,1,2
33,512,1,1024,0.10911731688816596,4,False,2048,512,DLMT,False,True,True,False,False,15,1,16,35,0.10913394025469116,2.5088512697801556e-05,0.10912562857142856,17,28,True,1,2
34,2,2048,1,inf,4,False,128,1,DLMT,True,False,False,True,True,6,2,2048,1,inf,inf,inf,1,30,False,9,2
35,4,32,2048,0.2826991910334976,2,False,32,4,DLMT,True,False,True,True,True,13,1,2,35,0.28273600896650253,5.556679378395473e-05,0.28271760000000007,1,30,True,24,16
36,1,128,2048,0.18610327822982184,2,False,1,1,DLMT,False,False,False,True,True,21,2,32,35,0.18613129319874958,4.228108082722573e-05,0.1861172857142857,30,1,True,16,2
37,512,1,1024,inf,8,False,2048,4,DLMT,True,False,True,True,True,11,4,128,1,inf,inf,inf,17,8,False,1,2
38,2048,32,1024,0.5512996847599874,8,False,2,2,DLMT,True,False,False,False,False,18,1,2,35,0.5513406580971554,6.183826171751349e-05,0.5513201714285714,13,10,True,1,8
39,128,2048,512,0.5115476278391865,1,False,64,4,DLMT,False,False,False,False,True,30,1,16,35,0.5115784293036706,4.648654841642944e-05,0.5115630285714285,5,1,True,9,64
40,2048,16,256,0.12442765544385967,1,False,1,512,DLMT,True,False,False,False,True,17,4,64,35,0.12449737312756892,0.00010522014240318764,0.1244625142857143,27,1,True,28,2
41,64,1,1024,inf,2,False,2,16,DLMT,False,True,True,True,True,27,32,1,1,inf,inf,inf,1,30,False,30,1
42,1024,2048,2048,inf,32,False,2,4,DLMT,True,True,True,False,True,14,1,8,1,inf,inf,inf,13,22,False,1,1
43,256,256,8,0.2623100918972996,1,False,4,2,DLMT,True,False,False,False,False,15,8,1,35,0.2623727081027003,9.450236580560904e-05,0.26234139999999995,1,26,True,4,8
44,1,32,1,inf,2,False,1,2048,DLMT,True,True,False,True,False,21,32,32,1,inf,inf,inf,12,1,False,3,1
45,512,1024,1,0.22941530730847215,2,False,128,64,DLMT,True,False,True,False,False,22,2,2048,35,0.22958132126295633,0.0002505535325096439,0.22949831428571424,29,9,True,1,32
46,256,16,256,0.20352241770103877,8,False,2,128,DLMT,False,True,True,True,True,28,1,16,35,0.20366432515610414,0.0002141712379935126,0.20359337142857145,1,23,True,3,1
47,512,1,512,0.1309698770497486,1,False,128,1,DLMT,True,False,False,False,True,1,32,512,35,0.13114452295025142,0.00026358113958107406,0.1310572,26,24,True,1,2
48,8,256,2048,0.3238340170643676,1,False,256,1,DLMT,False,False,True,True,True,1,1,1,35,0.32396632579277534,0.0001996845348778586,0.32390017142857147,20,1,True,17,64
49,2,1024,1,0.27652793719394647,1,False,8,2,DLMT,False,True,False,False,True,8,4,512,35,0.27654709137748207,2.8908102105586188e-05,0.27653751428571427,5,1,True,23,2
50,2048,1,128,0.09887496350263794,1,False,16,2048,DLMT,True,True,True,True,True,6,2,1,35,0.09893037935450491,8.363536357795283e-05,0.09890267142857143,10,1,True,5,16
51,2048,512,512,0.29652919608995465,1,False,4,128,DLMT,True,True,False,True,True,30,1,64,35,0.2967167467671883,0.00028305743846327136,0.29662297142857147,1,12,True,30,64
52,2048,256,128,0.1714750400575734,2,False,256,2048,DLMT,False,False,False,False,True,5,16,8,35,0.1715694742281409,0.0001425230493353151,0.17152225714285715,1,6,True,30,1
53,2,2048,128,0.20448012233209306,1,False,512,1,DLMT,True,True,True,False,False,9,64,1,35,0.20451810623933547,5.732651913310541e-05,0.20449911428571427,30,26,True,1,1
54,8,512,1024,0.1167061148118738,4,False,1,8,DLMT,False,True,True,False,False,16,2,32,35,0.11673434233098338,4.2601868312005286e-05,0.1167202285714286,1,27,True,19,16
55,1,256,2048,0.11127674704525842,4,False,32,2048,DLMT,False,False,False,False,True,5,2,512,35,0.11131902438331301,6.380630126901687e-05,0.11129788571428571,1,20,True,29,8
56,128,64,2048,0.14011986371984703,2,False,16,32,DLMT,False,True,False,True,False,1,2,2048,35,0.14014893628015296,4.387723132299479e-05,0.1401344,10,1,True,29,4
57,4,512,64,0.18966937820618868,1,False,32,2,DLMT,False,True,False,True,False,17,8,8,35,0.18970907893666844,5.991760328712675e-05,0.18968922857142856,16,30,True,1,2
58,64,2048,1024,0.3776243289919733,1,False,2048,8,DLMT,True,False,False,False,True,1,16,2,35,0.3781443567223124,0.0007848423660785898,0.37788434285714284,30,1,True,9,4
59,2048,1,2048,0.10779843144768335,8,False,8,2048,DLMT,True,False,True,False,False,2,1,32,35,0.1078595114094595,9.218381813816588e-05,0.10782897142857142,30,1,True,20,2
60,128,1,1,0.09960319544414631,1,False,1,64,DLMT,False,False,True,True,False,7,1,64,35,0.09962034741299655,2.5886296114558925e-05,0.09961177142857143,22,1,True,30,4
61,2048,512,2,0.3759485877772259,32,False,1,4,DLMT,True,True,True,False,False,29,2,1,35,0.37602546936563125,0.00011603213488740926,0.37598702857142857,1,30,True,9,1
