id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,1,32,16,1,27,8,DLMT,30,1.5155377124797131,64,256,2048,160,1,0.11707000000000001,8
2,8,512,512,128,1,5,28,DLMT,30,1.5729982448332265,2048,2048,2048,144,8,0.11279351428571428,1
