id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
137,2048,256,128,0.09437744200830432,1,False,128,256,DLMT,True,False,True,False,False,10,1,32,35,0.09440041513455287,3.4671771732953055e-05,0.0943889285714286,1,9,True,17,8
138,256,2048,1,0.09648681630470575,1,False,16,256,DLMT,True,True,True,True,False,3,1,128,35,0.0966569722667228,0.0002568047818233668,0.09657189428571428,1,9,True,1,8
139,1,2048,2048,0.10450123385151983,1,False,64,256,DLMT,True,False,True,True,True,20,1,128,35,0.10470048043419447,0.00030070927040269673,0.10460085714285715,1,9,True,27,8
140,1024,256,1,0.09320391585894283,1,False,32,256,DLMT,True,False,True,True,True,15,8,512,35,0.09322485556962859,3.160287638678488e-05,0.09321438571428571,1,9,True,7,8
141,2048,2048,512,0.09610260968761829,1,False,16,256,DLMT,True,True,True,True,False,19,8,512,35,0.09616027602666748,8.70318703061095e-05,0.09613144285714288,1,9,True,1,8
142,1,1,256,0.1033526009941252,1,False,512,256,DLMT,True,True,True,True,True,14,1,128,35,0.10337277043444625,3.0440359889529632e-05,0.10336268571428572,18,9,True,1,8
143,1024,1,1,0.0936012678816869,1,False,256,256,DLMT,True,False,True,False,True,30,1,32,35,0.09365814926117019,8.584718439988494e-05,0.09362970857142855,1,9,True,2,8
144,512,512,2048,0.09607248204665013,1,False,512,256,DLMT,True,True,True,False,False,3,1,128,35,0.09609379223906415,3.2162019177145076e-05,0.09608313714285714,15,9,True,1,8
145,2048,2048,2048,0.09354554927655806,1,False,512,256,DLMT,True,False,True,True,False,28,1,256,35,0.09356268500915624,2.5861791847259802e-05,0.09355411714285715,29,9,True,1,8
146,1024,2048,1024,0.09196981434600286,1,False,1,256,DLMT,True,True,True,False,True,1,8,1,35,0.09204155708256857,0.00010827641648737191,0.09200568571428572,1,9,True,16,8
147,2048,256,256,0.09365316360712622,1,False,16,256,DLMT,True,True,True,False,True,12,1,1,35,0.09367471067858807,3.251952455911794e-05,0.09366393714285715,1,9,True,30,8
148,2048,1,1,0.0985071091074561,1,False,1,256,DLMT,True,False,True,True,True,5,1,512,35,0.09852617660682965,2.8777275615261458e-05,0.09851664285714287,8,9,True,1,8
149,1,256,2048,0.10127167567266103,1,False,256,256,DLMT,True,True,True,False,True,17,8,16,35,0.10130295289876752,4.720458296671186e-05,0.10128731428571427,1,9,True,1,8
150,1024,512,512,0.09744280665270054,1,False,128,256,DLMT,True,False,True,True,True,30,8,512,35,0.09746805620444234,3.8107425383876425e-05,0.09745543142857144,14,9,True,1,8
151,256,2048,256,0.08908256874418627,1,False,512,256,DLMT,True,False,True,False,False,30,8,1,35,0.08910771697009945,3.795450122535201e-05,0.08909514285714286,1,9,True,12,8
152,2048,1,2048,0.08901495414940488,1,False,64,256,DLMT,True,False,True,False,False,1,8,1,35,0.08907679442202368,9.333130340844113e-05,0.08904587428571428,1,9,True,30,8
153,2048,256,2048,0.09428620749440042,1,False,16,256,DLMT,True,True,True,True,False,1,1,128,35,0.09431200393417102,3.893280616547363e-05,0.09429910571428572,1,9,True,17,8
154,1,128,64,0.09548933728771011,1,False,1,256,DLMT,True,False,True,False,False,27,1,1,35,0.09551095985514704,3.26334654823501e-05,0.09550014857142858,15,9,True,1,8
155,256,1,2048,0.10441740292970875,1,False,32,256,DLMT,True,True,True,True,True,16,1,1,35,0.10444368278457697,3.96623915834954e-05,0.10443054285714286,29,9,True,1,8
156,1,512,2048,0.09554009849466126,1,False,1,256,DLMT,True,False,True,False,True,7,8,512,35,0.09574515864819584,0.0003094832961764583,0.09564262857142855,1,9,True,29,8
157,1,2048,2048,0.08944211393816842,1,False,16,256,DLMT,True,False,True,False,False,14,8,64,35,0.089462217490403,3.0340919496916163e-05,0.08945216571428571,1,9,True,9,8
158,2048,2048,256,0.09632097333646736,1,False,32,256,DLMT,True,True,True,True,True,30,8,16,35,0.0963709523778184,7.542995648079063e-05,0.09634596285714288,16,9,True,1,8
159,256,128,1024,0.10008203165393814,1,False,1,256,DLMT,True,False,True,True,True,2,1,1,35,0.10010676834606186,3.73334013604821e-05,0.1000944,1,9,True,17,8
160,512,64,1,0.08999204948682694,1,False,1,256,DLMT,True,True,True,True,False,21,8,64,35,0.09002140194174447,4.429965715995716e-05,0.09000672571428571,1,9,True,30,8
161,1024,1,2048,0.0944426001830115,1,False,64,256,DLMT,True,True,True,False,False,2,8,512,35,0.09446397695984564,3.226251049861854e-05,0.09445328857142857,16,9,True,1,8
162,1024,512,1,0.09519296020826518,1,False,512,256,DLMT,True,True,True,True,False,22,8,1,35,0.09521520550602053,3.3573309856101516e-05,0.09520408285714285,28,9,True,1,8
163,1024,2048,1,0.09287867729995718,1,False,16,256,DLMT,True,False,True,False,False,29,8,256,35,0.09289659127147139,2.7036334735284514e-05,0.09288763428571428,1,9,True,15,8
