id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,2048,256,DLMT,32,8,False,1,16,0.000968309867759285,True,1,2,1,False,2.1123458463542315,128,1,2048,2,True,True,False,512,False,256,False,1024,True,8,8,1024,True,16,1,1,8,8,1,1,False,10,2.1135461536457685,16,2.112946,1,8,4,True,512,1,1,16,True,1,32,2,1
2,8,4,DLMT,16,8,True,1,128,0.0006146226484599721,True,4,1,1,False,4.747216059935743,4,4,64,32,False,False,False,4,True,1,False,128,False,1,12,256,True,1,8,4,1,12,4,1,False,10,4.747977940064258,4,4.747597000000001,1,16,2,True,64,256,1,8,False,1,1,4,1
3,2,2048,DLMT,4,4,True,32,4,0.0001319128500184445,False,16,1,2,True,3.5420412410708617,2048,128,8,256,False,True,True,1,True,8,True,128,True,1,16,2048,True,1,16,12,1,1,1,16,False,10,3.5422047589291386,8,3.542123,8,32,1,True,512,64,16,2048,False,1,1,2,1
4,4,512,DLMT,1,1,False,2,16,0.0002958310328548876,True,4,32,32,True,2.3994686453954346,64,4,32,512,False,False,True,128,False,1024,False,2048,False,16,16,128,False,1,4,12,1,8,1,1,False,10,2.3998353546045648,8,2.3996519999999997,16,4,2,True,1,128,16,64,True,12,2,2,1
5,2048,2048,DLMT,4,16,True,2,2048,0.000420714867814251,False,8,256,1,True,3.727532243014912,512,16,2048,128,True,False,False,32,True,1,False,512,False,12,12,512,False,1,12,1,16,4,1,1,False,10,3.7280537569850876,4,3.7277929999999997,8,2,2,True,2048,2048,8,1,False,1,8,2,12
6,8,16,DLMT,8,1,False,1,1,0.00305819374794993,True,4,1,1,True,3.1179235467071957,1,16,1024,1024,False,False,False,1024,False,512,True,2048,False,16,4,512,False,16,1,1,16,4,1,16,False,10,3.1217144532928045,4,3.119819,1,4,16,True,1024,4,16,128,False,1,4,1,4
7,2,512,DLMT,4,2,False,1,128,0.0009238376480745681,True,512,1,1,True,3.961469410015068,64,4,8,1024,True,True,False,16,False,64,True,128,False,1,16,64,False,1,1,1,8,16,4,1,False,10,3.9626145899849328,1,3.9620420000000003,16,32,1,True,1,2048,8,64,False,16,4,32,1
8,1024,2048,DLMT,16,1,True,32,8,0.00047223299334121126,False,4,128,2,False,3.3017213123366367,8,64,1024,256,True,True,True,64,True,16,False,256,True,16,8,512,False,16,1,12,1,8,8,1,False,10,3.302306687663363,1,3.302014,8,1,2,True,1,64,1,512,False,12,2,32,1
9,64,1,DLMT,8,4,True,16,4,0.0019358483928241877,True,16,4,2,False,1.8211891707828327,2,2048,1,256,True,False,False,64,True,128,False,256,False,4,16,1,True,12,1,12,1,12,4,1,False,10,1.823588829217167,12,1.8223889999999998,16,2,32,True,64,512,16,1,True,16,16,4,1
10,2,1024,DLMT,2,2,True,2,2,0.00047923793672867003,True,2048,4,1,False,3.5718519707075242,1,1,8,1,False,False,False,128,True,1,True,1,True,12,12,8,True,12,1,1,1,4,1,12,False,10,3.5724460292924767,1,3.5721490000000005,4,1,16,True,128,1,4,16,False,12,2,2,1
