id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,64,2,1,1,2.211996726443139,2048,False,1,DLMT,16,False,False,True,False,8,1,False,1,5,4,10,24,1,2.3975479999999996,0.29937521904125597,True,True,4,32,2048,2.58309927355686,5
2,1,1,4,1,2.7647650778198294,128,False,2048,DLMT,1,False,False,False,True,30,11,True,1,2,8,10,1,1,2.801659,0.05952600498101644,True,True,4,16,16,2.8385529221801704,10
3,4,2048,8,128,2.225141507021451,8,False,2048,DLMT,2048,True,False,False,True,13,1,True,1,2,4,10,8,32,2.354259,0.2083228910345668,True,True,2,16,1,2.483376492978549,26
4,1,16,2048,256,2.3578033805248997,4,False,32,DLMT,1,False,False,False,True,10,6,True,1,5,1,10,1,2,2.4178470000000005,0.09687657426333776,True,True,1,32,256,2.4778906194751014,24
5,256,1,32,4,5.751218932489273,2048,False,16,DLMT,2048,True,False,False,False,1,6,False,30,24,8,10,1,8,5.751732,0.0008278019086714288,True,False,2,16,64,5.752245067510726,3
6,16,1024,4,4,6.4922783922163285,256,False,2048,DLMT,512,False,False,False,True,1,1,True,28,5,2,10,23,2,6.4923969999999995,0.00019136614120580505,True,False,2,1,8,6.4925156077836705,26
7,8,2,4,8,6.820314707355555,512,False,32,DLMT,4,False,False,False,True,1,19,False,20,13,1,10,1,16,6.8205089999999995,0.0003134788669111668,True,False,2,1,1,6.820703292644444,12
8,2048,4,32,256,2.010208150026016,1,False,8,DLMT,2048,True,False,True,False,1,13,False,8,3,8,10,1,1,2.134812,0.20104041413606366,True,True,1,2,256,2.2594158499739843,12
9,256,4,8,128,2.418203562411027,1024,False,32,DLMT,8,False,True,True,True,18,1,True,1,7,2,10,23,8,2.4839689999999996,0.10610836512264246,True,True,32,1,256,2.549734437588972,27
10,8,16,128,8,4.9079777597637335,16,False,1024,DLMT,128,True,True,False,True,13,17,True,1,15,8,10,1,2,4.908098000000001,0.00019399999999982693,True,False,2,2,128,4.908218240236268,12
11,32,32,256,512,2.377912123944067,512,False,32,DLMT,1024,False,False,True,False,1,1,True,10,10,16,10,2,4,2.4403610000000002,0.1007573033035323,True,True,2,8,2048,2.5028098760559336,29
12,1024,512,1,64,8.011738266363963,1,False,1,DLMT,8,True,False,True,False,30,1,False,1,29,1,10,8,8,8.017147000000001,0.008726648898632205,True,False,4,4,512,8.02255573363604,23
13,8,64,2,2048,2.2190805570485823,32,False,2048,DLMT,2048,False,True,True,False,1,29,True,15,9,1,10,1,2,2.3017499999999997,0.1333819063441515,True,True,4,1,1,2.384419442951417,10
14,64,16,1024,8,5.495578738416586,256,False,1,DLMT,1024,True,True,True,True,1,16,True,14,1,1,10,1,8,5.500983000000001,0.008719433525178084,True,False,4,32,1,5.5063872615834155,1
15,256,256,16,512,8.870773437307836,256,False,1,DLMT,256,True,True,False,True,1,13,True,15,13,1,10,1,32,8.872742,0.0031761511299056066,True,False,8,2,2048,8.874710562692165,22
16,8,2,2048,8,2.5695829407073316,1,False,32,DLMT,1,False,True,True,True,3,1,True,1,21,1,10,23,32,2.635517,0.10638042555376434,True,True,2,1,2048,2.7014510592926686,2
17,1,8,64,64,2.5477825762515827,2,False,2048,DLMT,128,True,False,False,True,22,20,False,1,1,16,10,1,2,2.5914149999999996,0.07039815015325333,True,True,8,4,2048,2.6350474237484165,19
18,64,16,2,4,5.989321564576077,64,False,32,DLMT,256,False,False,True,True,30,2,True,1,12,32,10,1,1,5.990015,0.0011188141043086408,True,False,16,1,128,5.990708435423922,20
19,8,32,64,2048,5.226168531795715,2048,False,256,DLMT,2048,False,True,False,True,1,2,True,8,27,8,10,1,16,5.226281999999999,0.00018307375562867634,True,False,1,2,1,5.2263954682042835,12
20,1,2048,4,4,2.25573068618698,2,False,1,DLMT,2048,False,True,True,False,1,1,True,21,29,4,10,29,16,2.3909829999999994,0.21822103560610284,True,True,2,16,16,2.526235313813019,4
21,1,1,4,4,6.582742175145194,8,False,1,DLMT,1024,True,True,True,True,17,1,True,1,16,1,10,3,16,6.584173,0.002308545212899191,True,False,8,1,8,6.585603824854806,29
22,32,8,128,512,2.4691307721878677,1024,False,64,DLMT,256,False,True,True,False,1,24,False,29,21,2,10,1,2,2.544024,0.12083547609870211,True,True,8,16,1,2.618917227812132,7
23,256,256,8,32,4.9525200671932605,1024,False,2048,DLMT,1,True,False,False,False,1,28,True,22,3,16,10,1,2,4.952699999999999,0.00029031017894671243,True,False,8,8,1,4.952879932806738,5
24,1,2048,8,8,22.318888817081344,32,False,2048,DLMT,512,False,False,True,False,1,1,True,24,30,4,10,21,32,22.320659999999997,0.0028576913759189274,True,False,1,32,1,22.32243118291865,1
25,2,32,8,1,7.042600630456205,2048,False,1,DLMT,1024,True,True,True,False,16,1,True,1,21,1,10,20,32,7.0428370000000005,0.00038136727704410486,True,False,1,16,64,7.043073369543796,29
26,256,4,256,8,2.629469900785548,512,False,16,DLMT,1,True,True,True,True,1,1,False,15,17,1,10,10,1,2.677781,0.0779468964680441,True,True,2,32,32,2.7260920992144517,24
27,2048,4,1,32,9.271901924818398,2048,False,128,DLMT,1,False,False,False,True,30,29,False,1,7,4,10,1,4,9.272292000000002,0.0006293615812872389,True,False,16,1,2048,9.272682075181606,21
28,16,1024,1,1,2.520194703205297,64,False,1,DLMT,4,False,False,True,True,1,1,False,30,5,32,10,30,2,2.5464430000000005,0.042349963175898925,True,True,4,8,256,2.5726912967947038,1
29,4,256,1,1,2.536514235570754,16,False,1,DLMT,128,True,True,True,False,1,4,False,15,3,8,10,1,1,2.563943,0.04425457288235874,True,True,1,8,128,2.591371764429246,28
