id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
1,10,0.13171553681038253,0.13167686318961744,7,1,0.13169619999999999,False,RS,32,8,True,2048,4,False,False,3.119871792237788e-05,1,True,2
2,10,0.10481745525748791,0.08641004474251211,9,1,0.09561375000000001,False,RS,4,128,True,512,1,True,True,0.014849595072206515,1,True,32
3,10,0.0951069454502724,0.07205161454972761,26,1,0.08357928,False,RS,4,4,True,256,2,True,True,0.018599157543114694,1,False,32
4,10,0.08688474981120467,0.07725103018879534,1,17,0.08206789,False,RS,1,2,True,1,2,True,True,0.0077716979971496555,64,True,1
5,10,0.24811265763103868,0.2465339423689613,29,1,0.2473233,False,RS,2,1,True,16,64,False,False,0.0012735785056289242,16,False,1
6,10,0.14697259342672037,0.14672620657327967,1,28,0.14684940000000002,False,RS,4,16,True,4,4,False,True,0.00019876478561354612,1,False,4
7,10,0.09870149749386624,0.05518668250613375,1,16,0.07694408999999999,False,RS,4,2048,True,2,64,True,True,0.035104197936157155,1024,False,1
8,10,0.06068295577564567,0.04529366422435434,12,1,0.052988310000000004,False,RS,16,2048,True,32,16,True,True,0.012414823247348309,64,False,2
9,10,0.09324128248504247,0.07790521751495753,1,8,0.08557325,False,RS,2,256,True,16,64,True,True,0.012371884389796892,128,True,32
10,10,0.12222536176491797,0.12220063823508201,21,1,0.12221299999999999,False,RS,16,1,True,8,2,False,False,1.9944924166313362e-05,2048,False,1
11,10,0.11395147394280963,0.11388952605719038,1,2,0.11392050000000001,False,RS,1,32,True,1,16,False,True,4.9974493494179453e-05,64,True,32
12,10,0.10840654469132109,0.1083558553086789,1,18,0.1083812,False,RS,8,1,True,128,1,False,True,4.0892053017671925e-05,128,True,16
13,10,0.10303129725066783,0.07386312274933217,26,1,0.08844721,False,RS,2,1024,True,8,4,True,False,0.02353050039210599,512,False,2
14,10,0.08715159995595151,0.07771438004404849,1,17,0.08243299,False,RS,16,64,True,16,64,True,True,0.007613178083093813,2048,False,2
15,10,0.18081025252153188,0.18046094747846814,1,24,0.1806356,False,RS,8,2048,True,2,1,False,False,0.00028179077344725234,2048,False,2
16,10,0.12346560334591564,0.12329579665408438,11,1,0.12338070000000001,False,RS,8,4,True,32,4,False,True,0.00013698616718486713,64,True,8
17,10,0.09261226346865108,0.07708511653134893,21,1,0.08484869,False,RS,8,1,True,1,32,True,False,0.012526033711151349,16,True,16
18,10,0.10717485343001124,0.08998346656998873,1,18,0.09857915999999999,False,RS,2,128,True,1,16,True,False,0.01386860652633854,256,True,1
19,10,0.11707909978002587,0.0911092402199741,1,26,0.10409416999999999,False,RS,8,128,True,4,2,True,False,0.02095036117302277,128,True,2
20,10,0.16221039698431935,0.16187940301568068,12,1,0.16204490000000002,False,RS,1,1024,True,64,16,False,False,0.0002670188944625424,512,False,1
21,10,0.10487403441734479,0.07778234558265522,1,19,0.09132819,False,RS,1,128,True,2,1,True,True,0.021855361387744195,1024,False,32
22,10,0.1148437946088066,0.0872281653911934,3,1,0.10103598,False,RS,1,512,True,2,1,True,False,0.022278033687145735,512,False,32
23,10,0.14760343499591225,0.14757776500408779,1,15,0.14759060000000002,False,RS,2,2048,True,64,256,False,False,2.0708452380609405e-05,1,False,4
24,10,0.0947464038819298,0.08279559611807018,7,1,0.08877099999999999,False,RS,4,1,True,64,64,True,True,0.009640935422976343,1,False,4
25,10,0.0963387409823045,0.08253203901769549,26,1,0.08943538999999999,False,RS,16,1,True,8,256,True,False,0.01113811925312797,256,False,4
26,10,0.14960754577143337,0.14957265422856664,1,16,0.1495901,False,RS,4,32,True,2,16,False,False,2.8147646438025752e-05,256,True,2
