id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,1,1,32,16,28,19,1,RSL,9,1.5933335938214952,1,1,1,170,8,0.11114662857142855,8
2,8,16,1,256,1,2,16,RSL,18,1.5673146363123285,1,1024,1,170,8,0.1129917714285714,1
3,8,16,256,128,26,15,1,RSL,23,1.5783848891322199,256,256,64,170,8,0.11219928571428571,1
