id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,128,False,8,1,128,32,2048,9,0.7790497896221086,1,4,DLMT,True,False,1,True,8,False,1,29,2,1,10,256,16,1,0.7859515,1,True,0.011135472241894375,True,0.7928532103778915
2,2,2048,False,4,1,16,4,32,8,0.9929844396890235,4,4,DLMT,True,True,6,False,4,False,26,1,4,4,10,1,2,32,1.0004646,1,True,0.012068764544890264,True,1.0079447603109764
3,8,1,False,32,4,64,512,1024,23,0.9185258772277648,1,64,DLMT,True,False,1,True,32,False,4,1,2048,4,10,2048,32,16,0.925406,1,True,0.011100642008460575,True,0.9322861227722351
4,32,16,False,2,2,8,8,256,2,0.7177742022009773,4,2,DLMT,False,True,1,True,4,True,1,1,16,1,10,2048,8,32,0.7378589000000001,2,True,0.03240538686530373,True,0.7579435977990229
5,32,8,False,16,128,4,4,8,1,0.7320696483640816,2,1,DLMT,True,False,10,True,2048,False,30,1,1024,4,10,8,8,2,0.7496590000000001,8,True,0.0283793039942843,True,0.7672483516359185
6,32,256,False,8,8,256,128,2048,6,1.0073282171056546,32,256,DLMT,True,False,8,True,2048,True,1,20,2048,1,10,1,2,2,1.0095290000000001,1,False,0.0035508237072543855,True,1.0117297828943457
7,2,16,False,8,1,1,512,2048,23,0.7868604403816655,16,8,DLMT,False,True,1,True,2048,True,12,1,1,32,10,512,2,1,0.7897763999999999,1,False,0.004704716021185536,True,0.7926923596183344
8,8,8,False,32,1,1024,64,1,5,0.8103246727175276,2,8,DLMT,False,False,1,False,64,True,27,1,1024,8,10,2048,1,32,0.8168925,17,True,0.010596773030031363,True,0.8234603272824724
9,16,32,False,32,2,2048,1,1,27,1.0409208597003161,128,16,DLMT,True,False,3,False,512,True,30,1,64,2,10,32,32,2,1.0430449999999998,1,False,0.0034271657386242453,True,1.0451691402996834
10,4,16,False,32,2,2,2048,2,2,2.7450063871172086,1,1,DLMT,False,True,29,True,4,True,1,25,1024,8,10,1,16,8,2.7567200000000005,1,True,0.018899171939532212,True,2.7684336128827924
11,8,256,False,8,256,2,1,16,1,0.6523843724482279,512,128,DLMT,False,False,8,False,1024,False,1,30,2048,16,10,8,32,4,0.6630604999999999,3,True,0.0172252551171238,True,0.673736627551772
12,1,4,False,8,4,64,256,1,12,1.7377610370741627,8,2,DLMT,False,True,1,True,256,False,1,22,128,32,10,1,16,32,1.737816,8,False,8.867919710961805e-05,True,1.7378709629258373
13,8,1024,False,16,2,16,32,2048,23,0.7309139640958351,32,128,DLMT,False,False,1,True,256,False,26,1,1024,32,10,128,8,4,0.7353667,5,True,0.007184207152497742,True,0.739819435904165
14,4,64,False,32,8,1,256,512,15,inf,16,64,DLMT,True,True,1,False,2048,True,1,28,32,4,1,1024,2,32,inf,5,False,inf,False,inf
15,2,1024,False,4,64,1,1,1,1,1.4897986760040842,16,4,DLMT,False,False,4,False,2048,True,16,1,1,1,10,8,8,4,1.4910130000000001,24,False,0.0019592347996092363,True,1.492227323995916
16,8,16,False,32,8,1,4,1024,29,0.7413953805687307,1024,2,DLMT,True,False,2,False,2048,False,20,1,16,32,10,8,16,2,0.74715,1,True,0.009284713705871616,True,0.7529046194312693
17,8,1024,False,32,128,1,16,32,6,inf,4,512,DLMT,False,True,1,True,32,False,1,15,1,16,1,32,8,32,inf,15,False,inf,False,inf
18,16,128,False,1,4,128,2048,128,1,2.0109165418004205,4,2,DLMT,False,False,21,False,32,True,28,1,16,1,10,1,4,32,2.024856,5,False,0.02249043227685944,True,2.03879545819958
