id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,True,True,16,4,32,4,6.711144576087725,False,DLMT,True,1,11,256,False,10,1024,18,1,32,4,0.00022011133546457484,6.711281,True,256,4,4,6.711417423912274,2048
2,False,True,256,64,4,2,5.473081699899459,False,DLMT,False,1,27,1,False,10,256,1,6,1,4,0.00013762630562504837,5.473167,True,64,2048,4,5.473252300100541,1
3,True,False,128,256,2,32,4.373273510908071,False,DLMT,True,1,1,2048,True,10,128,1,20,4,1,0.0019143249462932144,4.37446,True,2048,2,4,4.375646489091929,2048
4,True,False,16,2048,32,4,5.835902665718464,False,DLMT,False,1,2,4,True,10,128,1,9,2,2,0.0016172028320529462,5.836905,True,2,2,4,5.837907334281535,2048
5,False,True,32,1024,1,4,6.523732354530478,False,DLMT,False,1,10,16,False,10,1,6,1,4,1,0.00012204917041913793,6.523808000000001,True,8,32,4,6.523883645469524,2048
6,False,True,64,8,2,1,4.8112892044500395,False,DLMT,False,24,1,2048,True,10,512,18,1,8,8,0.00014971973817771945,4.811382,True,4,16,1,4.811474795549961,64
7,True,False,2,8,2,8,5.954023794447188,False,DLMT,False,19,1,128,True,10,1,7,1,8,16,0.023858218898316724,5.968811,True,64,32,8,5.983598205552811,1
8,False,False,16,64,16,1,6.2786289028566244,False,DLMT,True,14,1,32,True,10,2048,1,13,4,16,0.00042933087473407707,6.2788949999999994,True,4,256,1,6.2791610971433744,1
9,True,False,32,16,16,1,6.038375489417053,False,DLMT,True,1,3,8,True,10,1024,1,2,4,32,0.0016545963253916855,6.039401,True,8,2,16,6.040426510582947,64
10,False,False,2,512,1,1,5.611694471744629,False,DLMT,False,1,13,64,True,10,64,25,1,1,4,0.00025577529200442804,5.611853,True,32,4,256,5.612011528255371,16
11,True,True,1,64,16,2,4.387898969513953,False,DLMT,True,29,1,128,True,10,64,1,27,2,1,0.0009084140025339747,4.388462,True,8,2,1,4.389025030486046,16
12,False,False,1,256,32,4,10.388804366244162,False,DLMT,True,21,1,512,False,10,2,1,2,8,4,0.0028164694211016005,10.39055,True,64,2,2,10.392295633755836,2048
13,False,True,2048,2048,16,4,4.3900024747487985,False,DLMT,True,1,4,1,True,10,2048,1,11,4,4,0.00013960300856360428,4.390089000000001,True,2048,2,1,4.390175525251203,4
14,False,False,256,1,32,1,4.500769974105083,False,DLMT,False,1,26,32,False,10,1,1,1,32,1,0.00018720042734979764,4.5008859999999995,True,1,2,8,4.501002025894916,8
15,False,True,4,1024,8,16,7.578698257876296,False,DLMT,True,6,1,64,True,10,4,22,1,8,16,0.00022869193252040976,7.57884,True,64,1024,4,7.578981742123704,1024
16,True,True,2048,4,32,1,4.431005485364796,False,DLMT,True,9,1,8,True,10,1,1,2,32,2,0.00031545047154813615,4.431201,True,4,1,2,4.431396514635203,1024
17,True,False,4,8,1,4,5.85325147550259,False,DLMT,False,1,12,2048,True,10,512,1,1,32,2,0.00036386948209494394,5.853477,True,64,16,4,5.853702524497409,256
18,False,False,256,2048,1,2,6.0255007035489205,False,DLMT,False,1,27,256,True,10,2048,23,1,32,1,0.00019086382580267122,6.025619,True,2,2048,1024,6.025737296451079,2048
19,True,True,1,512,4,1,4.553541962017259,False,DLMT,True,23,1,1,True,10,4,1,24,1,8,9.202716990113166e-05,4.553599,True,16,4,4,4.5536560379827415,256
20,True,False,32,1024,2,8,5.847607419749252,False,DLMT,True,1,28,8,True,10,1,1,7,1,2,0.0001913217185788912,5.847726,True,4,16,16,5.847844580250747,1
21,True,False,4,64,8,2,5.851453557178425,False,DLMT,True,1,7,2048,False,10,128,24,1,32,4,0.003851987668723888,5.853840999999999,True,1,1,4,5.856228442821573,16
22,True,True,8,512,2,2,6.1969741264430445,False,DLMT,True,27,1,32,True,10,1024,1,28,32,2,0.01953689998438855,6.209083,True,2,2048,64,6.221191873556955,2048
23,False,False,16,32,4,4,5.868971420308591,False,DLMT,False,14,1,512,True,10,1,8,1,1,4,0.000271992646959382,5.86914,True,256,2,2,5.869308579691409,512
24,True,False,512,256,32,2,5.140129440577933,False,DLMT,True,1,10,8,True,10,1,1,12,16,8,0.008076152858880194,5.145135,True,1,16,1,5.150140559422066,64
25,False,True,4,256,4,16,8.393793487475023,False,DLMT,False,1,6,4,False,10,256,28,1,1,8,0.0002734977147982972,8.393963000000001,True,1,32,2,8.39413251252498,2048
26,False,False,256,128,1,32,4.768601952861539,False,DLMT,True,1,15,64,False,10,1024,3,1,2,4,0.0001791675193777594,4.768713,True,16,2,2,4.768824047138461,16
27,False,False,1,64,32,1,6.637172323033706,False,DLMT,False,1,16,2048,False,10,16,17,1,4,32,0.0002963511430717698,6.637356,True,64,8,4,6.637539676966293,256
28,True,False,8,1024,2,2,6.345510474754402,False,DLMT,True,24,1,64,False,10,1,1,27,8,8,0.0056640099752737665,6.3490210000000005,True,4,1024,256,6.352531525245599,2048
29,False,False,2,1,4,1,6.059063877806376,False,DLMT,False,1,25,32,True,10,32,1,16,16,2,0.00033095165810138546,6.0592690000000005,True,1,16,256,6.059474122193625,2048
30,False,False,512,2048,4,4,5.843765146759646,False,DLMT,False,1,30,32,False,10,1,1,30,4,2,0.0001740143672229363,5.843873,True,1,1,2,5.843980853240355,8
31,True,True,1,8,2,32,7.297969313141171,False,DLMT,True,1,1,32,True,10,8,1,30,1,2,0.00016083842824400038,7.298069,True,2,1,1,7.298168686858829,1024
32,True,True,4,1024,2,2,5.481226249777341,False,DLMT,True,4,1,1,False,10,1024,9,1,2,32,0.0011225488853496943,5.481922,True,512,16,256,5.4826177502226585,1024
33,False,True,4,1,16,2,4.383904318742542,False,DLMT,True,1,13,1,False,10,64,16,1,1,2,0.00040284488329876916,4.384154,True,1024,32,1,4.384403681257457,2048
34,True,False,4,1024,2,8,6.159458618179388,False,DLMT,True,30,1,16,True,10,64,11,1,1,8,0.0006895534787092535,6.159886,True,4,4,2,6.160313381820613,1024
35,True,False,128,2048,8,1,5.245503533620048,False,DLMT,False,11,1,1,True,10,512,9,1,4,1,0.0018029611754001404,5.246620999999999,True,8,64,1,5.247738466379951,256
36,True,True,1,8,4,32,5.554298219021034,False,DLMT,True,1,28,1,False,10,512,20,1,1,32,0.0002674771018236819,5.554464,True,2048,8,1,5.554629780978966,32
37,False,False,4,1024,16,8,6.112293441131823,False,DLMT,False,29,1,32,True,10,256,12,1,16,2,0.00015256474035638148,6.112388,True,2,1,32,6.1124825588681775,256
38,False,True,1,2048,16,1,6.654500625384101,False,DLMT,False,1,15,2048,False,10,1024,1,29,2,2,0.00028295582694121303,6.654676,True,2,32,2048,6.6548513746159,32
39,True,True,32,2048,2,2,6.194005519442913,False,DLMT,True,2,1,16,True,10,1024,30,1,16,8,0.009671714429200257,6.2,True,8,64,512,6.205994480557087,1
40,False,False,1024,16,2,8,6.332603320940904,False,DLMT,False,1,30,2048,True,10,2048,1,30,2,2,0.0006416299556598403,6.333000999999999,True,2,256,4,6.333398679059095,1
41,False,False,256,64,32,2,6.108447380716606,False,DLMT,False,1,25,512,False,10,256,24,1,8,4,0.0024437422122640102,6.109962,True,8,128,64,6.111476619283395,256
42,True,True,1,2048,8,2,5.1114016919042315,False,DLMT,False,1,12,32,True,10,4,1,1,16,8,0.008004756148690603,5.116363,True,1,64,16,5.121324308095768,256
43,False,False,32,1024,1,4,5.837746800410931,False,DLMT,True,1,26,256,True,10,1,16,1,16,4,0.00014875819305161593,5.837839,True,8,1,4,5.837931199589068,64
44,False,False,256,256,4,8,6.224255572824081,False,DLMT,True,1,3,1024,False,10,1024,1,29,16,4,0.00011524322105869841,6.224327,True,4,128,128,6.2243984271759185,1024
45,True,True,1,1,16,8,6.083307778292266,False,DLMT,False,19,1,256,True,10,2048,15,1,2,4,0.008554798653387418,6.088610000000001,True,4,128,2048,6.093912221707736,128
46,True,True,128,128,1,1,4.4848782948028845,False,DLMT,True,1,26,4,True,10,2048,1,9,8,8,0.00025767421291226817,4.485038,True,1,4,4,4.485197705197116,1
47,True,False,32,8,8,8,8.13950829383217,False,DLMT,True,1,5,16,False,10,128,21,1,4,16,0.002548755774882922,8.141088,True,8,8,8,8.14266770616783,512
48,True,True,2048,1,16,4,7.837330465799374,False,DLMT,True,1,21,64,True,10,1,1,30,2,32,0.0013045186851861953,7.838139000000001,True,2,32,2,7.838947534200628,2048
49,True,True,1,32,2,4,5.9253610459889385,False,DLMT,False,30,1,2048,True,10,1,1,10,32,1,0.00339459644140514,5.927465,True,128,64,8,5.929568954011061,512
50,True,False,16,1,2,16,4.372708378432675,False,DLMT,False,1,7,2048,True,10,1024,1,28,1,4,0.0028358109951124207,4.374466,True,2048,2,256,4.376223621567325,256
51,True,False,128,1,4,4,6.904050905718571,False,DLMT,True,1,13,1,False,10,2048,30,1,2,16,0.0011327846220709331,6.904753000000001,True,16,2048,32,6.9054550942814314,1
52,True,True,16,2048,1,32,7.644537569113396,False,DLMT,True,30,1,1,False,10,64,1,14,4,32,0.002788713681968734,7.646266,True,1,16,8,7.6479944308866035,128
53,False,True,16,1,8,1,4.426764763138019,False,DLMT,False,1,30,2048,False,10,16,3,1,8,8,0.0001278436545159873,4.426844,True,256,4,1,4.426923236861981,2048
54,False,False,512,32,8,1,6.09696193236891,False,DLMT,False,1,11,512,True,10,1024,1,22,32,1,0.0006438703285598933,6.097361,True,512,2048,1,6.09776006763109,1
55,True,False,1,1024,32,1,5.906376035155886,False,DLMT,False,13,1,1,False,10,8,1,6,1,2,0.0002451856439517424,5.906528,True,4,32,2,5.9066799648441135,512
56,True,True,256,512,2,4,6.440973069445562,False,DLMT,False,1,2,128,True,10,2048,1,6,32,2,0.022770318926181112,6.455086,True,1,64,64,6.4691989305544375,64
57,True,False,4,1,2,2,4.5782382784768325,False,DLMT,False,1,11,1,False,10,16,1,18,16,8,0.008407168905166578,4.583449,True,64,2,1024,4.588659721523167,64
58,True,False,32,2048,32,2,6.014121241100723,False,DLMT,False,1,20,1,False,10,2048,1,13,32,2,0.02220049884574657,6.027881,True,256,16,2048,6.041640758899277,1
59,True,True,32,256,32,4,6.184345760093931,False,DLMT,True,7,1,32,False,10,512,30,1,4,4,0.0028481027017998157,6.186111,True,8,32,256,6.187876239906069,64
60,False,True,1,8,2,4,6.946993768820103,False,DLMT,False,1,28,64,False,10,2,11,1,8,8,8.749857141685533e-05,6.947048000000001,True,16,32,4,6.9471022311798984,32
61,False,False,128,4,1,1,4.908268988967322,False,DLMT,True,20,1,512,True,10,1,18,1,2,32,0.00010973149046650324,4.908337,True,1,32,2,4.908405011032679,512
62,True,False,32,64,2,8,6.164988622988303,False,DLMT,True,1,30,1,True,10,256,25,1,2,8,0.0011671229583895156,6.165712000000001,True,256,4,64,6.166435377011699,32
63,False,True,1024,128,2,1,4.577738567485803,False,DLMT,False,1,25,2048,True,10,1024,24,1,16,1,0.00026046112953769554,4.5779,True,8,2048,16,4.578061432514196,1
64,False,True,1024,32,16,2,6.502551116474535,False,DLMT,False,1,25,512,False,10,1,1,10,8,2,0.00022085289221559896,6.502688000000001,True,32,8,32,6.5028248835254665,32
65,True,False,2,2048,1,32,6.528218155176942,False,DLMT,False,11,1,2048,True,10,8,30,1,1,2,0.003642889512461203,6.530476,True,16,512,16,6.532733844823058,1024
66,False,False,64,16,1,1,5.862351469404146,False,DLMT,False,1,11,2048,True,10,2048,1,25,2,1,0.0001686534909214159,5.862456,True,1,32,4,5.862560530595854,1
67,False,True,32,2048,8,1,4.5583335806025085,False,DLMT,False,8,1,1024,True,10,128,29,1,16,2,0.0002539862200985816,4.558490999999999,True,512,8,32,4.55864841939749,1
68,False,False,1,1,2,4,5.829444305869603,False,DLMT,False,30,1,128,False,10,1024,25,1,1,8,0.0002657235405455281,5.829609,True,1,1,256,5.829773694130396,8
69,True,True,8,512,2,16,4.752344904877375,False,DLMT,True,1,21,512,False,10,512,24,1,8,2,0.003988568790932486,4.754817,True,4,4,32,4.757289095122625,512
70,True,True,64,2,1,2,7.809474820721178,False,DLMT,False,1,1,512,False,10,1024,1,29,2,32,0.0014281806608408719,7.81036,True,16,2,2,7.8112451792788224,32
71,False,False,16,64,16,1,6.306863738755666,False,DLMT,True,1,16,1,False,10,1,1,17,1,1,0.00014401736006474544,6.306953,True,8,1,64,6.307042261244334,256
72,False,True,8,4,1,32,6.141228990711064,False,DLMT,False,1,29,32,True,10,512,1,28,4,8,0.00016781239525147016,6.141333,True,8,8,4,6.1414370092889365,512
73,False,True,256,32,1,1,5.967203108436221,False,DLMT,False,27,1,4,True,10,1024,26,1,1,16,0.0004080245090677564,5.967456,True,1,1,8,5.967708891563779,512
74,True,True,1,256,1,2,3.2067544893448283,False,DLMT,True,1,1,2048,False,10,64,1,21,16,1,0.004976662435809727,3.209839,True,512,1024,16,3.212923510655172,1024
75,True,True,2,1024,1,1,5.86106651645309,False,DLMT,False,1,17,4,False,10,16,1,9,1,16,0.00018793881983234718,5.861183,True,2,256,1,5.861299483546909,2048
76,False,False,64,256,16,8,5.993633777695956,False,DLMT,False,1,24,4,False,10,2048,1,8,1,32,0.0006909095454543527,5.9940620000000004,True,1,64,1,5.994490222304045,2048
77,False,False,2,1,1,1,6.997336874441657,False,DLMT,True,25,1,1,False,10,32,1,15,32,4,0.000990852663114,6.9979510000000005,True,2048,64,32,6.998565125558344,1024
78,True,True,512,512,2,16,7.391238790076165,False,DLMT,False,1,10,32,True,10,512,6,1,4,4,0.0027899706091642565,7.392968000000001,True,4,64,4,7.394697209923836,2048
