id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,4,256,1,4,0.08804888137640923,2,64,DLMT,1,True,128,11,8,1,29,False,False,10,0.007866356407314633,0.09292441,True,True,0.09779993862359077
2,1,2048,1,2,2.800112553323751,16,128,DLMT,512,False,1,8,2048,1,18,True,False,10,0.0038245654655136674,2.802483,True,True,2.804853446676249
3,2,512,32,1,0.609607692066371,32,1,DLMT,256,True,512,30,2048,1,24,True,False,10,0.0017649511154703384,0.6107016,True,True,0.6117955079336289
4,1,256,16,2,inf,256,128,DLMT,16,False,512,11,512,26,1,False,False,1,inf,inf,False,False,inf
5,4,512,1,1,1.0770124968659593,4,256,DLMT,1024,True,128,1,1,12,28,True,False,10,6.696267617114044e-05,1.077054,True,False,1.0770955031340406
6,32,32,2,2,1.4411647342666662,1,1,DLMT,16,True,1,1,1,30,8,True,False,10,0.011681709849161634,1.448405,True,True,1.4556452657333336
7,1,8,1,32,3.256717011910532,4,4,DLMT,2,True,4,1,64,23,14,True,False,10,4.838388161358456e-05,3.256747,True,False,3.2567769880894675
8,4,1,16,4,2.0437137110068035,2,2048,DLMT,8,False,8,2,1,1,8,True,False,10,0.04413763836002103,2.0710699999999997,True,True,2.098426288993196
9,16,8,2,1,1.7360171249192249,1,1,DLMT,2,True,16,27,2048,23,1,True,False,10,2.399999999997959e-05,1.7360320000000002,True,False,1.7360468750807756
10,32,2048,1,2,2.645942060496746,1,1,DLMT,256,False,2,14,512,1,22,False,False,10,2.410394158640579e-05,2.645957,True,False,2.645971939503254
11,8,1,4,1,0.16268050164597528,8,512,DLMT,16,True,16,18,16,30,1,True,False,10,0.015267141330321142,0.172143,True,True,0.1816054983540247
12,8,2,1,8,0.7147602026972009,1,1,DLMT,2048,True,256,6,2048,1,10,False,False,10,0.002437414345161693,0.7162708999999999,True,True,0.717781597302799
13,2,2048,16,1,1.7669737047444551,2,2048,DLMT,1,False,256,3,1024,1,16,True,False,10,2.467792535847615e-05,1.766989,True,False,1.7670042952555447
14,2,1024,4,4,1.765912828773665,2048,128,DLMT,8,False,1,17,8,1,7,True,False,10,0.00016161992451425478,1.7660130000000003,True,False,1.7661131712263356
15,8,256,8,1,1.8488632079839336,1,8,DLMT,1024,False,2,15,1,1,26,True,False,10,0.002145535131383338,1.8501929999999998,True,True,1.851522792016066
16,2,128,4,4,inf,256,1,DLMT,1,False,2048,1,8,30,20,False,False,1,inf,inf,False,True,inf
17,1,256,2,32,1.7923773854486753,4,2,DLMT,16,True,256,1,32,1,19,False,False,10,2.3579652245129596e-05,1.7923920000000002,True,False,1.792406614551325
18,4,2,16,4,0.15222037853489312,1,2,DLMT,2,True,1024,25,2,17,1,False,False,10,0.012095807604703373,0.1597173,True,True,0.1672142214651069
19,16,1024,2,1,2.3475167833332238,64,1,DLMT,4,False,2048,10,16,1,9,True,False,10,0.00042629684493314943,2.3477810000000003,True,False,2.348045216666777
20,2,2048,1,4,2.7446873538126724,1,2048,DLMT,32,False,64,30,1024,7,1,True,False,10,0.0035425359560631873,2.7468830000000004,True,True,2.7490786461873284
21,1,128,8,8,0.5149306569578299,2048,1,DLMT,256,True,2048,1,256,20,6,False,False,10,2.52390570346707e-05,0.5149463000000001,True,False,0.5149619430421702
22,1,2,4,4,1.134865294259001,512,1,DLMT,1,True,512,20,1,1,21,True,False,10,2.21133443875073e-05,1.134879,True,False,1.134892705740999
23,16,8,4,4,1.3542302251185658,256,8,DLMT,128,True,512,1,128,25,29,False,False,10,0.00014161920773681094,1.354318,True,False,1.354405774881434
24,1,2048,8,1,1.734607465068235,16,4,DLMT,16,False,16,26,256,1,4,False,False,10,0.00010734989520254929,1.734674,True,False,1.734740534931765
25,2,2048,32,1,0.11771811134118171,256,128,DLMT,2,True,512,1,1,19,1,True,False,10,0.027931151036253415,0.13502969999999997,True,True,0.15234128865881824
26,4,128,1,2,3.0254375884036757,1024,2,DLMT,512,True,2048,18,1024,30,1,False,False,10,4.100000000000647e-05,3.0254630000000002,True,False,3.0254884115963248
27,2,2048,2,32,0.9046597725247415,1024,128,DLMT,1,False,1,27,64,10,1,False,False,10,0.03397998754031554,0.9257204,True,True,0.9467810274752585
28,32,64,1,1,inf,512,64,DLMT,8,True,2048,1,8,8,19,True,False,1,inf,inf,False,True,inf
29,2,32,2,1,1.02632452822415,1,8,DLMT,128,True,2048,11,256,20,1,False,False,10,0.004984666889572469,1.029414,True,True,1.0325034717758501
