id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,False,False,2,1024,32,1,6.015525792877563,False,DLMT,True,8,1,1,True,10,512,19,1,16,1,0.0006295744594566083,6.015916,True,128,4,512,6.016306207122437,1024
2,False,True,1,256,4,2,4.526906549436313,False,DLMT,True,13,1,1,False,10,32,1,17,4,16,0.00018788560349316546,4.527023,True,1,2,16,4.527139450563687,256
3,True,True,32,2048,1,32,6.77808746734801,False,DLMT,False,1,25,32,False,10,64,1,21,1,8,0.00017188368159889176,6.778193999999999,True,1,512,2048,6.778300532651988,1
4,True,True,1,32,1,4,7.822105334452849,False,DLMT,True,1,24,128,True,10,2048,2,1,8,16,0.005499665808028628,7.825514,True,64,4,32,7.828922665547151,4
5,False,True,4,2048,4,2,5.938009735607203,False,DLMT,False,1,28,512,True,10,32,29,1,4,8,0.00015854336946090065,5.938108,True,2,1,8,5.938206264392797,64
6,False,True,1,128,8,4,6.701896515352199,False,DLMT,False,23,1,32,False,10,64,2,1,4,16,0.00017664653973415594,6.702006,True,16,8,8,6.702115484647801,32
7,False,False,2048,2048,2,8,6.120961408473813,False,DLMT,True,1,20,1,False,10,2048,1,24,2,1,0.00024458331913690954,6.121112999999999,True,64,8,2048,6.121264591526185,16
8,False,False,2,32,16,4,8.624786391964115,False,DLMT,False,17,1,64,False,10,32,17,1,32,2,0.00044951640681950295,8.625065000000001,True,8,1024,1,8.625343608035887,2048
9,True,False,1,512,4,8,6.246695784791676,False,DLMT,True,18,1,256,False,10,32,21,1,1,1,0.011455747203914748,6.2537959999999995,True,32,512,256,6.260896215208323,1024
10,False,True,256,2048,2,1,4.385080872925628,False,DLMT,True,1,7,512,False,10,256,9,1,1,4,0.00010346496991736937,4.3851450000000005,True,1,8,2048,4.385209127074373,1
11,True,True,256,2048,1,2,7.21622180382647,False,DLMT,False,1,29,2048,False,10,256,7,1,32,1,0.01945674867494558,7.228281,True,2048,8,2048,7.24034019617353,128
