id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,8,64,False,1,32,32,64,128,28,0.23171740138957278,512,1,16,DLMT,8,True,False,True,512,512,True,1,29,3,1,1,35,512,1,30,0.23328645714285712,1,False,0.004736137548333525,True,0.23485551289614146
2,1,32,64,False,1,64,64,16,512,1,0.15394922352157941,128,1,16,DLMT,1,False,True,True,128,1,True,17,1,27,64,32,35,1,2,2,0.158876,1,True,0.01487129505937049,True,0.16380277647842056
3,8,8,128,False,1,256,1,1,1024,10,0.20759283611230692,512,1,1,DLMT,1,True,False,False,2048,64,False,11,1,1,512,1,35,1,29,1,0.20847802857142855,8,True,0.0026719211438932244,True,0.2093632210305502
4,8,1,1024,False,8,256,64,16,64,1,inf,1,1,64,DLMT,1,False,False,True,1,512,True,17,1,30,512,8,1,2048,29,23,inf,8,True,inf,False,inf
5,1,8,256,False,8,32,1,64,2048,9,0.21693020359663628,1,32,512,DLMT,32,True,False,False,2048,512,False,1,2,21,2048,1,35,256,6,1,0.21775994285714287,1,True,0.0025045376869406726,True,0.21858968211764945
6,8,1,2048,False,1,128,32,1,2048,1,0.09574131753970422,1,256,512,DLMT,1,False,True,False,128,2048,True,1,1,1,2048,1,35,128,13,16,0.09905541142857144,8,False,0.010003471497371626,True,0.10236950531743866
7,1,8,1,False,1,64,1,64,1024,13,0.18759079604036727,32,512,64,DLMT,1,True,True,False,64,1024,False,1,8,25,1024,8,35,1024,1,15,0.18766882857142858,8,False,0.00023553834819279118,True,0.1877468611024899
8,1,1,256,False,1,64,256,1,2048,28,0.09974595906373955,32,1,16,DLMT,8,False,True,False,1,1024,False,1,1,1,512,1,35,64,1,12,0.10210917142857143,1,True,0.007133270307532622,True,0.1044723837934033
9,8,8,2048,False,1,128,512,16,2048,1,0.13396195593968704,1,256,32,DLMT,8,True,False,True,128,1,False,19,1,29,1,1,35,64,22,11,0.1351343142857143,8,True,0.0035387208970104962,True,0.13630667263174154
10,1,1,2048,False,8,32,512,1,512,2,0.17397958052355106,128,32,128,DLMT,1,False,False,False,1,128,False,27,1,5,2048,8,35,1,24,1,0.1740308857142857,8,False,0.00015486284649485538,True,0.17408219090502036
11,32,1,2048,False,1,32,16,64,1024,1,0.13579615181929366,1,1,16,DLMT,1,True,True,False,1,2048,False,1,11,4,1024,32,35,1,29,10,0.1358222857142857,1,False,7.888420860569665e-05,True,0.13584841960927774
12,1,1,256,False,32,1,256,64,256,1,0.2818891418582946,1,64,1,DLMT,1,False,True,True,2048,2048,True,17,1,18,512,32,35,256,19,22,0.28314145714285716,1,False,0.0037800679989564573,True,0.2843937724274197
13,32,1,64,False,1,128,64,64,64,1,0.12330702570791095,32,1,512,DLMT,1,False,False,False,1,1,False,30,1,26,1,1,35,1024,18,11,0.12333137142857142,1,False,7.348666962276141e-05,True,0.1233557171492319
14,1,1,512,False,32,512,256,64,1024,1,0.23721447928785647,512,512,512,DLMT,1,True,False,True,2048,512,True,1,12,8,512,1,35,2048,13,25,0.2435972,1,True,0.01926600961249037,True,0.24997992071214356
15,8,1,1,False,8,16,128,1,1,15,0.15515408910314707,16,32,64,DLMT,8,False,False,True,2048,1,False,1,15,16,512,1,35,512,30,1,0.15621737142857142,1,True,0.003209478908178213,True,0.15728065375399577
16,1,1,1,False,1,512,1,128,128,5,0.1021260442608078,64,128,1,DLMT,8,False,False,True,2048,256,True,1,4,28,512,1,35,128,1,22,0.10300854285714285,8,False,0.0026637898173505377,True,0.1038910414534779
17,8,1,1,False,8,512,256,256,1024,18,0.16244157599038175,16,16,16,DLMT,32,False,False,False,256,1,True,1,4,18,1024,1,35,1,26,1,0.16339182857142856,1,False,0.002868302748373422,True,0.16434208115247537
18,32,1,2048,False,1,128,1,512,128,29,0.12409306051909723,256,512,128,DLMT,1,True,False,True,512,512,False,4,1,1,1,1,35,2048,26,1,0.12480528571428573,8,True,0.0021498257679758766,True,0.12551751090947424
19,1,8,1,False,1,1,128,64,1,25,0.2092109581477904,32,32,512,DLMT,32,False,True,True,64,1,True,5,21,1,2048,1,35,2048,30,1,0.21033251428571428,1,True,0.0033853762852381823,True,0.21145407042363817
20,8,8,128,False,1,1,512,128,1,1,0.14695278332381131,32,128,128,DLMT,1,True,True,False,512,2048,False,17,15,1,128,8,35,256,30,6,0.1470014857142857,1,False,0.00014700638886574433,True,0.1470501881047601
21,1,32,256,False,1,64,256,1,1024,9,0.19583970101529918,512,16,512,DLMT,32,True,True,False,512,2048,True,1,22,1,1,1,35,512,17,1,0.19691177142857144,1,False,0.0032360054307363434,True,0.1979838418418437
22,1,1,128,False,1,16,256,1,1,1,0.12632143513581431,1,32,256,DLMT,1,False,False,False,2048,1024,True,17,1,9,1,1,35,2048,27,29,0.12826405714285713,8,True,0.005863733656701565,True,0.13020667914989995
